CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Orgao_Administracao;Quantidade_PCD;Quantidade_Nao_PCD;Quantidade_Sem_Resposta;Nao_Aplicavel
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Conselho de Administração - Efetivos;;;;N
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Conselho de Administração - Suplentes;;;;N
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Conselho Fiscal - Efetivos;;;;N
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Conselho Fiscal - Suplentes;;;;N
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Diretoria;;;;N
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Conselho de Administração - Efetivos;;;;N
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Conselho de Administração - Suplentes;;;;N
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Conselho Fiscal - Efetivos;;;;N
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Conselho Fiscal - Suplentes;;;;N
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Diretoria;;;;N
00.080.671/0001-00;2024-12-31;7;145178;CARAMURU ALIMENTOS S.A.;Conselho de Administração - Efetivos;;;;N
00.080.671/0001-00;2024-12-31;7;145178;CARAMURU ALIMENTOS S.A.;Conselho de Administração - Suplentes;;;;N
00.080.671/0001-00;2024-12-31;7;145178;CARAMURU ALIMENTOS S.A.;Conselho Fiscal - Efetivos;;;;N
00.080.671/0001-00;2024-12-31;7;145178;CARAMURU ALIMENTOS S.A.;Conselho Fiscal - Suplentes;;;;N
00.080.671/0001-00;2024-12-31;7;145178;CARAMURU ALIMENTOS S.A.;Diretoria;;;;N
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;Conselho de Administração - Efetivos;;4;;N
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;Conselho de Administração - Suplentes;;;;S
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;Conselho Fiscal - Efetivos;;;;S
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;Conselho Fiscal - Suplentes;;;;S
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;Diretoria;;4;;N
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;Conselho de Administração - Efetivos;;;;N
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;Conselho de Administração - Suplentes;;;;N
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;Conselho Fiscal - Efetivos;;;;N
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;Conselho Fiscal - Suplentes;;;;N
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;Diretoria;;;;N
