CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Codigo_Posicao;Posicao;Quantidade_PCD;Quantidade_Nao_PCD;Quantidade_Sem_Resposta
19.403.252/0001-90;2024-12-31;5;146099;EMCCAMP RESIDENCIAL S.A.;2;Não-liderança;0;0;945
27.157.474/0001-06;2024-12-31;6;147282;ÁGUAS DE TERESINA SANEAMENTO SPE S.A.;1;Liderança;0;0;0
27.157.474/0001-06;2024-12-31;6;147282;ÁGUAS DE TERESINA SANEAMENTO SPE S.A.;2;Não-liderança;0;0;0
28.127.603/0001-78;2024-12-31;11;147037;BANESTES S.A. - BCO EST ESPIRITO SANTO;1;Liderança;;;
28.127.603/0001-78;2024-12-31;11;147037;BANESTES S.A. - BCO EST ESPIRITO SANTO;2;Não-liderança;;;
42.310.775/0001-03;2024-12-31;10;147273;ÁGUAS DO RIO 1 SPE S.A.;1;Liderança;0;0;0
42.310.775/0001-03;2024-12-31;10;147273;ÁGUAS DO RIO 1 SPE S.A.;2;Não-liderança;0;0;0
42.644.220/0001-06;2024-12-31;8;147275;ÁGUAS DO RIO 4 SPE S.A.;1;Liderança;0;0;0
42.644.220/0001-06;2024-12-31;8;147275;ÁGUAS DO RIO 4 SPE S.A.;2;Não-liderança;0;0;0
44.854.238/0001-50;2024-12-31;4;147283;PARSAN S.A.;1;Liderança;0;0;0
44.854.238/0001-50;2024-12-31;4;147283;PARSAN S.A.;2;Não-liderança;0;0;0
49.115.815/0001-05;2024-12-31;1;144025;JBS N.V.;1;Liderança;0;15547;0
49.115.815/0001-05;2024-12-31;1;144025;JBS N.V.;2;Não-liderança;0;258336;0
52.810.883/0001-07;2024-12-31;4;144614;REVEE MCO S.A.;1;Liderança;0;0;0
52.810.883/0001-07;2024-12-31;4;144614;REVEE MCO S.A.;2;Não-liderança;0;0;0
52.841.191/0001-18;2024-12-31;12;146824;REVEE S.A.;1;Liderança;;;
52.841.191/0001-18;2024-12-31;12;146824;REVEE S.A.;2;Não-liderança;;;
53.153.938/0001-08;2024-12-31;2;145016;UNIÃO PET PARTICIPAÇÕES S.A.;1;Liderança;;;
53.153.938/0001-08;2024-12-31;2;145016;UNIÃO PET PARTICIPAÇÕES S.A.;2;Não-liderança;;;
56.992.423/0001-90;2024-12-31;2;146835;BICICLETAS MONARK S.A.;1;Liderança;0;6;0
56.992.423/0001-90;2024-12-31;2;146835;BICICLETAS MONARK S.A.;2;Não-liderança;0;24;0
60.872.504/0001-23;2024-12-31;18;146853;ITAU UNIBANCO HOLDING S.A.;1;Liderança;;;
60.872.504/0001-23;2024-12-31;18;146853;ITAU UNIBANCO HOLDING S.A.;2;Não-liderança;;;
61.065.751/0001-80;2024-12-31;22;154413;ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL;1;Liderança;0;18;0
61.065.751/0001-80;2024-12-31;22;154413;ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL;2;Não-liderança;0;78;0
62.002.886/0001-60;2024-12-31;6;152800;SAO PAULO TURISMO S.A.;1;Liderança;0;0;0
62.002.886/0001-60;2024-12-31;6;152800;SAO PAULO TURISMO S.A.;2;Não-liderança;0;0;0
82.508.433/0001-17;2024-12-31;13;146909;CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;1;Liderança;4;299;0
82.508.433/0001-17;2024-12-31;13;146909;CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;2;Não-liderança;82;2311;0
84.683.671/0001-94;2024-12-31;3;145163;WETZEL S.A.;1;Liderança;2;34;0
84.683.671/0001-94;2024-12-31;3;145163;WETZEL S.A.;2;Não-liderança;41;861;0
88.610.191/0001-54;2024-12-31;5;147125;MUNDIAL S.A. - PRODUTOS DE CONSUMO;1;Liderança;0;108;0
88.610.191/0001-54;2024-12-31;5;147125;MUNDIAL S.A. - PRODUTOS DE CONSUMO;2;Não-liderança;89;2006;0
92.749.225/0001-63;2024-12-31;2;147222;HERCULES S.A. FABRICA DE TALHERES;1;Liderança;0;9;0
92.749.225/0001-63;2024-12-31;2;147222;HERCULES S.A. FABRICA DE TALHERES;2;Não-liderança;0;0;1
