CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Acionista;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes;Percentual_Acoes
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;7423916;Ordinária Classe A;645753340;100.000000
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;7423938;Ordinária Classe A;645753340;100.000000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;7670998;Preferencial Classe R;51111965;20.000000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;7670998;Preferencial Classe A;980081;6.017000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;7670998;Preferencial Classe B;1031248;20.000000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;7671006;Preferencial Classe C;35947208;33.533000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;7671038;Preferencial Classe R;186558673;73.000000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;7671038;Preferencial Classe A;6684487;41.038000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;7671038;Preferencial Classe B;3764056;73.000000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;7671054;Preferencial Classe R;17889188;7.000000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;7671054;Preferencial Classe A;342946;2.105000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;7671054;Preferencial Classe B;360936;7.000000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;7671063;Preferencial Classe A;8281000;50.840000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;7671063;Preferencial Classe C;71252174;66.467000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;7671064;Preferencial Classe R;255559826;100.000000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;7671064;Preferencial Classe A;16288514;100.000000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;7671064;Preferencial Classe B;5156240;100.000000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;7671064;Preferencial Classe C;107199382;100.000000
00.924.429/0001-75;2024-12-31;4;146688;FERROVIA CENTRO-ATLANTICA S.A.;7657824;Preferencial Classe E;12;100.000000
00.924.429/0001-75;2024-12-31;4;146688;FERROVIA CENTRO-ATLANTICA S.A.;7657838;Preferencial Classe E;12;100.000000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685737;Preferencial Classe B;2129640;0.761000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685745;Preferencial Classe B;18262671;6.524000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685749;Preferencial Classe B;18691102;6.677000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685753;Preferencial Classe B;1251716;0.447000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685757;Preferencial Classe B;204959;0.073000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685769;Preferencial Classe B;21198342;7.572000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685773;Preferencial Classe B;7908453;2.825000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685777;Preferencial Classe B;59300;0.021000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685781;Preferencial Classe B;29772076;10.635000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685785;Preferencial Classe B;493;0.000000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685785;Preferencial Classe C;1;100.000000
01.104.937/0001-70;2024-12-31;7;148048;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7685789;Preferencial Classe A;2000;1.361000
