CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Quantidade_Pessoa_Fisica;Quantidade_Pessoa_Juridica;Quantidade_Investidor
08.070.508/0001-78;2024-03-31;5;140402;RAIZEN ENERGIA S.A.;Debêntures;21655;276;0
08.100.057/0001-74;2024-12-31;1;144039;TECNOGERA-LOCAÇÃO E TRANSFORMAÇÃO DE ENERGIA S.A.;Debêntures;0;0;11
08.159.965/0001-33;2024-12-31;16;148059;IGUA SANEAMENTO S.A.;Debêntures;3770;66;83
08.170.849/0001-15;2024-12-31;17;148169;DESKTOP S.A.;Debêntures;29;17;129
08.213.823/0001-07;2024-12-31;5;145507;AURA ALMAS MINERAÇÃO S.A.;Debêntures;446;151;67
08.262.121/0001-13;2024-12-31;3;139558;ALUBAR METAIS E CABOS S.A.;Debêntures;482;102;22
08.294.224/0001-65;2024-12-31;8;148111;JHSF PARTICIPACOES S.A.;Debêntures;142;48;40
08.312.229/0001-73;2024-12-31;16;148001;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Debêntures;0;0;10
08.322.396/0001-03;2024-03-31;4;139076;CERRADINHO BIOENERGIA S.A.;Debêntures;1253;5;5
08.324.196/0001-81;2024-12-31;8;146531;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Debêntures;4914;15;210
08.324.196/0001-81;2024-12-31;8;146531;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Nota Comercial;0;1;3
08.343.492/0001-20;2024-12-31;14;146569;MRV ENGENHARIA E PARTICIPACOES S.A.;Debêntures;606;138;261
08.364.948/0001-38;2024-12-31;17;147454;ALUPAR INVESTIMENTO S/A;Debêntures;19;0;279
08.397.078/0001-01;2024-12-31;4;146822;GSH CORP PARTICIPAÇÕES S.A.;Debêntures;0;0;42
08.402.943/0001-52;2024-12-31;3;147402;GUARARAPES CONFECCOES S.A.;Debêntures;64;309;0
08.439.659/0001-50;2024-12-31;13;147446;CPFL ENERGIAS RENOVÁVEIS S.A.;Debêntures;0;0;36
08.467.115/0001-00;2024-12-31;15;148126;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;Debêntures;1218;18;325
08.764.621/0001-53;2024-12-31;3;147063;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;Debêntures;6;0;1
08.769.451/0001-08;2024-12-31;3;139459;VIRGO COMPANHIA DE SECURITIZAÇÃO;Certificado de Recebíveis do Agronegócio;1900;18;6
08.769.451/0001-08;2024-12-31;3;139459;VIRGO COMPANHIA DE SECURITIZAÇÃO;Certificados de Recebíveis Imobiliários;546;3;34
08.773.135/0001-00;2024-12-31;9;149568;2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL;Bônus de Subscrição;1;1;10
08.773.135/0001-00;2024-12-31;9;149568;2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL;Debêntures;1;0;9
08.797.760/0001-83;2024-12-31;13;148295;CURY CONSTRUTORA E INCORPORADORA S.A.;Debêntures;13;40;36
08.801.621/0001-86;2024-12-31;16;147515;SYN PROP & TECH S.A.;Debêntures;35;22;88
08.807.432/0001-10;2024-12-31;11;148038;YDUQS PARTICIPACOES S.A.;Debêntures;2767;296;3063
08.811.643/0001-27;2024-12-31;15;147780;TRISUL S.A.;Debêntures;0;9;9
08.822.767/0001-08;2024-12-31;2;138970;CONCESSIONÁRIA DA RODOVIA MG-050 S.A.;Debêntures;4467;26;44
08.827.501/0001-58;2024-12-31;7;147267;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;Debêntures;5751;686;799
08.845.676/0001-98;2024-12-31;2;142536;CORPÓREOS - SERVIÇOS TERAPÊUTICOS S.A.;Debêntures;0;8;0
08.873.873/0001-10;2024-12-31;7;146593;ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.;Debêntures;458;155;1001
08.926.302/0001-05;2024-12-31;6;146434;PRIO FORTE S.A.;Debêntures;14440;175;312
09.041.168/0001-10;2024-12-31;16;146606;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;Ações;12647;188;109
09.041.168/0001-10;2024-12-31;16;146606;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;Debêntures;0;0;4
09.053.134/0001-45;2024-12-31;5;146789;ELFA MEDICAMENTOS S.A.;Ações;2;1;0
09.053.134/0001-45;2024-12-31;5;146789;ELFA MEDICAMENTOS S.A.;Debêntures;0;0;700000000
09.054.385/0001-44;2024-12-31;1;138861;INBRANDS S.A.;Bônus de Subscrição;0;1;0
09.054.385/0001-44;2024-12-31;1;138861;INBRANDS S.A.;Debêntures;0;4;4
09.074.183/0001-64;2024-12-31;1;138781;TRANSBRASILIANA CONCESSIONÁRIA DE RODOVIA S.A;Debêntures;0;0;1
09.095.183/0001-40;2024-12-31;7;147284;ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A;Debêntures;482;13;362
09.095.183/0001-40;2024-12-31;7;147284;ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A;Nota Comercial;0;0;1
09.112.685/0001-32;2024-12-31;2;138958;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;Debêntures;0;1;2
09.114.805/0001-30;2024-12-31;7;147587;OCEANPACT SERVIÇOS MARITIMOS S.A.;Debêntures;52;9;137
09.146.451/0001-06;2024-12-31;5;146699;KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.;Debêntures;40;74;0
09.149.503/0001-06;2024-12-31;3;146486;SERENA GERAÇÃO S.A.;Debêntures;1631;129;403
09.257.877/0001-37;2024-12-31;5;146742;FERROVIA NORTE SUL S/A;Debêntures;0;0;95
09.267.996/0001-70;2024-12-31;6;145259;YUNY INCORPORADORA HOLDING S.A.;Debêntures;0;0;1
09.267.996/0001-70;2024-12-31;6;145259;YUNY INCORPORADORA HOLDING S.A.;Nota Comercial;0;0;1
09.288.252/0001-32;2024-12-31;13;147988;ANIMA HOLDING S.A.;Debêntures;0;0;42
09.305.994/0001-29;2024-12-31;12;146349;AZUL S.A.;Debêntures Conversíveis;0;0;3
09.313.969/0001-97;2024-12-31;2;138297;AUTOPISTA LITORAL SUL;Debêntures;23179;302;137
09.326.342/0001-70;2024-12-31;2;146311;AUTOPISTA FERNÃO DIAS SA;Debêntures;2551;153;0
09.346.601/0001-25;2024-12-31;16;147991;B3 S.A. - BRASIL, BOLSA, BALCÃO;Debêntures;0;0;458
09.347.516/0001-81;2024-12-31;15;147030;ELETROMIDIA S.A.;Debêntures;0;3;3
09.359.927/0001-97;2024-12-31;4;141847;ASA BRANCA HOLDING S.A.;Debêntures;0;0;88
09.391.823/0001-60;2024-12-31;3;144212;SANTO ANTONIO ENERGIA S.A.;Debêntures;0;0;1
09.414.761/0001-64;2024-12-31;3;141468;K-INFRA RODOVIA DO AÇO S.A.;Debêntures;0;0;0
09.478.309/0001-66;2024-12-31;1;138416;BRASIL BIOFUELS S.A.;Debêntures;0;1;0
09.478.309/0001-66;2024-12-31;1;138416;BRASIL BIOFUELS S.A.;Nota Comercial;0;1;0
09.527.023/0001-23;2024-12-31;3;149030;ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;Debêntures;241;162;403
09.584.854/0001-37;2024-12-31;2;142629;MANAUS TRANSMISSORA DE ENERGIA S.A;Debêntures;0;0;152
09.611.768/0001-76;2024-12-31;4;139312;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Debêntures;0;0;1
09.625.321/0001-56;2024-12-31;1;138379;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;Debêntures;1788;52;0
09.813.204/0001-16;2024-12-31;4;145528;W2W E-COMMERCE DE VINHOS S.A.;Bônus de Subscrição;6;3;9
09.813.204/0001-16;2024-12-31;4;145528;W2W E-COMMERCE DE VINHOS S.A.;Debêntures;0;28;0
09.813.204/0001-16;2024-12-31;4;145528;W2W E-COMMERCE DE VINHOS S.A.;Debêntures Conversíveis;0;1;0
10.215.988/0001-60;2024-12-31;3;144135;COMPANHIA DE LOCAÇÃO DAS AMÉRICAS;Certificado de Recebíveis do Agronegócio;0;0;1
10.234.027/0001-00;2024-12-31;3;147261;LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA S/A;Debêntures;0;1;0
10.240.186/0001-00;2024-12-31;3;147241;LINHAS DE XINGU TRANSMISSORA DE ENERGIA S/A;Debêntures;157;13;6
10.285.590/0001-08;2024-12-31;1;138827;GRUPO DE MODA SOMA S.A.;Debêntures;36;20;43
