CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Quantidade_Pessoa_Fisica;Quantidade_Pessoa_Juridica;Quantidade_Investidor
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Debêntures;25053;201;1862
00.192.769/0001-59;2024-12-31;1;138409;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Debêntures;0;1;0
00.194.724/0001-13;2024-12-31;5;142922;AUREN OPERAÇÕES S.A.;Debêntures;5846;0;928
00.242.184/0001-04;2024-12-31;8;148164;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Certificado de Recebíveis do Agronegócio;0;0;7
00.242.184/0001-04;2024-12-31;8;148164;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Debêntures;0;0;212
00.357.038/0001-16;2024-12-31;6;142214;AXIA ENERGIA NORTE S.A.;Debêntures;1061;4;218
00.383.281/0001-09;2024-12-31;7;146497;BNDES PARTICIPACOES S.A. - BNDESPAR;Debêntures;0;0;0
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Debêntures;0;15;590
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Nota Comercial;0;3;0
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Debêntures;0;0;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Debêntures;0;1;0
00.776.574/0001-56;2024-12-31;19;148226;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Debêntures;2107;623;290
00.864.214/0001-06;2024-12-31;18;148374;ENERGISA S.A.;Debêntures;25195;219;1633
00.864.214/0001-06;2024-12-31;18;148374;ENERGISA S.A.;Nota Comercial;0;0;253
00.873.894/0001-24;2024-12-31;1;138299;LETS RENT A CAR S/A;Debêntures;0;2;0
00.873.894/0001-24;2024-12-31;1;138299;LETS RENT A CAR S/A;Nota Comercial;0;1;0
00.897.864/0001-58;2024-12-31;1;138445;SANTA CATARINA PART INVEST SA;Debêntures;1;31;0
00.924.429/0001-75;2024-12-31;4;146688;FERROVIA CENTRO-ATLANTICA S.A.;Debêntures;0;1;54
00.938.574/0001-05;2024-12-31;9;148146;CONC RIO-TERESOPOLIS S.A.;Debêntures Conversíveis;0;5;0
01.027.058/0001-91;2024-12-31;16;148344;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Debêntures;0;586;0
01.083.200/0001-18;2024-12-31;9;146731;NEOENERGIA S.A.;Debêntures;16413;27;307
01.107.327/0001-20;2024-12-31;8;145245;BBM LOGÍSTICA S.A.;Debêntures;0;0;41
01.319.044/0001-41;2024-12-31;1;137920;WTC AMAZONAS SUITE HOTEL S.A.;Debêntures;0;153153;0
01.543.032/0001-04;2024-12-31;12;147160;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Debêntures;6773;128;605
01.545.826/0001-07;2024-12-31;15;147220;GAFISA S.A.;Debêntures;0;1;0
01.599.101/0001-93;2024-12-31;13;148110;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Debêntures;145;12;6
01.599.101/0001-93;2024-12-31;13;148110;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Debêntures Conversíveis;3;0;74
01.616.929/0001-02;2024-12-31;8;147476;SANEAMENTO DE GOIAS SA;Debêntures;16;0;284
01.637.895/0001-32;2024-12-31;5;143845;VOTORANTIM CIMENTOS S.A.;Debêntures;0;4;25
01.838.723/0001-27;2024-12-31;8;148266;BRF S.A.;Debêntures;1506;409;61
01.917.818/0001-36;2024-12-31;7;147381;LIGHT ENERGIA S.A.;Debêntures;0;0;2
01.938.783/0001-11;2024-12-31;7;147342;CIA PARTICIPACOES ALIANCA DA BAHIA;Debêntures;0;0;1
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Debêntures;0;0;0
01.968.293/0001-68;2024-12-31;1;138438;ELETRORIVER S.A.;Debêntures;0;0;1
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Debêntures;0;678;0
02.016.440/0001-62;2024-12-31;5;148097;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Debêntures;1429;60;336
02.016.507/0001-69;2024-12-31;1;135512;AXIA ENERGIA SUL S.A.;Debêntures;2851;172;55
02.031.413/0001-69;2024-12-31;3;144662;PETRO RIO JAGUAR PETRÓLEO S.A.;Debêntures;14440;174;312
02.041.460/0001-93;2024-12-31;5;145326;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;Debêntures;25;254;0
02.149.205/0001-69;2024-12-31;7;148229;PORTO SEGURO S.A.;Debêntures;0;0;0
02.149.205/0001-69;2024-12-31;7;148229;PORTO SEGURO S.A.;Letras Financeiras;0;0;27
02.201.787/0001-85;2024-12-31;1;137982;CEL PARTICIPAÇÕES S.A. - CELPAR;Debêntures;0;1;6
02.255.187/0001-08;2024-12-31;10;146862;UNIFIQUE TELECOMUNICAÇÕES S.A.;Debêntures;354;3;15
02.281.836/0001-37;2024-12-31;1;138599;TRANSNORDESTINA LOGISTICA SA;Debêntures;0;1;1
02.286.479/0001-08;2024-12-31;3;144794;LOCALIZA FLEET S.A.;Debêntures;68;19;51
02.291.077/0001-93;2024-12-31;2;143456;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;Debêntures;1;0;7
02.302.100/0001-06;2024-12-31;3;147199;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;Debêntures;0;83;381
02.302.100/0001-06;2024-12-31;3;147199;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;Nota Comercial;0;0;7
02.328.280/0001-97;2024-12-31;5;146412;ELEKTRO REDES S.A.;Debêntures;2761;12;492
02.328.280/0001-97;2024-12-31;5;146412;ELEKTRO REDES S.A.;Nota Comercial;0;0;42
02.357.251/0001-53;2024-12-31;2;144295;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;Nota Comercial;0;1;0
02.382.073/0001-10;2024-12-31;4;145402;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;Debêntures;0;0;152
02.387.241/0001-60;2024-12-31;16;146854;RUMO S.A.;Debêntures;47861;833;14
02.421.421/0001-11;2024-12-31;6;146225;TIM S.A.;Debêntures;0;0;1
02.451.848/0001-62;2024-12-31;4;145858;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;Debêntures;3;905;0
02.474.103/0001-19;2024-12-31;11;147971;ENGIE BRASIL ENERGIA S.A.;Debêntures;34125;142;563
02.502.844/0001-66;2024-12-31;12;146229;RUMO MALHA PAULISTA S.A.;Debêntures;4965;227;8
02.509.491/0001-26;2024-12-31;4;146594;CONC ECOVIAS IMIGRANTES S.A.;Debêntures;13466;75;309
02.536.066/0001-26;2024-12-31;7;148271;VITAL ENGENHARIA AMBIENTAL S.A.;Nota Comercial;0;0;5
02.558.157/0001-62;2024-12-31;7;147290;TELEFÔNICA BRASIL S.A;Debêntures;0;0;252
02.560.878/0001-07;2024-12-31;2;139936;HOSPITAL ANCHIETA S.A.;Debêntures;416;320;157
02.591.787/0001-39;2024-12-31;3;144580;CAPITALPART PARTICIPACOES S.A.;Bônus de Subscrição;0;0;0
02.600.854/0001-34;2024-12-31;3;146226;TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.;Debêntures;0;17;671
02.635.522/0001-95;2024-03-31;14;139950;JALLES MACHADO S.A.;Certificado de Recebíveis do Agronegócio;381;23;3
02.635.522/0001-95;2024-03-31;14;139950;JALLES MACHADO S.A.;Debêntures;2058;50;4
02.724.983/0001-34;2024-12-31;1;138513;SANESALTO SANEAMENTO S.A.;Debêntures;0;1;5
02.762.121/0001-04;2024-12-31;12;147629;SANTOS BRASIL PARTICIPACOES S.A.;Debêntures;1;0;98
02.783.423/0001-50;2024-12-31;1;138547;ALTERE SECURITIZADORA S.A.;Certificado de Recebíveis do Agronegócio;489;2;0
02.783.423/0001-50;2024-12-31;1;138547;ALTERE SECURITIZADORA S.A.;Certificados de Recebíveis Imobiliários;175;1;0
02.800.026/0001-40;2024-12-31;15;146749;COGNA EDUCAÇÃO S.A.;Debêntures;3547;330;249
02.846.056/0001-97;2024-12-31;15;146830;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;Debêntures;9854;1381;47
02.916.265/0001-60;2024-12-31;19;148263;JBS S.A.;Debêntures;0;0;2
02.919.555/0001-67;2024-12-31;3;146285;ARTERIS S.A.;Debêntures;2783;15;446
02.932.074/0001-91;2024-12-31;17;147121;HYPERA S.A.;Debêntures;1414;6;35
02.950.811/0001-89;2024-12-31;26;148232;PDG REALTY S.A. EMPREEND E PARTICIPACOES;Nota Comercial;0;0;1
02.998.301/0001-81;2024-12-31;5;147538;RIO PARANAPANEMA ENERGIA S.A.;Debêntures;0;0;77
02.998.611/0001-04;2024-12-31;16;147461;ISA ENERGIA BRASIL;Debêntures;39132;613;1456
03.025.305/0001-46;2024-12-31;3;142415;RODOVIAS DAS COLINAS S.A.;Debêntures;1;7;281
03.207.703/0001-83;2024-12-31;5;143423;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;Debêntures;0;315;0
03.220.438/0001-73;2024-12-31;37;148115;EQUATORIAL S.A.;Debêntures;127;89;605
03.279.285/0001-30;2024-12-31;12;146397;ORIZON MEIO AMBIENTE S.A.;Debêntures;68039;40703;791258
03.342.704/0001-30;2024-12-31;18;147420;PETRORECÔNCAVO S.A.;Debêntures;0;0;28
03.378.521/0001-75;2024-12-31;15;148162;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;Bônus de Subscrição;15547;297;412
03.378.521/0001-75;2024-12-31;15;148162;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;Debêntures;17660;354;420
03.467.321/0001-99;2024-12-31;9;148376;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Debêntures;4475;46;665
03.467.321/0001-99;2024-12-31;9;148376;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Nota Comercial;0;0;1
03.758.318/0001-24;2024-12-31;8;147998;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;Debêntures Conversíveis;0;1;3
03.767.538/0001-14;2024-12-31;5;148280;BRAZILIAN SECURITIES CIA SECURITIZACAO;Certificados de Recebíveis Imobiliários;1424;88;0
03.795.050/0001-09;2024-12-31;4;146639;TERMOPERNAMBUCO S.A.;Debêntures;0;0;7
03.820.456/0001-96;2024-12-31;1;138437;BSB ENERGÉTICA S.A.;Debêntures;0;0;1
03.853.896/0001-40;2024-12-31;15;148261;MARFRIG GLOBAL FOODS S.A.;Debêntures;0;1;0
03.953.509/0001-47;2024-12-31;8;148425;CPFL GERACAO DE ENERGIA S.A.;Debêntures;0;0;0
03.953.509/0001-47;2024-12-31;8;148425;CPFL GERACAO DE ENERGIA S.A.;Nota Comercial;0;0;1
03.983.431/0001-03;2024-12-31;3;146447;EDP - ENERGIAS DO BRASIL S.A.;Debêntures;832;1;23
04.032.433/0001-80;2024-12-31;3;148042;CONTAX PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Debêntures Conversíveis;10;2;21
04.065.053/0001-41;2024-12-31;2;140256;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Debêntures;0;1;0
04.089.570/0001-50;2024-12-31;5;147280;ÁGUAS GUARIROBA S.A;Debêntures;272;42;186
04.149.454/0001-80;2024-12-31;7;148018;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Debêntures;0;0;3
04.172.213/0001-51;2024-12-31;7;148096;CIA PIRATININGA DE FORCA E LUZ;Debêntures;93;5;303
04.212.396/0001-91;2024-12-31;5;144318;VOKE S.A.;Debêntures;17;4;17
04.212.396/0001-91;2024-12-31;5;144318;VOKE S.A.;Nota Comercial;0;0;6
04.368.865/0001-66;2024-12-31;6;143634;LIGGA TELECOMUNICAÇÕES S.A.;Debêntures;4655;114;135
04.368.898/0001-06;2024-12-31;9;144291;COPEL DISTRIBUIÇÃO S.A.;Debêntures;4277;825;93
04.370.282/0001-70;2024-12-31;11;146295;COPEL GERAÇÃO E TRANSMISSÃO S.A.;Debêntures;6997;699;260
04.370.282/0001-70;2024-12-31;11;146295;COPEL GERAÇÃO E TRANSMISSÃO S.A.;Nota Comercial;0;84;6
04.423.567/0001-21;2024-12-31;14;148217;ENEVA S.A;Debêntures;60157;423;709
04.601.397/0001-28;2024-12-31;10;148231;BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.;Debêntures;0;0;327
04.739.720/0001-24;2024-12-31;1;139344;USINA TERMELÉTRICA PAMPA SUL S.A.;Debêntures;12834;338;0
04.752.991/0001-10;2024-12-31;9;147350;BIOMM S.A.;Bônus de Subscrição;335;38;0
04.821.041/0001-08;2024-12-31;11;147782;METALFRIO SOLUTIONS S.A.;Debêntures;0;0;1
04.821.041/0001-08;2024-12-31;11;147782;METALFRIO SOLUTIONS S.A.;Nota Comercial;0;1;0
04.895.728/0001-80;2024-12-31;12;148125;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Debêntures;2933;54;181
04.972.092/0001-22;2024-12-31;5;144510;GRUPO FARTURA DE HORTIFRUT S.A.;Debêntures;0;0;4
04.972.092/0001-22;2024-12-31;5;144510;GRUPO FARTURA DE HORTIFRUT S.A.;Nota Comercial;0;0;1
04.986.320/0001-13;2024-12-31;20;148036;SER EDUCACIONAL S.A.;Debêntures;0;1;104
04.992.714/0001-84;2024-12-31;11;146848;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Debêntures;0;0;1333
04.992.714/0001-84;2024-12-31;11;146848;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Nota Comercial;0;0;2
05.197.443/0001-38;2024-12-31;11;148132;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Debêntures;598;13150;9136252
05.336.882/0001-84;2024-12-31;2;141586;CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.;Debêntures;0;0;48
05.878.397/0001-32;2024-12-31;16;148218;ALLOS S.A.;Debêntures;0;6;318
05.917.486/0001-40;2024-12-31;4;146998;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Debêntures;204;114;0
06.016.348/0001-53;2024-12-31;4;142106;VENTOS DO SUL ENERGIA S.A.;Debêntures;0;0;7
06.047.087/0001-39;2024-12-31;10;147426;REDE D'OR SÃO LUIZ S.A.;Debêntures;364;207;948
06.057.223/0001-71;2024-12-31;24;147799;SENDAS DISTRIBUIDORA S.A.;Debêntures;0;4;632
06.057.223/0001-71;2024-12-31;24;147799;SENDAS DISTRIBUIDORA S.A.;Nota Comercial;0;4;71
06.164.253/0001-87;2024-12-31;12;148193;GOL LINHAS AEREAS INTELIGENTES S.A.;Bônus de Subscrição;6122;69;0
06.272.793/0001-84;2024-12-31;14;148124;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Debêntures;17;14;99
06.347.409/0001-65;2024-12-31;5;148103;SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.;Debêntures;144;10;219
06.626.253/0001-51;2024-12-31;10;147195;EMPREENDIMENTOS PAGUE MENOS S.A.;Bônus de Subscrição;328;1;15
06.626.253/0001-51;2024-12-31;10;147195;EMPREENDIMENTOS PAGUE MENOS S.A.;Debêntures;30;4;160
06.626.253/0001-51;2024-12-31;10;147195;EMPREENDIMENTOS PAGUE MENOS S.A.;Nota Comercial;0;0;1
06.977.745/0001-91;2024-12-31;4;144476;BR MALLS PARTICIPACOES S.A.;Debêntures;0;0;316
06.981.180/0001-16;2024-12-31;20;148064;CEMIG DISTRIBUICAO S.A.;Debêntures;34651;78;783
07.040.108/0001-57;2024-12-31;8;147763;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Debêntures;925;29;207
07.047.251/0001-70;2024-12-31;15;147356;CIA ENERGETICA DO CEARA - COELCE;Debêntures;6891;74;331
07.119.838/0001-48;2024-12-31;1;138520;SECME - COMPANHIA SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS;Certificados de Recebíveis Imobiliários;6473;26;14
07.206.816/0001-15;2024-12-31;6;146235;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Debêntures;0;0;1
07.206.816/0001-15;2024-12-31;6;146235;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Nota Comercial;0;0;1
07.253.321/0001-47;2024-12-31;1;138042;CARBOMIL SA MINER. E INDUSTRIA;Debêntures;0;2;0
07.282.377/0001-20;2024-12-31;5;147296;ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S/A;Debêntures;571;6;64
07.282.377/0001-20;2024-12-31;5;147296;ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S/A;Nota Comercial;0;0;37
07.401.436/0001-31;2024-12-31;3;147268;ELDORADO BRASIL CELULOSE S.A.;Debêntures;0;232;0
07.415.333/0001-20;2024-12-31;7;147447;SIMPAR S.A.;Debêntures;15112;2877;160
07.594.978/0001-78;2024-12-31;11;148150;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Debêntures;14;16;501
07.628.528/0001-59;2024-06-30;8;143078;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Certificado de Recebíveis do Agronegócio;2143;0;22
07.628.528/0001-59;2024-06-30;8;143078;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Debêntures;0;0;1
07.636.657/0001-99;2024-12-31;4;148350;AÇO VERDE DO BRASIL S.A;Debêntures;0;1;1
07.682.638/0001-07;2024-12-31;3;146378;CONCESSIONÁRIA DA LINHA 4 DO METRÔ DE SÃO PAULO S.A.;Debêntures;0;2;3
07.714.104/0001-07;2024-12-31;11;146877;GIGA MAIS FIBRA TELECOMUNICAÇÕES S.A.;Debêntures;1;54;6
07.714.104/0001-07;2024-12-31;11;146877;GIGA MAIS FIBRA TELECOMUNICAÇÕES S.A.;Nota Comercial;0;0;1
07.802.794/0001-56;2024-12-31;5;146200;ESSENTIA PCHS S.A.;Debêntures;0;0;312
07.816.890/0001-53;2024-12-31;12;148264;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Debêntures;28;25;360
07.823.262/0001-03;2024-12-31;2;144354;FOZ DO RIO CLARO ENERGIA S.A.;Debêntures;0;0;89
07.859.971/0001-30;2024-12-31;14;151747;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Debêntures;16277;240;1413
07.882.930/0001-65;2024-12-31;4;148334;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Debêntures;0;2;0
07.976.147/0001-60;2024-12-31;7;144155;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;Debêntures;0;0;0
08.065.557/0001-12;2024-12-31;12;144932;TECNISA S.A.;Debêntures;0;0;8
08.065.557/0001-12;2024-12-31;12;144932;TECNISA S.A.;Nota Comercial;0;0;1
