CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Sigla_Classe_Acoes_Preferenciais;Classe_Acoes_Preferenciais;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;PNA;Preferencial Classe A;142559;97.032000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;PNB;Preferencial Classe B;268733136;95.996000
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;PNC;Preferencial Classe C;1;100.000000
00.070.698/0001-11;2024-12-31;5;146836;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;PNA;Preferencial Classe A;6565010;100.000000
00.070.698/0001-11;2024-12-31;5;146836;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;PNB;Preferencial Classe B;5299415;17.906000
00.192.769/0001-59;2024-12-31;1;138409;NEUMARKT TRADE AND FINANCIAL CENTER S/A;PNA;Preferencial Classe A;0;0.000000
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;ONA;Ordinária Classe A;0;0.000000
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;ONA;Ordinária Classe A;0;0.000000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;PNA;Preferencial Classe A;9604027;58.962000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;PNB;Preferencial Classe B;1392184;27.000000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;PNC;Preferencial Classe C;107199382;100.000000
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;PNR;Preferencial Classe R;69001153;27.000000
01.027.058/0001-91;2024-12-31;16;148344;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;PNA;Preferencial Classe A;0;0.000000
01.258.944/0001-26;2024-12-31;8;146737;RUMO MALHA SUL S.A.;PNA;Preferencial Classe A;0;0.000000
