CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Titulo_Conversivel_Acao;Condicoes_Conversao
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;333086;N/A;Não aplicável, tendo em vista que não há títulos conversíveis em ações emitidos pela Companhia.
00.776.574/0001-56;2024-12-31;19;148226;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;333756;Bônus de Subscrição;Foram emitidos 62.719.722 Bônus de Subscrição (AMER11), atribuídos como vantagem adicional aos subscritores das novas ações, na proporção de 1 bônus de subscrição para cada grupo de 3 ações subscritas.
00.776.574/0001-56;2024-12-31;19;148226;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;333757;Bônus de Subscrição;Foram emitidos 62.719.722 Bônus de Subscrição (AMER11), atribuídos como vantagem adicional aos subscritores das novas ações, na proporção de 1 bônus de subscrição para cada grupo de 3 ações subscritas.
00.776.574/0001-56;2024-12-31;19;148226;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;333758;Bônus de Subscrição;Foram emitidos 62.719.722 Bônus de Subscrição (AMER11), atribuídos como vantagem adicional aos subscritores das novas ações, na proporção de 1 bônus de subscrição para cada grupo de 3 ações subscritas.
00.776.574/0001-56;2024-12-31;19;148226;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;333759;Bônus de Subscrição;Foram emitidos 62.719.722 Bônus de Subscrição (AMER11), atribuídos como vantagem adicional aos subscritores das novas ações, na proporção de 1 bônus de subscrição para cada grupo de 3 ações subscritas.
03.758.318/0001-24;2024-12-31;8;147998;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;333262;DEBÊNTURES - 3ª EMISSÃO;As condições para conversão estão informadas no item 12.3 deste Formulário de Referência
03.758.318/0001-24;2024-12-31;8;147998;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;333262;DEBÊNTURES - 5º EMISSÃO;As condições para conversão estão informadas no item 12.3 deste Formulário de Referência
04.370.282/0001-70;2024-12-31;11;146295;COPEL GERAÇÃO E TRANSMISSÃO S.A.;330552;NÃO HÁ CONVERSÕES EM AÇÕES;Não há conversões em ações
04.752.991/0001-10;2024-12-31;9;147350;BIOMM S.A.;332713;Bônus de subscrição - BIOM12;Quantidade: 575.194 mil títulos / Data de exercício: 02/02/2026 até 18/03/2026
04.752.991/0001-10;2024-12-31;9;147350;BIOMM S.A.;332713;Bônus de subscrição - BIOM13;Quantidade: 775.941 mil títulos / Data de exercício: 02/02/2027 até 18/03/2027
04.752.991/0001-10;2024-12-31;9;147350;BIOMM S.A.;332713;Bônus de subscrição - BIOM14;Quantidade: 7.812.500 mil títulos / Data de exercício: 01/10/2027 até 15/11/2027
09.095.183/0001-40;2024-12-31;7;147284;ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A;332558;NÃO SE APLICA.;Não se aplica.
13.017.462/0001-63;2024-12-31;3;147287;ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A;332570;NÃO SE APLICA.;Não se aplica.
