CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Identificacao_Valor_Mobiliario;Pais_Negociacao;Mercado;Administradora;Data_Emissao;Data_Inicio_Listagem;Percentual;Descricao_Segmento;Descricao_Proporcao_Certificado;Descricao_Banco_Depositario;Descricao_Instituicao_Custodiante
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Letras Financeiras;ADR - BDORY;Estados Unidos;Secundário;SEC - Securities and Exchange Commission.;2009-11-10;2009-12-02;1.141166;Segmento de Balcão;1:1 (1 ADR pra cada Ação Ordinária);The Bank of New York Mellon;Banco do Brasil S.A.
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Letras Financeiras;Bônus Perpétuo 2013;Luxemburgo;Euro MTF;The Luxembourg Stock Exchange;2013-01-31;2013-01-31;0.000000;Secundário - Balcão;;;Bank of New York Mellon
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Letras Financeiras;Dívida Sênior - EMTN 2017-1;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2017-10-23;2017-10-23;0.000000;Euro MTF;;;Deutsche Bank Trust Company Americas
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Letras Financeiras;IECE - Bônus Perpétuo 2014;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2014-06-18;2014-06-18;0.000000;Euro MTF;;;Bank of New York Mellon
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Letras Financeiras;Dívida Sênior - EMTN 2019-1;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2019-03-13;2019-03-13;0.000000;Euro MTF;;;Deutsche Bank
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Letras Financeiras;Dívida Sênior - EMTN 2021-1;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2021-09-30;2021-09-30;0.000000;Euro MTF;;;Deutsche Bank
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Letras Financeiras;Dívida Sênior - EMTN 2022-1;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2022-01-06;2022-01-06;0.000000;Euro MTF;;;Deutsche Bank
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Letras Financeiras;Dívida Sênior - EMTN 2024-1;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2024-03-18;2024-03-18;0.000000;Euro MTF;;;Deutsche Bank
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Letra Financeira;Dívida Sênior - EMTN 2023-1;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2023-04-18;2023-04-18;0.000000;Euro MTF;;;Deutsche Bank
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;ADR;EBR e EBRB;Estados Unidos;NYSE;Bolsa de Nova York;2008-10-31;2008-10-31;10.080000;;;Citibank NA;Citibank NA
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ações;XELTO e XELTB;Espanha;Mercado de Ações de Empresas Latino-americanas negociadas em euros - Latibex;Bolsa de Valores de Madri;2000-04-18;2000-04-18;0.003000;;Não Aplicável;;
