CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Nome_Responsavel;Cargo_Responsavel
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Tarciana Paula Gomes Medeiros;Diretor Presidente
00.000.000/0001-91;2024-12-31;14;147862;BCO BRASIL S.A.;Marco Geovanne Tobias da Silva;Diretor de Relações com Investidores
00.000.208/0001-00;2024-12-31;18;148166;BRB BANCO DE BRASILIA S.A.;Cristiane Maria Lima Bukowitz;Diretor Presidente
00.000.208/0001-00;2024-12-31;18;148166;BRB BANCO DE BRASILIA S.A.;Dario Oswaldo Garcia Junior;Diretor de Relações com Investidores
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ivan de Souza Monteiro;Diretor Presidente
00.001.180/0001-26;2024-12-31;22;147675;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eduardo Haiama;Diretor de Relações com Investidores
00.070.698/0001-11;2024-12-31;5;146836;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Edison Antônio Costa Britto Garcia;Diretor Presidente
00.070.698/0001-11;2024-12-31;5;146836;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Brás Kleyber Borges Teodoro;Diretor de Relações com Investidores
00.080.671/0001-00;2024-12-31;7;145178;CARAMURU ALIMENTOS S.A.;Júlio César da Costa;Diretor Presidente
00.080.671/0001-00;2024-12-31;7;145178;CARAMURU ALIMENTOS S.A.;Marcus Erich Thieme;Diretor de Relações com Investidores
00.192.769/0001-59;2024-12-31;1;138409;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Bruno Stefani Rocha;Diretor Presidente/Relações com Investidores
00.194.724/0001-13;2024-12-31;5;142922;AUREN OPERAÇÕES S.A.;Rogério Pereira Jorge;Diretor Presidente/Relações com Investidores
00.194.724/0001-13;2024-12-31;5;142922;AUREN OPERAÇÕES S.A.;Daniel Marrocos Camposilvan;Diretor Presidente
00.194.724/0001-13;2024-12-31;5;142922;AUREN OPERAÇÕES S.A.;Mateus Gomes Ferreira;Diretor de Relações com Investidores
00.242.184/0001-04;2024-12-31;8;148164;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Fernando Pereira Aragão;Diretor Presidente
00.242.184/0001-04;2024-12-31;8;148164;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Cássio Lucato Castardelli;Diretor de Relações com Investidores
00.242.184/0001-04;2024-12-31;8;148164;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Marcos Antonio Pinheiro Filho;Diretor de Relações com Investidores
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;BRUNO AUGUSTO SACCHI ZAREMBA;Diretor Presidente
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;JOSÉ GUILHERME CRUZ SOUZA;Diretor de Relações com Investidores
00.336.701/0001-04;2024-12-31;4;147676;TELEC BRASILEIRAS S.A. TELEBRAS;Frederico de Siqueira Filho;Diretor Presidente
00.336.701/0001-04;2024-12-31;4;147676;TELEC BRASILEIRAS S.A. TELEBRAS;Tatiana Rúbia Melo Miranda;Diretor de Relações com Investidores
00.336.701/0001-04;2024-12-31;4;147676;TELEC BRASILEIRAS S.A. TELEBRAS;TATIANA RÚBIA MELO MIRANDA;Diretor Presidente/Relações com Investidores
00.357.038/0001-16;2024-12-31;6;142214;AXIA ENERGIA NORTE S.A.;Eduardo Haiama;Diretor de Relações com Investidores
00.357.038/0001-16;2024-12-31;6;142214;AXIA ENERGIA NORTE S.A.;Antonio Augusto Bechara Pardauil;Diretor Presidente
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;Ana Carolina Paifer;Diretor Presidente
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;Danilo Rodrigo Cisotto;Diretor de Relações com Investidores
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;ANDRÉ LUIZ CARNEIRO DE VASCONCELLOS;Diretor de Relações com Investidores
00.359.742/0001-08;2024-12-31;4;147979;FICTOR ALIMENTOS S.A.;RAFAEL RIBEIRO LEITE DE GOIS;Diretor Presidente
00.383.281/0001-09;2024-12-31;7;146497;BNDES PARTICIPACOES S.A. - BNDESPAR;Aloizio Mercadante Oliva;Diretor Presidente
00.383.281/0001-09;2024-12-31;7;146497;BNDES PARTICIPACOES S.A. - BNDESPAR;Alexandre Corrêa Abreu;Diretor de Relações com Investidores
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Ricardo Soeiro dos Santos Cunha;Diretor Presidente
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Leonardo Vieira da Rocha;Diretor de Relações com Investidores
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Alain Jean Pierre Baldacci;Diretor Presidente/Relações com Investidores
