CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
00.383.281/0001-09;2024-12-31;7;146497;BNDES PARTICIPACOES S.A. - BNDESPAR;331011;Capital Autorizado;2018-06-29;100000000000.00;;0;0;0
00.383.281/0001-09;2024-12-31;7;146497;BNDES PARTICIPACOES S.A. - BNDESPAR;331012;Capital Emitido;2023-04-28;34459314837.48;;1000000;0;1000000
00.383.281/0001-09;2024-12-31;7;146497;BNDES PARTICIPACOES S.A. - BNDESPAR;331013;Capital Subscrito;2023-04-28;34459314837.48;;1000000;0;1000000
00.383.281/0001-09;2024-12-31;7;146497;BNDES PARTICIPACOES S.A. - BNDESPAR;331014;Capital Integralizado;2023-04-28;34459314837.48;;1000000;0;1000000
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;319271;Capital Subscrito;2022-04-30;1093350865.39;;211815;0;211815
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;319272;Capital Integralizado;2022-04-30;1093350865.39;;211815;0;211815
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;312810;Capital Autorizado;2010-04-30;32683241.00;;29188116;0;29188116
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;316782;Capital Integralizado;2023-12-21;4116767067.51;01/10/2024;645753340;0;645753340
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;332409;Capital Subscrito;2009-04-07;961793701.46;;402202308;384203962;786406270
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;332410;Capital Integralizado;2009-04-07;961793701.46;;402202308;384203962;786406270
00.644.907/0001-93;2024-12-31;4;147196;INVESTCO S.A.;332411;Capital Emitido;2009-04-07;961793701.46;;402202308;384203962;786406270
00.743.065/0001-27;2024-12-31;5;147980;LITEL PARTICIPACOES S.A.;333222;Capital Emitido;2019-09-09;21844245.97;;215495403;0;215495403
00.743.065/0001-27;2024-12-31;5;147980;LITEL PARTICIPACOES S.A.;333223;Capital Subscrito;2019-09-09;21844245.97;;215495403;0;215495403
00.743.065/0001-27;2024-12-31;5;147980;LITEL PARTICIPACOES S.A.;333224;Capital Integralizado;2019-09-09;21844245.97;;215495403;0;215495403
00.743.065/0001-27;2024-12-31;5;147980;LITEL PARTICIPACOES S.A.;333225;Capital Autorizado;1995-07-27;0.00;;600000000;0;600000000
00.776.574/0001-56;2024-12-31;19;148226;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;333756;Capital Emitido;2025-05-14;39918282250.53;25/04/2025;200244321;0;200244321
00.776.574/0001-56;2024-12-31;19;148226;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;333757;Capital Subscrito;2025-05-14;39918282250.53;25/04/2025;200244321;0;200244321
00.776.574/0001-56;2024-12-31;19;148226;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;333758;Capital Integralizado;2025-05-14;39918282250.53;25/04/2025;200244321;0;200244321
00.776.574/0001-56;2024-12-31;19;148226;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;333759;Capital Autorizado;2024-05-21;0.00;21/05/2024;435084497;0;435084497
00.864.214/0001-06;2024-12-31;18;148374;ENERGISA S.A.;334076;Capital Emitido;2025-04-29;8129240876.12;;887231247;1402193416;2289424663
00.864.214/0001-06;2024-12-31;18;148374;ENERGISA S.A.;334077;Capital Subscrito;2025-04-29;8129240876.12;;887231247;1402193416;2289424663
00.864.214/0001-06;2024-12-31;18;148374;ENERGISA S.A.;334078;Capital Integralizado;2025-04-26;8129240876.12;;887231247;1402193416;2289424663
00.864.214/0001-06;2024-12-31;18;148374;ENERGISA S.A.;334079;Capital Autorizado;2018-04-25;0.00;;1000000000;2000000000;3000000000
00.873.894/0001-24;2024-12-31;1;138299;LETS RENT A CAR S/A;316067;Capital Emitido;2023-09-30;578986461.00;N/A;578986461;0;578986461
00.873.894/0001-24;2024-12-31;1;138299;LETS RENT A CAR S/A;316068;Capital Subscrito;2023-09-30;578986461.00;N/A;578986461;0;578986461
00.873.894/0001-24;2024-12-31;1;138299;LETS RENT A CAR S/A;316069;Capital Integralizado;2023-09-30;578986461.00;N/A;578986461;0;578986461
00.897.864/0001-58;2024-12-31;1;138445;SANTA CATARINA PART INVEST SA;316403;Capital Autorizado;1995-11-13;200000000.00;;200000;0;200000
00.924.429/0001-75;2024-12-31;4;146688;FERROVIA CENTRO-ATLANTICA S.A.;331465;Capital Integralizado;2021-08-09;4663323193.63;;142807784;19;142807803
00.924.429/0001-75;2024-12-31;4;146688;FERROVIA CENTRO-ATLANTICA S.A.;331466;Capital Integralizado;2020-10-23;4663257541.95;;136242616;19;136242635
00.924.429/0001-75;2024-12-31;4;146688;FERROVIA CENTRO-ATLANTICA S.A.;331467;Capital Integralizado;2019-06-21;4663149572.80;;125445701;19;125445720
00.924.429/0001-75;2024-12-31;4;146688;FERROVIA CENTRO-ATLANTICA S.A.;331468;Capital Integralizado;2018-05-02;4638836550.90;;112303527;19;112303546
00.924.429/0001-75;2024-12-31;4;146688;FERROVIA CENTRO-ATLANTICA S.A.;331469;Capital Integralizado;2016-10-11;4558858541.93;;367645433926725;66665012;367645500591737
00.924.429/0001-75;2024-12-31;4;146688;FERROVIA CENTRO-ATLANTICA S.A.;331470;Capital Emitido;2010-04-29;1722965684.34;29/04/2010;210197577031248;66665012;210197643696260
00.924.429/0001-75;2024-12-31;4;146688;FERROVIA CENTRO-ATLANTICA S.A.;331471;Capital Subscrito;2010-04-29;1722965684.34;29/04/2010;210197577031248;66665012;210197643696260
