CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Pais;Data_Admissao_Negociacao
00.000.000/0001-91;2023-01-01;2;125484;BCO BRASIL S.A.;Estados Unidos;2009-12-02
00.001.180/0001-26;2023-01-01;5;131365;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Espanha;2000-04-18
00.001.180/0001-26;2023-01-01;5;131365;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Estados Unidos;2008-10-30
00.776.574/0001-56;2023-01-01;6;132683;AMERICANAS S.A. - em Recuperação Judicial;Estados Unidos;2007-03-31
01.545.826/0001-07;2023-01-01;3;125696;GAFISA S.A.;Estados Unidos;2007-03-16
01.599.101/0001-93;2023-01-01;2;130602;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Brasil;2020-10-05
01.838.723/0001-27;2023-01-01;3;125314;BRF S.A.;Estados Unidos;2000-10-20
01.957.772/0001-89;2023-01-01;1;130674;SUL 116 PARTICIPACOES S.A.;Brasil;1997-09-03
02.201.787/0001-85;2023-01-01;1;127651;CEL PARTICIPAÇÕES S.A. - CELPAR;Brasil;1997-12-02
02.351.144/0001-18;2023-01-01;1;127788;TEGMA GESTAO LOGISTICA S.A.;Brasil;2007-06-28
02.474.103/0001-19;2023-01-01;2;130809;ENGIE BRASIL ENERGIA S.A.;Estados Unidos;1998-06-01
02.558.157/0001-62;2023-01-01;1;122941;TELEFÔNICA BRASIL S.A;Estados Unidos;1998-09-22
02.762.121/0001-04;2023-01-01;1;127437;SANTOS BRASIL PARTICIPACOES S.A.;Estados Unidos;2007-12-05
02.932.074/0001-91;2023-01-01;1;128393;HYPERA S.A.;Estados Unidos;2010-05-26
02.998.301/0001-81;2023-01-01;2;128661;RIO PARANAPANEMA ENERGIA S.A.;Estados Unidos;1999-09-24
02.998.611/0001-04;2023-01-01;1;124961;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;Estados Unidos;1999-09-24
03.220.438/0001-73;2023-01-01;1;124976;EQUATORIAL ENERGIA S.A.;Estados Unidos;2008-12-19
03.378.521/0001-75;2023-01-01;3;126905;LIGHT S.A. - Em Recuperação Judicial;Estados Unidos;2008-10-25
03.847.461/0001-92;2023-01-01;1;123406;BRADESPAR S.A.;Espanha;2001-07-10
03.847.461/0001-92;2023-01-01;1;123406;BRADESPAR S.A.;Grã-Bretanha (Reino Unido, UK);2001-05-21
03.853.896/0001-40;2023-01-01;1;123962;MARFRIG GLOBAL FOODS S.A.;Brasil;2007-06-16
04.902.979/0001-44;2023-01-01;2;123744;BCO AMAZONIA S.A.;Brasil;1977-07-20
04.912.242/0001-02;2023-01-01;1;123719;PORTUENSE FERRAGENS S/A;Brasil;2001-03-31
05.495.546/0001-84;2023-01-01;2;127100;Litela Participações S.A. - Em Liquidação;Brasil;2019-09-05
06.164.253/0001-87;2023-01-01;2;129673;GOL LINHAS AEREAS INTELIGENTES S.A.;Estados Unidos;2004-06-09
07.253.321/0001-47;2023-01-01;1;126084;CARBOMIL SA MINER. E INDUSTRIA;Brasil;1993-07-27
07.526.557/0001-00;2023-01-01;1;127327;AMBEV S.A.;Estados Unidos;2013-11-11
07.628.528/0001-59;2023-01-01;1;127203;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Estados Unidos;2012-11-08
07.689.002/0001-89;2023-01-01;1;123249;EMBRAER S.A.;Estados Unidos;2006-05-23
07.857.093/0001-14;2023-01-01;2;130770;AURA MINERALS INC.;Canadá;2006-07-25
07.857.850/0001-50;2023-01-01;1;124379;GP INVESTMENTS, LTD.;Luxemburgo;2006-05-30
08.070.508/0001-78;2023-01-01;1;128172;RAIZEN ENERGIA S.A.;Brasil;2013-10-21
08.078.847/0001-09;2023-01-01;2;127656;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Brasil;2006-12-18
08.534.605/0001-74;2023-01-01;3;133171;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;Brasil;2008-08-20
08.801.621/0001-86;2023-01-01;1;127223;SYN PROP & TECH S.A.;Estados Unidos;2007-08-10
08.807.432/0001-10;2023-01-01;1;127052;YDUQS PARTICIPACOES S.A.;Estados Unidos;2014-11-17
08.873.873/0001-10;2023-01-01;1;123138;ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.;Brasil;2009-12-22
08.926.302/0001-05;2023-01-01;1;123102;DOMMO ENERGIA S.A.;Brasil;2014-09-17
09.305.994/0001-29;2023-01-01;3;128741;AZUL S.A.;Estados Unidos;2016-04-07
09.346.601/0001-25;2023-01-01;2;131478;B3 S.A. - BRASIL, BOLSA, BALCÃO;Luxemburgo;2021-09-20
