CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Plano_Recompra;Especie_Acao;Tipo_Classe_Acao_Preferencial;Quantidade_Adquirida;Escala_Cotacao;Quantidade_Prevista;Valor_Preco_Medio;Percentual_Previsto;Percentual_Adquirido
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;38198;Ordinária;;0;R$ por Unidade;0;0.00;0.000000;0.000000
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;38199;Preferencial;;0;R$ por Unidade;0;0.00;0.000000;0.000000
00.545.378/0001-70;2020-01-01;1;95407;SERRA AZUL WATER PARK SA;36024;Ordinária;;0;R$ por Unidade;0;0.00;0.000000;0.000000
01.027.058/0001-91;2020-01-01;21;104759;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;38706;Ordinária;;363000;R$ por Unidade;400000;7.78;0.040000;90.750000
01.027.058/0001-91;2020-01-01;21;104759;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;38707;Ordinária;;1100000;R$ por Unidade;1100000;10.69;0.100000;100.000000
01.027.058/0001-91;2020-01-01;21;104759;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;38708;Ordinária;;1070000;R$ por Unidade;1070000;7.71;0.100000;100.000000
01.027.058/0001-91;2020-01-01;21;104759;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;38709;Ordinária;;1073254;R$ por Unidade;1550000;20.78;0.140000;69.240000
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;38523;Ordinária;;0;R$ por Unidade;10327558;0.00;8.727939;0.000000
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;38524;Ordinária;;2583767;R$ por Unidade;3516970;13.19;8.010000;73.470000
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;38525;Ordinária;;4509665;R$ por Unidade;8198565;1.92;5.000000;55.000000
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;38526;Ordinária;;1000000;R$ por Unidade;27000000;2.02;10.000000;3.700000
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;38527;Ordinária;;30207130;R$ por Unidade;30207130;2.07;10.000000;100.000000
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;38528;Ordinária;;17456434;R$ por Unidade;17456434;2.98;10.000000;100.000000
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;38529;Ordinária;;15500000;R$ por Unidade;32938554;3.49;10.000000;47.050000
01.838.723/0001-27;2020-01-01;11;104527;BRF S.A.;38602;Ordinária;;4836000;R$ por Unidade;7500000;21.92;0.932534;64.480000
01.896.779/0001-38;2020-01-01;5;102857;CSU DIGITAL S.A.;38097;Ordinária;;0;R$ por Unidade;3000000;0.00;16.470000;0.000000
01.896.779/0001-38;2020-01-01;5;102857;CSU DIGITAL S.A.;38098;Ordinária;;220000;R$ por Unidade;1000000;7.34;5.910000;22.000000
01.896.779/0001-38;2020-01-01;5;102857;CSU DIGITAL S.A.;38099;Ordinária;;0;R$ por Unidade;1000000;0.00;6.710000;0.000000
01.896.779/0001-38;2020-01-01;5;102857;CSU DIGITAL S.A.;38100;Ordinária;;0;R$ por Unidade;1000000;0.00;6.721676;0.000000
01.896.779/0001-38;2020-01-01;5;102857;CSU DIGITAL S.A.;38101;Ordinária;;0;R$ por Unidade;1000000;0.00;6.721676;0.000000
01.896.779/0001-38;2020-01-01;5;102857;CSU DIGITAL S.A.;38102;Ordinária;;81800;R$ por Unidade;1000000;1.83;6.721676;8.180000
01.896.779/0001-38;2020-01-01;5;102857;CSU DIGITAL S.A.;38103;Ordinária;;1000000;R$ por Unidade;1000000;2.88;6.049442;100.000000
01.896.779/0001-38;2020-01-01;5;102857;CSU DIGITAL S.A.;38104;Ordinária;;560000;R$ por Unidade;600000;2.91;3.403203;0.933333
01.896.779/0001-38;2020-01-01;5;102857;CSU DIGITAL S.A.;38105;Ordinária;;1093500;R$ por Unidade;1200000;3.19;6.618699;91.125000
01.896.779/0001-38;2020-01-01;5;102857;CSU DIGITAL S.A.;38106;Ordinária;;0;R$ por Unidade;1000000;0.00;5.203062;0.000000
01.896.779/0001-38;2020-01-01;5;102857;CSU DIGITAL S.A.;38107;Ordinária;;250000;R$ por Unidade;250000;4.24;1.232653;100.000000
02.149.205/0001-69;2020-01-01;7;102827;PORTO SEGURO S.A.;38079;Ordinária;;0;R$ por Unidade;5000000;0.00;5.322750;0.000000
02.149.205/0001-69;2020-01-01;7;102827;PORTO SEGURO S.A.;38080;Ordinária;;0;R$ por Unidade;5000000;0.00;5.301500;0.000000
02.149.205/0001-69;2020-01-01;7;102827;PORTO SEGURO S.A.;38081;Ordinária;;0;R$ por Unidade;5000000;0.00;5.300000;0.000000
02.387.241/0001-60;2020-01-01;22;105130;RUMO S.A.;38824;Ordinária;;2087000;R$ por Unidade;21482277;18.79;1.160000;9.710000
02.558.115/0001-21;2020-01-01;1;94499;TIM PARTICIPACOES S.A.;35699;Ordinária;;930466;R$ por Unidade;930466;15.48;0.120000;100.000000
02.558.115/0001-21;2020-01-01;1;94499;TIM PARTICIPACOES S.A.;35700;Ordinária;;377052;R$ por Unidade;377052;11.64;0.050000;100.000000
02.558.115/0001-21;2020-01-01;1;94499;TIM PARTICIPACOES S.A.;35701;Ordinária;;2354685;R$ por Unidade;2354685;11.77;0.290000;100.000000
02.558.157/0001-62;2020-01-01;5;102984;TELEFÔNICA BRASIL S.A;38151;Ordinária;;0;R$ por Unidade;583558;0.00;1.846063;0.000000
