CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Aumento;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;312031;Preferencial Classe B;14504511
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;310329;Preferencial Classe B;2625179
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;307781;Preferencial Classe A;200000
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;307787;Preferencial Classe A;0
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;307402;Preferencial Classe A;0
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;307403;Preferencial Classe A;8074780
02.643.896/0001-52;2020-01-01;2;97214;REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.;290867;Preferencial Classe A;10
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;303922;Preferencial Classe B;32667
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;303923;Preferencial Classe B;69167
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;303924;Preferencial Classe B;133333
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;303925;Preferencial Classe B;33333
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;303927;Preferencial Classe B;66667
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;303928;Preferencial Classe B;333333
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;303929;Preferencial Classe B;180000
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;309604;Preferencial Classe B;60000
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;309605;Preferencial Classe B;33333
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;309607;Preferencial Classe B;66667
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;309609;Preferencial Classe B;180000
04.038.763/0001-82;2020-01-01;4;102098;CAIANDA PARTICIPACOES S.A.;303941;Preferencial Classe B;63333
