CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Constituicao_Emissor;Forma_Constituicao_Emissor;Sigla_Pais_Constituicao_Emissor;Pais_Constituicao_Emissor;Prazo_Duracao_Emissor;Data_Registro_Emissor;Requisicao_Registro_Emissor
61.186.680/0001-74;2020-01-01;19;104291;BANCO BMG S/A;1964-12-28;Sociedade anônima;BR;Brasil;;2018-12-17;N
61.189.288/0001-89;2020-01-01;13;103807;MARISA LOJAS S.A.;1959-04-28;Sociedade empresária limitada;BR;Brasil;;2010-06-14;N
61.351.532/0001-68;2020-01-01;7;103990;AZEVEDO E TRAVASSOS S.A.;1922-06-25;Sociedade Anônima;BR;Brasil;;1984-07-20;N
61.374.161/0001-30;2020-01-01;1;95588;BAUMER S.A.;1952-07-05;Sociedade Anônima de Capital Aberta;BR;Brasil;;1970-05-20;N
61.486.650/0001-83;2020-01-01;9;100193;DIAGNOSTICOS DA AMERICA S.A.;1966-07-17;Sociedade Cívil Limitada;BR;Brasil;;2004-11-05;N
61.532.644/0001-15;2020-01-01;6;104621;ITAÚSA S.A.;1966-05-06;Sociedade Anônima;BR;Brasil;;1977-07-20;N
61.584.140/0001-49;2020-01-01;2;97043;REDE ENERGIA PARTICIPAÇÕES S.A.;1929-01-02;Sociedade Anônima;BR;Brasil;;1969-10-16;N
61.585.865/0001-51;2020-01-01;6;103803;RAIA DROGASIL S.A.;1935-03-28;Sociedade Anônima;BR;Brasil;;1977-07-20;N
61.695.227/0001-93;2020-01-01;7;102782;ELETROPAULO METROP. ELET. SAO PAULO S.A.;1971-09-08;Sociedade por ações;BR;Brasil;;1993-08-19;N
61.856.571/0001-17;2020-01-01;6;104613;CIA GAS DE SAO PAULO - COMGAS;1872-08-28;Sociedade empresária limitada;BR;Brasil;;1996-07-03;N
62.002.886/0001-60;2020-01-01;9;103628;SAO PAULO TURISMO S.A.;1968-02-05;Sociedade anônima de capital autorizado, de economia mista, controlada pela Prefeitura do Município de São Paulo;BR;Brasil;;1977-10-20;N
62.144.175/0001-20;2020-01-01;8;104793;BCO PINE S.A;1997-05-15;Constituída sob a forma de sociedade por ações.;BR;Brasil;;2007-03-27;N
62.232.889/0001-90;2020-01-01;4;92843;BCO DAYCOVAL S.A.;1968-08-05;Em 05 de agosto de 1968 foi constituída a Daycoval Distribuidora de Títulos e Valores Mobiliários Ltda., que em 22 de maio de 1989 foi transformada em sociedade anônima e adotou a denominação de Banco Daycoval S.A.;BR;Brasil;;2007-06-27;N
62.307.848/0001-15;2020-01-01;3;99601;BANCO RCI BRASIL S.A.;1968-09-12;O Banco RCI Brasil S.A. ("Companhia") foi constituído na forma de sociedade limitada. Em 13 de fevereiro de 1970, a Companhia foi transformada em uma sociedade por ações.;BR;Brasil;;2008-04-29;N
62.984.091/0001-02;2020-01-01;6;103076;CRUZEIRO DO SUL EDUCACIONAL S.A.;1970-07-09;Sociedade anônima;BR;Brasil;;2021-02-09;N
64.904.295/0001-03;2020-02-28;9;94700;CAMIL ALIMENTOS S.A.;1990-11-09;Sociedade Anônima;BR;Brasil;;2017-09-26;N
65.654.303/0001-73;2020-01-01;12;103782;DIBENS LEASING S.A. - ARREND.MERCANTIL;1990-09-27;Constituída por meio de subscrição particular de ações, sob a forma de sociedade por ações de capital fechado, por meio da Assembleia Geral de Constituição realizada em 27 de setembro de 1990.;BR;Brasil;;1993-09-28;N
67.010.660/0001-24;2020-01-01;7;103249;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;1991-10-16;Constituída sob a forma de sociedade limitada, tendo se transformado em sociedade por ações em 25 de setembro de 2006.;BR;Brasil;;2007-01-18;N
