CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Especie_Acao;Classe_Acao;Dividendo_Distribuido;Montante;Data_Pagamento_Dividendo
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;Ordinária;;Juros Sobre Capital Próprio;621703626.34;2017-11-30
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;Ordinária;;Juros Sobre Capital Próprio;230029411.76;2017-12-28
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;Ordinária;;Juros Sobre Capital Próprio;675667312.59;2018-03-12
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;Ordinária;;Juros Sobre Capital Próprio;212470588.24;2017-09-29
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;Ordinária;;Juros Sobre Capital Próprio;559958207.40;2017-08-31
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;Ordinária;;Juros Sobre Capital Próprio;218823529.41;2017-06-30
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;Ordinária;;Juros Sobre Capital Próprio;509477115.19;2017-05-31
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;Ordinária;;Juros Sobre Capital Próprio;200823529.41;2017-03-31
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;1630972721.96;2019-03-07
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;350059500.00;2018-12-28
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;Ordinária;;Juros Sobre Capital Próprio;1161269955.18;2018-11-30
