CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Desdobramento;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes_Antes_Aprovacao;Quantidade_Acoes_Depois_Aprovacao
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;25411;Preferencial Classe A;210029997060;21002999
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;25412;Preferencial Classe A;21002999;2100299
07.253.321/0001-47;2020-01-01;1;94834;CARBOMIL SA MINER. E INDUSTRIA;23812;Preferencial Classe A;1;66
14.807.945/0001-24;2020-01-01;10;103173;SANSUY S.A. INDUSTRIA DE PLASTICOS;25444;Preferencial Classe A;126307;5052280
14.807.945/0001-24;2020-01-01;10;103173;SANSUY S.A. INDUSTRIA DE PLASTICOS;25444;Preferencial Classe B;155;6200
15.073.274/0001-88;2020-01-01;3;103615;PPLA PARTICIPATIONS LTD.;25575;Preferencial Classe A;273031855;30336873
15.073.274/0001-88;2020-01-01;3;103615;PPLA PARTICIPATIONS LTD.;25575;Preferencial Classe B;546063710;60673476
15.073.274/0001-88;2020-01-01;3;103615;PPLA PARTICIPATIONS LTD.;25575;Preferencial Classe C;1;1
15.073.274/0001-88;2020-01-01;3;103615;PPLA PARTICIPATIONS LTD.;25576;Preferencial Classe A;28146673;938222
15.073.274/0001-88;2020-01-01;3;103615;PPLA PARTICIPATIONS LTD.;25576;Preferencial Classe B;56293346;1876444
15.073.274/0001-88;2020-01-01;3;103615;PPLA PARTICIPATIONS LTD.;25576;Preferencial Classe C;1;1
21.255.567/0001-89;2020-01-01;3;103475;CIA TECIDOS SANTANENSE EM RECUPERAÇÃO JUDICIAL;25524;Preferencial Classe A;1256792;73256792
21.255.567/0001-89;2020-01-01;3;103475;CIA TECIDOS SANTANENSE EM RECUPERAÇÃO JUDICIAL;25524;Preferencial Classe D;1227;1227
33.200.049/0001-47;2020-01-01;1;95038;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;23867;Preferencial Classe A;78944947;7894494
33.228.024/0001-51;2020-01-01;3;103599;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;25569;Preferencial Classe A;;19843450
33.958.695/0001-78;2020-01-01;24;104656;UNIPAR CARBOCLORO S.A.;25718;Preferencial Classe A;2318710;2529502
33.958.695/0001-78;2020-01-01;24;104656;UNIPAR CARBOCLORO S.A.;25718;Preferencial Classe B;53381427;58234284
33.958.695/0001-78;2020-01-01;24;104656;UNIPAR CARBOCLORO S.A.;25719;Preferencial Classe A;2410333;2812055
33.958.695/0001-78;2020-01-01;24;104656;UNIPAR CARBOCLORO S.A.;25719;Preferencial Classe B;54528353;63616412
61.024.352/0001-71;2020-01-01;7;99906;BCO INDUSVAL S.A.;24912;Preferencial Classe A;37494103;3749410
61.082.004/0001-50;2020-01-01;2;103657;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;25589;Preferencial Classe A;10777990;538900
61.088.894/0001-08;2020-01-01;6;102741;CAMBUCI S.A.;25282;Preferencial Classe A;24539400;24539400
61.088.894/0001-08;2020-01-01;6;102741;CAMBUCI S.A.;25283;Preferencial Classe A;24539400;25464982
61.088.894/0001-08;2020-01-01;6;102741;CAMBUCI S.A.;25284;Preferencial Classe A;24539400;25464982
61.088.894/0001-08;2020-01-01;6;102741;CAMBUCI S.A.;25285;Preferencial Classe A;25464982;2546498
61.088.894/0001-08;2020-01-01;6;102741;CAMBUCI S.A.;25286;Preferencial Classe A;2768851;27688510
76.483.817/0001-20;2020-01-01;11;103292;CIA PARANAENSE DE ENERGIA - COPEL;25476;Preferencial Classe A;326752;3267520
76.483.817/0001-20;2020-01-01;11;103292;CIA PARANAENSE DE ENERGIA - COPEL;25476;Preferencial Classe B;128297543;1282975430
82.643.537/0001-34;2020-01-01;8;100656;ELECTRO ACO ALTONA S.A.;25095;Preferencial Classe A;1275000;12750000
84.693.183/0001-68;2020-01-01;6;102937;SCHULZ S.A.;25358;Preferencial Classe U;36550360;51170504
84.693.183/0001-68;2020-01-01;6;102937;SCHULZ S.A.;25359;Preferencial Classe U;51170504;102341008
92.749.225/0001-63;2020-01-01;2;103575;HERCULES S.A. FABRICA DE TALHERES;25558;Preferencial Classe A;10164050;338801
92.929.520/0001-00;2020-01-01;1;95502;SPRINGER S.A.;23920;Preferencial Classe A;25616640;512332
92.929.520/0001-00;2020-01-01;1;95502;SPRINGER S.A.;23920;Preferencial Classe B;6404160;128083
