CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Tipo_Obrigacao;Tipo_Garantia;Descricao_Outras_Garantias;Divida_Inferior_1_Ano;Divida_1a3Anos;Divida_3a5Anos;Divida_Superior_5Anos;Divida_Total;Observacao
00.389.481/0001-79;2020-01-01;2;99896;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;2019-01-01;2019-12-31;Empréstimo;Garantia Real;;5429846.00;483495905.00;224982305.00;0.00;713908056.00;
00.389.481/0001-79;2020-01-01;2;99896;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;2019-01-01;2019-12-31;Empréstimo;Quirografárias;;5786900.00;400823606.00;20476632.00;0.00;427087138.00;
00.389.481/0001-79;2020-01-01;2;99896;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;2019-01-01;2019-12-31;Financiamento;Garantia Real;;134584.00;8215019.00;0.00;0.00;8349603.00;
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2019-01-01;2019-12-31;Empréstimo;Quirografárias;;1307000.00;2653609.81;2653609.81;23185780.38;29800000.00;Observação: As informações desta tabela se baseiam nas demonstrações financeiras consolidadas auditadas do Banco Inter relativas ao exercício social encerrado em 31 de dezembro de 2019  (preparada em IFRS). O montante total indicado corresponde à soma dos valores de: (i) passivos com instituições financeiras (ii) passivos com clientes (iii) títulos emitidos e (iv) empréstimos e repasses. Para fins da tabela acima, foram considerados os prazos de vencimento das respectivas obrigações do Banco Inter.
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2019-01-01;2019-12-31;Títulos de dívida;Garantia Flutuante;;166432000.00;0.00;0.00;0.00;166432000.00;Observação: As informações desta tabela se baseiam nas demonstrações financeiras consolidadas auditadas do Banco Inter relativas ao exercício social encerrado em 31 de dezembro de 2019  (preparada em IFRS). O montante total indicado corresponde à soma dos valores de: (i) passivos com instituições financeiras (ii) passivos com clientes (iii) títulos emitidos e (iv) empréstimos e repasses. Para fins da tabela acima, foram considerados os prazos de vencimento das respectivas obrigações do Banco Inter.
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2019-01-01;2019-12-31;Títulos de dívida;Quirografárias;;4495874999.88;2779902629.32;141229840.67;3071530.09;7420078999.96;Observação: As informações desta tabela se baseiam nas demonstrações financeiras consolidadas auditadas do Banco Inter relativas ao exercício social encerrado em 31 de dezembro de 2019  (preparada em IFRS). O montante total indicado corresponde à soma dos valores de: (i) passivos com instituições financeiras (ii) passivos com clientes (iii) títulos emitidos e (iv) empréstimos e repasses. Para fins da tabela acima, foram considerados os prazos de vencimento das respectivas obrigações do Banco Inter.
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2020-01-01;2020-12-31;Empréstimo;Quirografárias;;1010000.00;2018687.74;2018687.74;23780070.01;28827445.49;
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2020-01-01;2020-12-31;Títulos de dívida;Garantia Flutuante;;259487440.00;0.00;0.00;0.00;259487440.00;
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;2020-01-01;2020-12-31;Títulos de dívida;Quirografárias;;5360379694.92;3338030787.19;146019664.57;1057548.24;8845487694.92;
00.545.378/0001-70;2020-01-01;1;95407;SERRA AZUL WATER PARK SA;2019-01-01;2019-12-31;Financiamento;Garantia Real;;150765.02;1804214.60;1202809.74;2255268.25;5413057.61;
00.622.416/0001-41;2020-01-01;7;103465;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2019-01-01;2019-12-31;Empréstimo;Garantia Real;;35382000.00;0.00;0.00;511718000.00;547100000.00;
00.622.416/0001-41;2020-01-01;7;103465;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2019-01-01;2019-12-31;Títulos de dívida;Quirografárias;;197125000.00;0.00;0.00;181434000.00;378559000.00;
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;2019-01-01;2019-12-31;Empréstimo;Quirografárias;;1807000.00;4720000.00;8337000.00;77456000.00;92320000.00;Existência de garantia quirografárias => sem constituição de instrumento de garantia apartado ao contrato ou aval/fiança da própria emissora
00.743.065/0001-27;2020-01-01;6;103464;LITEL PARTICIPACOES S.A.;2019-01-01;2019-12-31;Títulos de dívida;Garantia Real;;0.00;450000000.00;0.00;0.00;450000000.00;
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2019-01-01;2019-12-31;Empréstimo;Quirografárias;;1320955343.00;686640775.24;3856971407.88;368558386.70;6233125912.82;
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2019-01-01;2019-12-31;Títulos de dívida;Quirografárias;;213792.52;200000000.00;0.00;0.00;200213792.52;
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;2019-01-01;2019-12-31;Títulos de dívida;Garantia Real;;178081000.00;0.00;0.00;0.00;178081000.00;
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2019-01-01;2019-12-31;Empréstimo;Garantia Real;;661978247.59;155671428.63;74228571.70;0.00;891878247.92;
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2019-01-01;2019-12-31;Empréstimo;Quirografárias;;687619753.02;3720181812.00;199642853.39;437845799.36;5045290217.77;
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2019-01-01;2019-12-31;Financiamento;Garantia Real;;51582952.64;116490782.11;150042991.53;1955924979.53;2274041705.81;
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2019-01-01;2019-12-31;Financiamento;Quirografárias;;12609068.49;19767319.73;6392821.01;0.00;38769209.23;
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2019-01-01;2019-12-31;Títulos de dívida;Garantia Real;;448037809.50;810549747.62;0.00;0.00;1258587557.12;
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;2019-01-01;2019-12-31;Títulos de dívida;Quirografárias;;719029191.28;3053538185.05;2273691131.39;1633779514.88;7680038022.60;
00.897.864/0001-58;2020-01-01;1;95675;SANTA CATARINA PART INVEST SA;2019-01-01;2019-12-31;;Garantia Real;;293.55;0.00;0.00;7189234061.88;7189234355.43;
00.924.429/0001-75;2020-01-01;5;102526;FERROVIA CENTRO-ATLANTICA S.A.;2019-01-01;2019-12-31;Empréstimo;Quirografárias;;1791229000.00;1591927000.00;465274000.00;197206000.00;4045636000.00;
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;2019-01-01;2019-12-31;Empréstimo;Quirografárias;;30610788.95;2346136.20;21837261.55;0.00;54794186.70;Demonstrativo das obrigações:Financiamentos e debêntures - 29.725.120,84 Provisão para manutenção -  636.815,86 Obrigações fiscais e sociais (CP) - 16.100.269,87 Obrigações fiscais e sociais (LP) -   Provisão para contingências - 8.331.980,13 Ao financiamento contraído junto ao BNDES, foram dados como garantia, cartas de fiança emitida pelo Banco Santander (Brasil) S.A. com vencimento em 10/01/2017, substituída por nova carta de fiança emitida pelo Banco ABC Brasil S.A., com vencimento em 15 de janeiro de 2020, cessão fiduciária de créditos, criação de conta reserva no valor correspondente a 3 (três) PMT's e penhor de 15,37%, das ações da Companhia.
00.974.211/0001-25;2020-01-01;11;103518;LINHA AMARELA S.A. - LAMSA;2019-01-01;2019-12-31;Financiamento;Garantia Real;;8105446.00;0.00;0.00;0.00;8105446.00;
00.974.211/0001-25;2020-01-01;11;103518;LINHA AMARELA S.A. - LAMSA;2019-01-01;2019-12-31;Títulos de dívida;Garantia Real;;32226831.07;61768093.21;67139231.75;77881529.24;239015685.27;
01.027.058/0001-91;2020-01-01;21;104759;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2019-01-01;2019-12-31;Empréstimo;Quirografárias;;834953.60;2016944.24;0.00;0.00;2851897.84;As informações acima referem-se às demonstrações financeiras consolidadas da Companhia. O total demonstrado na tabela acima considera o saldo das rubricas Empréstimos e Financiamentos, conforme apresentado nas demonstrações financeiras consolidadas da Companhia referentes ao exercício social findo em 31 de dezembro de 2019.
01.027.058/0001-91;2020-01-01;21;104759;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2019-01-01;2019-12-31;Financiamento;Quirografárias;;22190.72;67666.76;22556.00;0.00;112413.48;As informações acima referem-se às demonstrações financeiras consolidadas da Companhia. O total demonstrado na tabela acima considera o saldo das rubricas Empréstimos e Financiamentos, conforme apresentado nas demonstrações financeiras consolidadas da Companhia referentes ao exercício social findo em 31 de dezembro de 2019.
01.027.058/0001-91;2020-01-01;21;104759;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2019-01-01;2019-12-31;Títulos de dívida;Quirografárias;;61193.05;6220130.64;0.00;0.00;6281323.69;As informações acima referem-se às demonstrações financeiras consolidadas da Companhia. O total demonstrado na tabela acima considera o saldo das rubricas Empréstimos e Financiamentos, conforme apresentado nas demonstrações financeiras consolidadas da Companhia referentes ao exercício social findo em 31 de dezembro de 2019.
