CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Aumento;Data_Deliberacao;Orgao_Deliberacao_Aumento;Data_Emissao;Valor_Total_Emissao;Tipo_Subscricao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes;Subscricao_Capital_Anterior;Fator_Cotacao;Preco_Emissao;Criterio_Determinacao_Preco_Emissao;Forma_Integralizacao
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;311951;2020-07-30;AGE;2020-07-30;23000000000.00;Sem emissão de ações;0;0;0;0.00000000;R$ por Unidade;0.00000000;;
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;312031;2019-11-14;Assembléia Geral Extraordinária;2019-11-14;7751940082.78;Subscrição particular;201792299;14504511;216296810;0.24762364;R$ por Unidade;35.72000000;O preço de emissão foi calculado com base preço de mercado das ações ordinárias e preferenciais da Companhia, de acordo com o artigo 170, §1º, inciso III da Lei das Sociedades por Ações. Dessa forma, determinou-se o valor de R$ 35,72 (trinta e cinco reais e setenta e dois centavos) para as novas ações ordinárias, e de R$ 37,50 (trinta e sete reais e cinquenta centavos) para as novas ações preferenciais de classe "B".;Dinheiro e créditos (no caso da União, créditos relativos a adiantamento para futuro aumento de capital e, no caso de acionistas, facultado àqueles que detinham créditos de dividendos declarados e não pagos o uso de tais créditos). O aumento de capital foi homologado em Assembleia geral extraordinária da Companhia em 17 de fevereiro de 2020.
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;310329;2014-11-27;82a. AGE;2014-12-08;223969190.00;Subscrição particular;2607746;2625179;5232925;56.98208000;R$ por Unidade;42.80000000;Média entre valor ecônomico da ação e valor patrimonial.;Créditos de capitais - AFAC - do Governo do Distrito Federal e da Cia Imobiliária de Brasília - TERRACAP
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;307779;2011-06-02;AGE;2011-06-02;300000.00;Subscrição particular;100000;200000;300000;81.91300000;R$ por Unidade;1.00000000;Não aplicável.;A vista em moeda corrente nacional.
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;307780;2012-12-28;AGE;2012-12-28;100000.00;Subscrição particular;29223;70777;100000;15.00095390;R$ por Unidade;1.00000000;Não aplicável.;A vista em moeda corrente nacional.
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;307781;2014-01-24;AGE;2014-01-24;300000.00;Subscrição particular;100000;200000;300000;38.51800000;R$ por Unidade;1.00000000;Não Aplicável;Em Moeda Nacional.
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;307782;2016-01-22;AGE;2016-01-22;100000.00;Subscrição particular;33335;66665;100000;9.37872511;R$ por Unidade;1.00000000;;
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;307783;2016-08-30;AGE;2016-08-30;200000.00;Subscrição particular;3309605;6619210;9928815;851.35044754;R$ por Unidade;0.02000000;;
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;307784;2017-08-18;AGE;2017-08-18;200000.00;Subscrição particular;3309605;6619210;9928815;89.48862637;R$ por Unidade;0.02010000;;
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;307785;2019-01-31;AGE;2019-01-31;200000.00;Subscrição particular;3309605;6619210;9928815;47.22638402;R$ por Unidade;0.02014340;;
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;307786;2021-02-12;AGE;2021-02-12;60000.00;Subscrição particular;992881;1985762;2978643;7.75702422;R$ por Unidade;0.02014340;;Moeda corrente nacional.
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;307787;2021-04-20;AGE;2021-04-20;145000.00;Subscrição particular;2399463;4798926;7198389;17.39668161;R$ por Unidade;0.02014340;;
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;307400;2009-02-19;Assembléia Geral Extraordinária;2009-02-19;200000000.00;Subscrição particular;540540540540;0;540540540540;91.14000000;R$ por Unidade;0.03700000;O critério para determinação do valor de emissão foi a média ponderada dos 20 últimos pregões.;a vista
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;307401;2012-04-04;Assembléia Geral Extraordinária;2012-04-04;300000000.00;Subscrição particular;8743806;0;8743806;7.97087240;R$ por Unidade;34.31000000;Média Ponderada dos últimos 70 pregões.;a vista
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;307402;2018-01-11;Assembleia Geral Extraordinária;2018-01-11;1594666570.00;Subscrição particular;29528808;8232412;37761220;0.00000000;R$ por Unidade;37.10000000;A cotação média das ações ON na BM&F-BOVESPA obtida nos últimos 120 pregões, no período de 20 de julho de 2015 a 01 de agosto de 2017, foi de R$ 37,10 (trinta e sete reais e dez centavos).A cotação média das ações PN na BM&F-BOVESPA alcançada nos últimos 20 pregões, no período de 25 de julho a 21 de agosto de 2017, foi de R$ 28,68 (vinte e oito reais e sessenta e oito centavos);
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;307403;2019-10-31;Assembléia Geral Extraordinária;2020-04-24;1512672329.88;Subscrição particular;10184492;8074780;18259272;0.00000000;R$ por Unidade;0.00000000;Deságio de 20% sobre o preço base calculado mediante a ponderação da cotação pelo volume de ações negociado nos últimos 120 pregões, conforme Proposta da Administração para AGE de 31.10.2019.;União: utilização dos recursos de Adiantamento para Futuro Aumento de Capital. Outros acionistas: pagamento a vista.
00.359.742/0001-08;2020-01-01;5;102800;FICTOR ALIMENTOS S.A.;305723;2013-11-28;Assembléia Geral Extraordinária;2013-11-28;18000000.00;Subscrição particular;225000000;0;225000000;8.26858474;R$ por Unidade;0.08000000;Critério de valor de mercado das ações apurado com base nos 30 (trinta) pregões da BM&FBOVESPA S.A. -Bolsa de Valores, Mercadorias e Futuros anteriores à data de realização da Reunião doConselho de Administração realizada em 11/11/2013.;As ações foram integralizadas mediante capitalização de aportes para futuro aumento de capital realizado pela acionista controladora. Os demais acionistas terão o direito de preferência na subscrição das novasações, nos termos do artigo 171 da Lei das S.A..
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;309648;2016-09-30;Assembleia Geral Extraordinária;2016-09-30;5170398.05;Sem emissão de ações;0;0;0;0.00000000;R$ por Unidade;0.00000000;;
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;309649;2017-01-31;Conselho de Administração;2017-01-31;4156.50;Subscrição particular;0;150;150;0.02000000;R$ por Unidade;27.71000000;O critério utilizado para determinação do preço de emissão foi fixado com base nos Planos de Opções de Ações, aprovados em Assembleias Gerais nas datas de 24.02.2012 e 30.09.2016.;A integralização foi em dinheiro (moeda corrente nacional).
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;309650;2017-01-31;Conselho de Administração;2017-01-31;43451.00;Subscrição particular;0;43451;43451;0.02000000;R$ por Unidade;1.00000000;O critério utilizado para determinação do preço de emissão foi fixado com base nos Planos de Opções de Ações, aprovados em Assembleias Gerais nas datas de 24.02.2012 e 30.09.2016.;A integralização foi em dinheiro (moeda corrente nacional).
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;309651;2017-01-31;Conselho de Administração;2017-01-31;13941.90;Subscrição particular;0;630;630;0.02000000;R$ por Unidade;22.13000000;O critério utilizado para determinação do preço de emissão foi fixado com base nos Planos de Opções de Ações, aprovados em Assembleias Gerais nas datas de 24.02.2012 e 30.09.2016.;A integralização foi em dinheiro (moeda corrente nacional).
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;309652;2017-03-31;Assembleia Geral Extraordinária;2017-03-31;5231243.94;Sem emissão de ações;0;0;0;0.00000000;R$ por Unidade;0.00000000;;
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;309653;2017-06-30;Assembleia Geral Extraordinária;2017-06-30;5231243.94;Sem emissão de ações;0;0;0;0.00000000;R$ por Unidade;0.00000000;;
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;309654;2017-12-29;Assembleia Geral Extraordinária;2017-12-29;3238851.83;Sem emissão de ações;0;0;0;0.00000000;R$ por Unidade;0.00000000;;
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;309655;2018-04-26;Conselho de Administração;2018-04-26;541463439.00;Subscrição pública;0;29268294;29268294;173.62000000;R$ por Unidade;18.50000000;Pricing da Oferta Pública de Ações de Emissão do Banco Inter S.A.;A integralização foi em dinheiro (moeda corrente nacional), oriundo da Oferta Pública Primária de Ações do Banco Inter S.A.
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;309656;2018-08-31;Conselho de Administração;2018-08-31;10079921.46;Subscrição particular;425093;418549;843642;1.18000000;R$ por Unidade;11.94810294;Com utilização de crédito dos juros sobre o capital próprio distribuídos em 26/06/2018 pelo Banco ou com recursos próprios, à vista.;O preço de emissão por ação foi fixado com base na média ponderada das cotações das ações preferenciais no mercado nos últimos 10 pregões anteriores à data da deliberação, ou seja, 26/06/2018, com aplicação de deságio de 20%.
