CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;233737;Capital Emitido;2020-07-30;90000000000.00;;2865417020;0;2865417020
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;233738;Capital Subscrito;2020-07-30;90000000000.00;;2865417020;0;2865417020
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;233739;Capital Integralizado;2020-07-30;90000000000.00;;2865417020;0;2865417020
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;233740;Capital Autorizado;2015-04-28;120000000000.00;;0;0;0
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;232543;Capital Integralizado;2020-08-03;1300000000.00;;280146500;82900000;363046500
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;233899;Capital Emitido;2020-02-17;39057271546.52;Não aplicável.;1288842596;280088314;1568930910
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;233900;Capital Subscrito;2020-02-17;39057271546.52;Não aplicável.;1288842596;280088314;1568930910
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;233901;Capital Integralizado;2020-02-17;39057271546.52;;1288842596;280088314;1568930910
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;232649;Capital Subscrito;2015-09-23;566025355.62;;7184178;7232205;14416383
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;232650;Capital Autorizado;2005-02-15;368724452.20;;0;0;0
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;211956;Capital Autorizado;1994-08-23;10000.00;;10000;0;10000
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;230440;Capital Integralizado;2021-04-20;145000.00;;2399463;4798926;7198389
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;230441;Capital Integralizado;2021-02-12;60000.00;;992881;1985762;2978643
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;230442;Capital Subscrito;2020-02-28;150000.00;TOTALMENTE INTEGRALIZADO;2482204;4964408;7446612
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;230443;Capital Integralizado;2020-02-28;150000.00;;2482204;4964408;7446612
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;230444;Capital Emitido;2019-01-31;1778855.69;NÃO APLICÁVEL;10317616;20635072;30952688
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;230445;Capital Subscrito;2019-01-31;1775855.69;NÃO APLICÁVEL;10317616;20635072;30952688
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;230446;Capital Subscrito;2019-01-31;1775855.69;NÃO APLICÁVEL;10317616;20635072;30952688
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;230122;Capital Integralizado;2020-04-14;3107338889.88;;49457271;18407491;67864762
