CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Politica;Data_Aprovacao;Orgao_Aprovacao;Principais_Caracteristicas;Vedacao_Procedimentos_Fiscalizacao
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;42014;2018-10-15 00:00:00.000;Conselho de Administração;Os membros do Conselho de Administração, do Conselho Fiscal, do Comitê de Auditoria, do Comitê de Riscos e de Capital, Comitê de Remuneração e Elegibilidade, Presidente, Vice-presidentes e Diretores, o Auditor Geral, o Ouvidor Geral e quaisquer pessoas sujeitas à autorregulação deverão:a) comunicar ao Banco do Brasil até o primeiro dia útil após a investidura no cargo, a quantidade e as características dos valores mobiliários ou derivativos de que sejam titulares, direta e indiretamente, de emissão do Banco do Brasil e de suas controladas, além daqueles de titularidade de seus respectivos cônjuges dos quais não estejam separados judicial ou extrajudicialmente, de companheiros e quaisquer dependentes incluídos na declaração de imposto de renda eb) comunicar ao Banco do Brasil, até o quinto dia após a negociação com valores mobiliários de emissão do Banco do Brasil e de suas controladas, que sejam titulares, além daqueles de titularidade de seus respectivos cônjuges dos quais não estejam separados judicial ou extrajudicialmente, de companheiros e de quaisquer dependentes incluídos na declaração de imposto de renda. O Banco do Brasil encaminha à CVM as informações sobre a quantidade de ações, saldo detido e da negociação dos membros do Conselho de Administração, do Conselho Fiscal, do Comitê de Auditoria, do Comitê de Riscos e de Capital, do Comitê de Remuneração e Elegibilidade, do Presidente, dos Vice-presidentes e dos Diretores, do Auditor Geral, do Ouvidor Geral por, ele próprio, por suas controladas e por suas coligadas. A negociação abrange as ações de emissão do Banco do Brasil e de suas controladas (se forem companhias abertas). A comunicação ocorre imediatamente após a posse no cargo e até dez dias após o término do mês em que se verificar alteração das posições por eles detidas.;É permitida a negociação com ações de emissão do Banco do Brasil e de suas controladas pelas pessoas sujeitas à autorregulação, desde que realizada de modo predeterminado em plano individual de investimentos (Plano de Negociação) e desde que: a) seja formalizado ao Vice-Presidente de Gestão Financeira e de Relações com Investidores antes da realização de quaisquer negociações b) estabeleça, em caráter irrevogável e irretratável, as datas e os valores ou quantidades dos negócios a serem realizados e c) preveja prazo mínimo de seis meses para que o próprio plano, suas eventuais modificações e cancelamento produzam efeitos. O Conselho de Administração verifica, ao menos semestralmente, a aderência das negociações dos seus membros, do Conselho Diretor, da Diretoria Executiva, dos Comitês vinculados ao Conselho de Administração e do Conselho Fiscal, do Auditor Geral e do Ouvidor Geral aos seus Planos de Negociação.Os membros do Conselho de Administração, o Vice-Presidente de Gestão Financeira e de Relações com Investidores, o Diretor de Finanças, o Diretor de Contadoria e o Gerente Geral da Unidade Relações com Investidores e Sustentabilidade devem reverter ao Banco do Brasil quaisquer perdas evitadas ou ganhos auferidos com suas negociações, decorrentes de eventual alteração nas datas de divulgação dos formulários ITR (Informações Trimestrais de Resultado) e DFP (Demonstrações Financeiras Padronizadas), apesar do Plano de Negociação permitir negociações nos quinze dias que antecedem à divulgação do resultado. Negociação com demais títulos e valores mobiliários - É permitida a negociação de títulos de dívida emitidos pelo Banco do Brasil no mercado de capitais doméstico e internacional diretamente no mercado financeiro ou por meio de fundos exclusivos, exceto no período de quinze dias que antecedem a divulgação das informações legais trimestrais e anuais e das projeções e estimativas (Guidance). - Vedações - São vedadas as operações de aluguel de valores mobiliários e a negociação de ações de emissão do Banco do Brasil e de suas controladas no mercado a termo e no mercado futuro.Quaisquer pessoas sujeitas à autorregulação, bem como aquelas que tenham relação comercial, profissional ou de confiança com o Banco do Brasil, são proibidas de valerem-se de informações relativas a ato ou fato relevante ainda não divulgado ao mercado, para obter, para si ou para terceiros, vantagem mediante negociação com valores mobiliários de emissão do Banco do Brasil e de suas controladas. As pessoas sujeitas à autorregulação são vedadas, bem como seus cônjuges, dos quais não estejam separados judicial ou extrajudicialmente, de companheiros, e de quaisquer dependentes incluídos na declaração de imposto de renda, de negociar com valores mobiliários sem a formalização prévia de Plano de Negociação.Em caso de afastamento de cargo, função, posição ou trabalho temporário no controlador, no Banco do Brasil ou em suas empresas controladas e coligadas, é vedado às pessoas sujeitas à autorregulação de negociar com valores mobiliários antes da divulgação pública de informação privilegiada a que tenha tido acesso, mantendo tal condição pelo prazo de seis meses após seu afastamento, ou, até a data prevista em Plano de Negociação, ou até que o ato ou fato relevante a que tenha tido acesso torne-se público, o que ocorrer primeiro.
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;41803;2018-11-29 00:00:00.000;Conselho de Administração;A Política de Negociação de Valores Mobiliários de Emissão do BRB - Banco de Brasília S.A. tem como objetivo, estabelecer os procedimentos e diretrizes que deverão ser adotados por todos os empregados e pessoas vinculadas, de acordo com as normas e/ou legislação estabelecidas pelos Órgãos Reguladores ou disposição estatutária. Firma, ainda, compromisso de transparência e equidade de tratamento em toda e qualquer negociação de ativoss de Emissão do BRB. Tem por finalidade, ainda, coibir e punir a prática de inside trading (uso indevido em benefício próprio ou de terceiros de informações privilegiadas) e tipping (dicas de informações privilegiadas para que terceiros delas se beneficiem).Pode ser consultada pelo site da Comissão de Valores Mobiliários (www.cvm.gov.br) e de Relações com Investidores do BRB (http://ri.com.br);No período de 15 (quize) dias que anteceder a divulgação das informações trimestrais (ITR) e anuais (Formulário de Referência e DFP)No período de 15 (quinze) dias que anteceder os eventos corporativos, com datas disponívies nos sítios da Companhia e da CVMDurante o período de silêncio Entre as datas da deliberação do órgão competente de aumentar o capital social, distribuir dividendos e pagar juros sobre o capital próprio, e a publicação dos respectivos editais ou anúncios. Qualquer violação ao disposto na Política sujeitará o infrator às sanções disciplinares, de acordo com as normas internas, sem prejuízo das sanções administrativas, civis e penais cabíveis .
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;42030;2018-12-14 00:00:00.000;Conselho de Administração;A Política de Divulgação e Negociação estabelece, entre outros, parâmetros e limites para a negociação de valores mobiliários de emissão da Companhia, dentre os quais são contemplados (i) as restrições à negociação previstas na Instrução da Comissão de Valores Mobiliários ("CVM") nº 358, de 3 de janeiro de 2002, conforme alterada ("Instrução CVM 358") e (ii) a política interna de negociação de valores mobiliários adotada pela nos termos da Política de Negociação. A Política de Divulgação e Negociação tem por objetivo coibir a utilização de informações privilegiadas em benefício próprio pelas Pessoas Vinculadas, no âmbito da negociação com valores mobiliários de emissão da Companhia e enunciar as diretrizes que regerão, de modo ordenado e dentro dos limites estabelecidos por lei, a negociação de tais valores mobiliários, nos termos da Instrução CVM 358 e das políticas internas da própria Companhia. Tais regras também procuram coibir a prática de insider trading (uso indevido em benefício próprio ou de terceiros de informações privilegiadas) e tipping (dicas de informações privilegiadas para que terceiros delas se beneficiem), preservando a transparência nas negociações de valores mobiliários de emissão da Companhia. As Pessoas Vinculadas deverão firmar termo de adesão ao Manual e à Política de Divulgação e Negociação, na forma dos artigos 15, §1º, inciso I e 16, §1º da Instrução CVM 358. Para mais informações consulte a Política de Divulgação e Negociação de Valores Mobiliários de Emissão da Companhia disponível no site da Companhia (https://eletrobras.com/pt/Paginas/Estatuto-Politicas-e-Manuais.aspx);Antes da divulgação ao mercado, pela Eletrobras, de Informação Relevante (conforme definida abaixo) ocorrida nos negócios da Eletrobras ou controladas, nos termos da Instrução CVM nº 358, é vedada a negociação com Valores Mobiliários de emissão da Eletrobras ou de emissão de controladas, ou a eles referenciados, pela própria Eletrobras ou pelas Pessoas Vinculadas. A vedação prevista também deve prevalecer: se existir a intenção de promover incorporação, cisão total ou parcial, fusão, transformação ou reorganização societária e, em relação aos acionistas controladores, diretos ou indiretos e administradores sempre que estiver em curso a aquisição ou a alienação de ações de emissão da Eletrobras pela própria Eletrobras, suas controladas, coligadas ou outra sociedade sob controle comum, ou se houver sido outorgada opção ou mandato para o mesmo fim. A vedação se aplica também aos administradores que se afastem da administração da Eletrobras ou de suas empresas controladas, conforme o caso, antes da divulgação pública de negócio ou fato iniciado durante seu período de gestão, e se estende pelo prazo de seis meses após o seu afastamento. Ainda, é vedada a negociação pela própria Eletrobras e pelas Pessoas Vinculadas, no período de 15 dias, que anteceder a divulgação das informações trimestrais (ITR) e anuais (DFP) da Eletrobras, ressalvadas as exceções previstas em lei ou na Política de Divulgação e Negociação. As vedações de negociações estabelecidas na Política de Negociação se aplicam: (a) às negociações realizadas em Bolsas de Valores e em mercado de balcão, organizado ou não organizado, bem como às realizadas sem a interveniência de instituição integrante do sistema de distribuição (b) às negociações realizadas direta ou indiretamente pelas Pessoas Vinculadas, quer tais negociações se deem por intermédio de sociedades por elas controladas, quer por meio de terceiros com quem for mantido contrato de fidúcia ou administração de carteira ou ações (c) às operações de aluguel de Valores Mobiliários realizadas por Pessoas Vinculadas e (d) A Negociação de bonds
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;41822;2002-07-30 00:00:00.000;Conselho de Administração;As empresas de capital aberto, buscando ser transparentes, devem fornecer informações relevantes e verdadeiras ao mercado de capitais. Servindo ao interesse de seus acionistas e interessados, como um parte fundamental de seu dever, deve ser fornecida um ampla extensão de informações corporativas e estas informações deveem ser tratadas com responsabilidade e integridade.Também, para evitar o privilégio de informação, antes da divulgação aomercado de capitais de ato ou fato relevante ocorrido nos negócios da Cia é vedada à administração da Cia e suas partes relacionadas, aos controladores e suas partes relacionadas, incluindo agregados técnicos e consultivos a negociação de valores mobiliários de emissão da Cia Aberta.;No minimo 5 anos.
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;41445;2018-02-22 00:00:00.000;Conselho de Administração;As regras da Política de Negociação definem períodos nos quais as pessoas sujeitas à Política deverão direta ou indiretamente abster-se de negociar com Valores Mobiliários da Companhia, de modo a evitar o questionamento com relação ao uso indevido de Informações Relevantes não divulgadas ao público.As restrições contidas na Política de Negociação da Telebras não se aplicam às negociações realizadas por fundos de investimento de que sejam cotistas as pessoas sujeitas a referida Política, desde que:a)os fundos de investimento não sejam exclusivosb)as decisões de negociação do administrador ou gestor do fundo de investimento não possam ser influenciadas pelos cotistas.A Política determina que os administradores, Conselheiros Fiscais e os membros de órgãos com funções técnicas ou consultivas da Companhia, de empresas coligadas ou controladas deverão informar a titularidade de Valores Mobiliários da Companhia, seja em nome próprio, seja em nome de pessoas ligadas, bem como as alterações nessas posições.A comunicação contendo as informações previstas no §3º do artigo 11 da Instrução CVM nº 358/02 deverá ser encaminhada ao Diretor de Relações com Investidores e, por este, à CVM e à Bolsa de Valores.A Política de Divulgação de Atos e Fatos Relevantes e Negociação com Valores Mobiliários está disponível em https://www.telebras.com.br/transparencia/politica-de-divulgacao-de-informacoes/.;A Política de Negociação de Valores Mobiliários da Telebras concede ao Diretor de Relações com Investidores a prerrogativa de determinar períodos de tempo nos quais as pessoas sujeitas à referida Política deverão abster-se de negociar Valores Mobiliários da Companhia.Além das demais hipóteses previstas na regulamentação aplicável, a Política, nos termos do que dispõe os itens 7.2 a 7.7, estabelece os períodos de vedação de negociação de valores mobiliários da Companhia, os quais incluim-se: a)Período que se inicia em 1º de abril de julho e de outubro, e finda quando da divulgação do ITR b) período que se inicia em 1º de dezembro e se encerra quando da divulgação das informações anuais.O Diretor de Relações com Investidores é a pessoa responsável pela execução e acompanhamento da política de negociação, fiscalizando essa negociação nos períodos de vedação por meio de procedimentos autorizados pela legislação aplicável.
00.359.742/0001-08;2020-01-01;5;102800;FICTOR ALIMENTOS S.A.;41254;2020-07-17 00:00:00.000;Conselho de Administração;A Política de negociação tem por objetivo orientar e estabelecer as regras para a negociação com valores mobiliários emitidos pela Companhia, a serem observados pelas Pessoas Vinculadas, nos termos da legislação vigente e Instrução CVM 358/02.; Antes da divulgação ao mercado de Informação Relevante ocorrida nos negócios da Companhia que seja de seu conhecimento Nos períodos em que, por força de comunicação do Diretor de Relações com Investidores, que não estará obrigado a justificá-la, haja determinação de vedação à negociação (ainda que não ocorra a referida comunicação, as Pessoas Vinculadas e suas Pessoas Ligadas permanecem sujeitas às vedações impostas pela presente Política de Negociação, caso tenham ciência de Informação Relevante ainda não divulgada). Nesta hipótese, a determinação do Diretor de Relações com Investidores deverá ser mantida em sigilo pelas Pessoas Vinculadas Sempre que estiver em curso a aquisição ou a alienação de ações de emissão da ATOM pela própria Companhia, suas Controladas, Coligadas ou outra sociedade sob controle comum, ou se houver sido outorgado mandato para o mesmo fim Sempre que existir a intenção de promover a incorporação, cisão total ou parcial, fusão, transformação ou reorganização societária relevante No contexto de uma oferta pública de distribuição de Valores Mobiliários, nos limites do artigo 48 da Instrução CVM nº 400/2003, até a publicação do anúncio de encerramento de distribuição, com Valores Mobiliários de emissão da Companhia e No período de 15 dias corridos que antecederem a divulgação e/ou publicação, quando for o caso, das informações trimestrais (ITR) ou das demonstrações financeiras padronizadas anuais da Companhia (DFP). Tal restrição deixará de prevalecer no momento em que tais divulgações e/ou publicações forem realizadas Que se afastem da administração da Companhia antes da divulgação pública de negócio ou fato iniciado durante seu período de gestão que configurar Informação Relevante, estendendo-se por prazo de seis meses após o seu afastamento.
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;41706;2017-10-27 00:00:00.000;Conselho de administração;A Política de Negociação de Valores Mobiliários de Emissão do Banco estabelece regras para assegurar a observância de práticas de boa conduta na negociação, por parte do Acionista Controlador, pelo próprio Banco, pelos Administradores, Membros de Comitês Estatutários, Funcionários e membros de quaisquer órgãos do Banco com funções técnicas ou consultivas criados por disposição estatutária, de Valores Mobiliários de emissão do Banco. Tais regras também procuram coibir a prática de insider trading (uso indevido em benefício próprio ou de terceiros de Informações Privilegiadas) e tipping (dicas de Informações Privilegiadas para que terceiros delas se beneficiem), preservando a transparência nas negociações de Valores Mobiliários de emissão do Banco sempre que realizadas por pessoas a este relacionadas. A íntegra da Política de Negociação de Valores Mobiliários de Emissão do Banco pode ser consultada nos websites da CVM (www.cvm.gov.br), da B3 (www.b3.com.br) e do Banco (ri.bancointer.com.br), além de estar disponível fisicamente na sede do Banco, localizada na Avenida Barbacena, nº 1.219, Santo Agostinho, Belo Horizonte/MG.;São vedadas a negociação, prestação de aconselhamento ou assistência de investimento, pelo próprio Banco ou pelas Pessoas Vinculadas, de valores mobiliários, desde a data em que tomem conhecimento de ato ou fato relevante relativo ao Banco, até a sua divulgação ao mercado. É vedada a negociação com Valores Mobiliários pelas Pessoas Vinculadas nas datas em que o Banco negociar com ações de sua emissão, com base em qualquer programa de recompra aprovado pelo Conselho de Administração do Banco. O Banco e as Pessoas Vinculadas deverão abster-se de negociar seus Valores Mobiliários em todos os períodos em que o Diretor de Relações com Investidores tenha determinado a proibição de negociação, mediante autorização prévia do Presidente do Conselho de Administração do Banco. No contexto de uma oferta pública de distribuição de Valores Mobiliários, as Pessoas Vinculadas deverão abster-se de negociar valores imobiliários, desde a data em que tenham tomado conhecimento de tal oferta pública até a publicação do anúncio de encerramento. As Pessoas Vinculadas não poderão negociar os Valores Mobiliários, independente de determinação do Diretor de Relações com Investidores: (a) no período de 15 (quinze) dias corridos que anteceder a divulgação das informações trimestrais (ITR) e anuais (DFP) do Banco, cabendo ao Departamento de Relações com Investidores informar, antecipadamente, às Pessoas Vinculadas as datas previstas para divulgação dessas informações (b) entre a data da deliberação do órgão competente de aumentar o capital social, distribuir dividendos e pagar juros sobre o capital próprio, e a publicação dos respectivos editais ou anúncios (c) a partir do momento em que tiverem acesso à informação relativa à intenção do Banco ou dos acionistas controladores do Banco de: (i) modificar o capital social do Banco mediante subscrição de novas ações (ii) aprovar um programa de aquisição ou alienação de ações de emissão do Banco pelo próprio Banco ou (iii) distribuir dividendos e/ou juros sobre capital próprio, bonificações em ações ou seus derivativos ou desdobramento e (d) a publicação dos respectivos editais e/ou anúncios ou informativos. As Pessoas Vinculadas que se afastarem do Banco anteriormente à divulgação de Ato ou Fato Relevante originado durante seu período de gestão não poderão negociar Valores Mobiliários desde a data em que tenham tomado conhecimento de Ato ou Fato Relevante até o que ocorrer primeiro entre (i) a data de sua divulgação ao mercado pelo Banco e (ii) 6 (seis) meses após o seu afastamento. Caso tenha sido celebrado qualquer acordo ou contrato visando à transferência do controle acionário respectivo, ou se houver sido outorgada opção ou mandato para o mesmo fim, bem como se existir a intenção de promover incorporação, cisão total ou parcial, fusão, transformação ou reorganização societária, e enquanto a operação não for tornada pública por meio da publicação de fato relevante, o Conselho de Administração do Banco não poderá deliberar a aquisição ou alienação de ações de própria emissão.
00.545.378/0001-70;2020-01-01;1;95407;SERRA AZUL WATER PARK SA;38755;2010-04-30 00:00:00.000;Conselho de Administração;Não aplicável;Não aplicável
00.622.416/0001-41;2020-01-01;7;103465;STATKRAFT ENERGIAS RENOVAVEIS S.A.;41625;2015-04-23 00:00:00.000;Acionistas;Esta Política de Negociação de Valores Mobiliários estabelece diretrizes e procedimentos a serem observados pelas Pessoas Vinculadas (como a seguir definidas) de forma a assegurar os mais adequados padrões na negociação com os Valores Mobiliários e os valores mobiliários de suas Controladas, adotando as corretoras credenciadas junto à CVM. Essas pessoas devem firmar o respectivo "Termo de Adesão" à presente Política de Negociação.A Statkraft Energias Renováveis S.A. manterá, em sua sede, a relação das pessoas que firmarem o Termo de Adesão, a qual será atualizada continuamente à medida que for necessária a adesão de novas pessoas. Cópia dos Termos assinados será entregue ao Diretor Financeiro e de Relações com Investidores. Sempre que houver alteração desta Política, os subscritores dos Termos de Adesão deverão assinar novos Termos e entregá-los prontamente à Statkraft Energias Renováveis S.A.. Tais documentos serão mantidos à disposição dos órgãos reguladores.Os Termos de Adesão deverão permanecer arquivados na sede da Statkraft Energias Renováveis S.A. enquanto seus signatários mantiverem vínculo com a Companhia, e por, no mínimo, 05 (cinco) anos após o seu desligamento.A presente Política de Negociação, elaborada nos termos da Instrução CVM nº 358/2002, alterada pelas Instruções CVM n.º 369/2002 e nº 449/2007, tem por objetivo estabelecer as regras e diretrizes que deverão ser observadas pelas Pessoas Vinculadas, quando da negociação de Valores Mobiliários. As regras dessa Política de Negociações definem períodos nos quais as pessoas estão proibidas de se valer de informações relativas a Ato ou Fato Relevante ainda não divulgado ao mercado para obter para si ou para terceiros, vantagem mediante negociação com Valores Mobiliários. Com vistas a assegurar adequado padrão de negociação com Valores Mobiliários da Companhia e de suas Controladas, todas as negociações, por parte da própria Companhia e pelas Pessoas Vinculadas - que deverão aderir a esta Política -, somente serão realizadas com a intermediação das Corretoras Credenciadas junto à CVM.As Corretoras Credenciadas serão instruídas por escrito, pelo Diretor Financeiro e de Relações com Investidores, a não registrarem operações das Pessoas Vinculadas em todas as datas em que a Companhia negocie ou informe às Corretoras Credenciadas que negociará com ações de sua emissão.A Statkraft Energias Renováveis S.A. e todos os que estão sujeitos a esta Política deverão abster-se de negociar suas ações de emissão desta Companhia em todos os períodos em que, por força de comunicação do Diretor Financeiro e de Relações com Investidores, que não estará obrigado a justificá-la, haja determinação de não-negociação ("Períodos de Bloqueio").As mesmas obrigações serão aplicáveis às Sociedades Controladoras e às Sociedades Controladas.;(i) Sempre que ocorrer qualquer Ato ou Fato Relevante nos negócios da Statkraft Energias Renováveis S.A. de que tenham conhecimento as Pessoas Vinculadas e/ou a Companhia(ii) Sempre que estiver em curso ou houver sido outorgada opção ou mandato para o fim de aquisição ou a alienação de ações de emissão pela própria Companhia, suas Sociedades Controladas, suas Sociedades Coligadas ou outra sociedade sob controle comum(iii) Sempre que existir a intenção de promover incorporação, cisão total ou parcial, fusão, transformação ou reorganização societária e(iv) No período compreendido entre a decisão tomada pelo órgão social competente de aumentar ou reduzir o capital social, de distribuir dividendos, bonificação em ações ou seus derivativos, de desdobrar, agrupar ou emitir outros valores mobiliários e a publicação dos respectivos editais ou anúncios.A Statkraft Energias Renováveis S.A. e as Pessoas Vinculadas não poderão negociar Valores Mobiliários da Companhia no período de quinze (15) dias antecedentes à divulgação ou publicação, quando for o caso, das informações trimestrais (ITR) e das demonstrações financeiras padronizadas anuais (DFP) da Companhia. Essa mesma regra será aplicável caso a companhia opte por divulgar dados operacionais e financeiros preliminares anteriormente à divulgação dos resultados auditados.
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;39004;2012-03-06 00:00:00.000;Conselho de Administração;A adoção da Política de Negociação objetiva fixar parâmetros e limites específicos para a negociação com: (i) qualquer valor mobiliário de emissão da Companhia, tais como ações, debêntures, notas promissórias, bônus de subscrição e (ii) qualquer título, contrato ou acordo referenciado a qualquer valor mobiliário de emissão da companhia, tais como contratos de derivativos e/ou opções de compra e venda futura por parte de seus destinatários, mantendo-se, todavia a vedação absoluta de utilização de informação acerca de Ato ou Fato Relevante ainda não divulgado para obter, para si ou para outrem, vantagem no mercado de valores mobiliários. Referida política está disponível no site de Relações com Investidores da Companhia http://edp.infoinvest.com.br/, bem como no site da Comissão de Valores Mobiliários.;Vedações à negociação das Pessoas Sujeitas à Restrição para Negociação são presumivelmente detentoras de informação privilegiada e não podem negociar Valores Mobiliários: (i) em desacordo com a Política de Negociação e/ou (ii) em diversos períodos específicos. As Pessoas Sujeitas à Restrição para Negociação, com exceção dos Administradores e Conselheiros da Companhia, bem como das Sociedades Controladas e sociedades com participação de 10% ou mais no capital uma da outra, sem deter o controle, não podem negociar com Valores Mobiliários no período de quinze dias corridos que antecede a divulgação das informações trimestrais (ITR) e anuais (DFP) da Companhia. Os Administradores e Conselheiros da Companhia, bem como das Sociedades Controladas e Coligadas, somente poderão negociar com Valores Mobiliários no período de quinze dias corridos que antecede a divulgação das informações trimestrais (ITR) e anuais (DFP) da Companhia se observadas as disposições da Política de Negociação. Em termos de fiscalização, o controle se dá através dos "Planos Individuais de Investimentos", que contêm a intenção de investimento de Pessoas Sujeitas à Restrição para Negociação, com recursos próprios, a longo prazo, em Valores Mobiliários, arquivados na sede da Companhia nos termos do item V da Política de Negociação.
