CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Data_Fim_Trimestre;Valor_Mobiliario;Mercado_Valor_Mobiliario;Entidade_Administradora_Mercado;Especie_Acao;Classe_Acao_Preferencial;Descricao_Outro_Valor_Mobiliario;Valor_Volume_Negociado;Valor_Maior_Cotacao;Valor_Menor_Cotacao;Escala_Cotacao;Valor_Cotacao_Media
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;2019-03-31;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;35479381794.00;55.91;46.09;Reais por ação;49.36
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;2019-06-30;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;33989058551.00;54.28;44.55;Reais por ação;49.17
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;2019-09-30;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;32043144919.00;55.70;43.44;Reais por ação;47.06
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;2019-12-31;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;36690662857.00;53.67;43.01;Reais por ação;46.39
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;2018-03-31;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;23447007041.00;44.30;32.09;Reais por ação;37.66
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;2018-06-30;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;23120311575.00;41.75;24.14;Reais por ação;31.91
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;2018-09-30;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;21237200890.00;34.24;26.76;Reais por ação;30.13
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;2018-12-31;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;35170978890.00;46.49;28.20;Reais por ação;41.32
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;2017-03-31;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;13519013474.00;35.29;27.44;Reais por ação;30.48
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;2017-06-30;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;14750375284.00;35.39;25.20;Reais por ação;29.21
