CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Reducao;Data_Deliberacao;Data_Reducao;Valor_Total_Reducao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes;Reducao_Capital_Anterior;Valor_Restituido_Por_Acao;Forma_Restituicao;Razao_Reducao
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;12186;2013-06-28;2013-06-28;456309531.96;0;0;0;0.000000;0.00000000;Não ocorreu restituição.;Absorção de prejuízos acumulados.
00.359.742/0001-08;2020-01-01;5;102800;FICTOR ALIMENTOS S.A.;12147;2020-04-30;2020-04-30;230611102.03;0;0;0;0.000000;0.00000000;N/A;Redução do capital social da Companhia mediante a absorção dos seus prejuízos acumulados, sem que haja prejuízo no percentual de participação dos acionistas, sem alteração do atual número de ações existentes, não tendo, inclusive, implicação fiscal, muito menos de natureza econômica e financeira.
00.545.378/0001-70;2020-01-01;1;95407;SERRA AZUL WATER PARK SA;11439;2017-01-01;2017-01-01;0.01;0;0;0;0.000001;0.00000000;Não Aplivável;Não houve redução do Capital Social
00.622.416/0001-41;2020-01-01;7;103465;STATKRAFT ENERGIAS RENOVAVEIS S.A.;12255;2010-07-30;2010-07-30;220101170.00;4137240;0;4137240;99.909200;53.20000000;Versão do acervo líquido para controladora Jackson.;Implementação de reestruturação societária dentro do grupo.
00.622.416/0001-41;2020-01-01;7;103465;STATKRAFT ENERGIAS RENOVAVEIS S.A.;12256;2017-12-15;2017-12-15;168947847.94;0;0;0;0.000000;0.00000000;Compensação de prejuízos acumulados.;Compensação de prejuízos acumulados.
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;12302;2017-02-20;2017-04-27;219510000.00;28040162;0;28040162;8.009381;8.13000000;Entrega de uma ação ordinária do capital social da Construtora Tenda S.A. para cada uma ação ordinária detida pelo acionista da Companhia pós grupamento, excluídas as ações em tesouraria;O capital foi julgado excessivo, nos termos do Art. 173 da Lei nº 6.404/76
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;12303;2020-04-30;2020-04-30;2585032921.91;0;0;0;88.338527;0.00000000;Mediante absorção de prejuízos;Absorção de prejuízos
01.971.614/0001-83;2020-01-01;3;103430;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;12250;2017-06-30;2017-06-30;71433212.63;0;0;0;0.000000;0.00000000;Não aplicável.;A Proposta de redução do capital social de R$150.000.000,00 para R$ 78.566.787,37, mediante a absorção do prejuízo acumulado constante das demonstrações financeiras do exercício findo em 31/12/2016, no montante de R$71.433.212,63, sem modificação da quantidade de ações.
02.084.220/0001-76;2020-01-01;2;93819;NUMERAL 80 PARTICIPAÇÕES S.A.;11279;2007-03-21;2007-03-21;62534770.55;0;0;0;6.190035;0.00000000;Absorção de prejuízos acumulados;Eliminar o saldo de prejuízos acumulados
02.084.220/0001-76;2020-01-01;2;93819;NUMERAL 80 PARTICIPAÇÕES S.A.;11280;2009-10-23;2009-10-23;320000000.00;0;0;0;33.765449;0.00000000;Direitos: Redução de capital referente a assunção de dívida (contrato de mútuo) pela Santos Brasil Participações S.A.;Eliminar a dívida da Controladora Santos Brasil Participações S.A., referente a contrato de mútuo, com a Companhia.
02.084.220/0001-76;2020-01-01;2;93819;NUMERAL 80 PARTICIPAÇÕES S.A.;11281;2011-09-15;2011-09-15;627704339.90;0;0;0;99.998407;0.00000000;Não aplicável.;Cisão parcial da Companhia, seguida da incorporação da parcela cindida pela Santos Brasil Participações S.A., remanescendo na Companhia um capital social no montante de R$ 10.000,00 (dez mil reais).
02.105.040/0001-23;2020-01-01;4;97590;VIRGO II COMPANHIA DE SECURITIZACAO;11646;2019-11-06;2019-11-06;25385758.59;0;0;0;0.000000;0.00000000;O valor corresponde a restituição do capital seja efetuada em compensação de créditos da Companhia para com os acionistas;
02.193.750/0001-52;2020-01-01;10;103382;DEXXOS PARTICIPAÇÕES S.A.;12248;2018-12-31;2018-12-31;141898777.13;0;0;0;63.362253;0.00000000;Absorção da conta de prejuízos acumulados;Absorção de saldo existente na conta de prejuízos acumulados
02.387.241/0001-60;2020-01-01;22;105130;RUMO S.A.;12425;2021-04-27;2021-04-27;3507064183.23;0;0;0;21.840000;0.00000000;Não houve valor restituído por ação na redução de capital social aprovada em Assembleia Geral Ordinária e Extraordinária, realizada em 27 de abril de 2021.;As Demonstrações Financeiras de 31 de dezembro de 2020 da Companhia, apurou prejuízo acumulado total no valor de R$ 3.760.663.183,23, valor este que foi objeto da proposta de redução de capital e absorção das reservas de lucros.Com a absorção do lucro do exercício de 2020 e das reservas de lucros prevista nas DFs 2020, no montante de R$ 253.599.000,00 (duzentos e cinquenta e três milhões, quinhentos e noventa e nove mil reais), a conta de prejuízos acumulados passa a apresentar saldo total de R$ 3.507.064.183,23 (três bilhões, quinhentos e sete milhões, sessenta e quatro mil, cento e oitenta e três reais e vinte e três centavos). Segundo a Lei das S.A., a cifra do capital social somente pode ser alterada nas hipóteses e com a observância dos procedimentos previstos na legislação e no Estatuto Social. Dentre as hipóteses nas quais se admite a redução da cifra do capital social destaca-se a possibilidade de a assembleia geral decidir pela redução do capital em caso de perda, até o montante dos prejuízos acumulados (Lei das S.A., Art. 173).Como se sabe, a operação de redução de capital social é de natureza estritamente contábil, sendo realizada mediante lançamento contábil que debita o montante reduzido às contas de "reserva de lucros" e de "capital social", creditando-se valor igual à conta "prejuízos acumulados".Neste sentido, foi aprovado pela Assembleia Geral Ordinária e Extraordinária, realizada em 27 de abril de 2021, a compensação da totalidade dos prejuízos acumulados apurados nas DFs 2020, no valor de R$ 3.760.663.183,23, com reserva de lucros de R$ 253.599.000,00 e com capital social no valor de R$ 3.507.064.183,23, sem cancelamento de ações, para a absorção dos prejuízos acumulados, após a dedução do lucro líquido apurado nas DFs 2020.Dessa forma, o capital social da Companhia após a redução realizada, o capital social da Companhia é de R$ 12.547.841.824,28(doze bilhões, quinhentos e quarenta e sete milhões, oitocentos e quarenta e um mil, oitocentos e vinte e quatro reais e vinte e oito centavos), dividido em 1.854.158.791 (um bilhão, oitocentas e cinquenta e quatro milhões, cento e cinquenta e oito mil e setecentas e noventa e uma) ações ordinárias, todas nominativas, escriturais e sem valor nomina.A redução de capital também visa a reestabelecer a situação de equilíbrio entre o nível de capital e o patrimônio da Companhia.
