CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;233899;Preferencial Classe A;146920
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;233899;Preferencial Classe B;279941394
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;233900;Preferencial Classe A;146920
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;233900;Preferencial Classe B;279941394
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;233901;Preferencial Classe A;146920
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;233901;Preferencial Classe B;279941394
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;232649;Preferencial Classe A;1313002
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;232649;Preferencial Classe B;5919203
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;230123;Preferencial Classe A;10332711
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;230124;Preferencial Classe A;21002999
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;230125;Preferencial Classe A;21002999
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;230127;Preferencial Classe A;210029997060
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;214956;Preferencial Classe R;255559826
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;214956;Preferencial Classe C;107199382
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;214956;Preferencial Classe B;5156240
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;214956;Preferencial Classe A;16288514
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;231452;Preferencial Classe A;37680
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;231453;Preferencial Classe A;37680
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;231454;Preferencial Classe A;37680
01.417.222/0001-77;2020-01-01;9;103383;MRS LOGISTICA S.A.;231074;Preferencial Classe B;69591139
01.417.222/0001-77;2020-01-01;9;103383;MRS LOGISTICA S.A.;231074;Preferencial Classe A;82076174
01.417.222/0001-77;2020-01-01;9;103383;MRS LOGISTICA S.A.;231075;Preferencial Classe A;82076174
01.417.222/0001-77;2020-01-01;9;103383;MRS LOGISTICA S.A.;231075;Preferencial Classe B;69591139
01.417.222/0001-77;2020-01-01;9;103383;MRS LOGISTICA S.A.;231076;Preferencial Classe A;82076174
01.417.222/0001-77;2020-01-01;9;103383;MRS LOGISTICA S.A.;231076;Preferencial Classe B;69591139
02.201.787/0001-85;2020-01-01;1;95220;CEL PARTICIPAÇÕES S.A. - CELPAR;213022;Preferencial Classe A;20
02.201.787/0001-85;2020-01-01;1;95220;CEL PARTICIPAÇÕES S.A. - CELPAR;213022;Preferencial Classe B;10
02.281.836/0001-37;2020-01-01;2;94223;TRANSNORDESTINA LOGISTICA SA;210286;Preferencial Classe A;18686075
02.281.836/0001-37;2020-01-01;2;94223;TRANSNORDESTINA LOGISTICA SA;210286;Preferencial Classe B;7413673
02.762.113/0001-50;2020-01-01;1;93855;BRAZILIAN FINANCE E REAL ESTATE S.A.;208907;Preferencial Classe A;23
02.762.113/0001-50;2020-01-01;1;93855;BRAZILIAN FINANCE E REAL ESTATE S.A.;208907;Preferencial Classe B;11
02.762.113/0001-50;2020-01-01;1;93855;BRAZILIAN FINANCE E REAL ESTATE S.A.;208908;Preferencial Classe A;23
02.762.113/0001-50;2020-01-01;1;93855;BRAZILIAN FINANCE E REAL ESTATE S.A.;208908;Preferencial Classe B;11
02.762.113/0001-50;2020-01-01;1;93855;BRAZILIAN FINANCE E REAL ESTATE S.A.;208909;Preferencial Classe A;23
02.762.113/0001-50;2020-01-01;1;93855;BRAZILIAN FINANCE E REAL ESTATE S.A.;208909;Preferencial Classe B;11
02.762.113/0001-50;2020-01-01;1;93855;BRAZILIAN FINANCE E REAL ESTATE S.A.;208910;Preferencial Classe A;23
02.762.113/0001-50;2020-01-01;1;93855;BRAZILIAN FINANCE E REAL ESTATE S.A.;208910;Preferencial Classe B;11
02.762.113/0001-50;2020-01-01;1;93855;BRAZILIAN FINANCE E REAL ESTATE S.A.;208911;Preferencial Classe A;23
02.762.113/0001-50;2020-01-01;1;93855;BRAZILIAN FINANCE E REAL ESTATE S.A.;208911;Preferencial Classe B;11
02.762.113/0001-50;2020-01-01;1;93855;BRAZILIAN FINANCE E REAL ESTATE S.A.;208912;Preferencial Classe A;23
02.762.113/0001-50;2020-01-01;1;93855;BRAZILIAN FINANCE E REAL ESTATE S.A.;208912;Preferencial Classe B;11
02.998.611/0001-04;2020-01-01;11;104350;ISA ENERGIA BRASIL;233060;Preferencial Classe A;100236393
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227250;Preferencial Classe B;4916000
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227254;Preferencial Classe B;4736000
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227255;Preferencial Classe B;4736000
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227258;Preferencial Classe B;4402667
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227259;Preferencial Classe B;4402667
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227260;Preferencial Classe B;4402667
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227261;Preferencial Classe B;4402667
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227262;Preferencial Classe B;4402667
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227263;Preferencial Classe B;4402667
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227266;Preferencial Classe B;4336000
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227267;Preferencial Classe B;4336000
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227268;Preferencial Classe B;4336000
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227269;Preferencial Classe B;4336000
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227270;Preferencial Classe B;4336000
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227271;Preferencial Classe B;4336000
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227274;Preferencial Classe B;169333
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227275;Preferencial Classe B;169333
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227276;Preferencial Classe B;169333
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227277;Preferencial Classe B;169333
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227278;Preferencial Classe B;169333
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227279;Preferencial Classe B;169333
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227282;Preferencial Classe B;136001
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227283;Preferencial Classe B;136001
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227284;Preferencial Classe B;136001
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227285;Preferencial Classe B;136001
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227286;Preferencial Classe B;136001
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227287;Preferencial Classe B;136001
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227290;Preferencial Classe B;69167
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227291;Preferencial Classe B;69167
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227292;Preferencial Classe B;69167
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227293;Preferencial Classe B;69167
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227294;Preferencial Classe B;69167
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227295;Preferencial Classe B;69167
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227298;Preferencial Classe B;577767
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227299;Preferencial Classe B;577767
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227300;Preferencial Classe B;577767
04.030.182/0001-02;2020-01-01;4;102100;CABINDA PARTICIPACOES S.A.;227301;Preferencial Classe B;577767
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;231797;Preferencial Classe B;1406542
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;231798;Preferencial Classe B;1226542
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;231799;Preferencial Classe B;959876
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;231801;Preferencial Classe B;893209
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;231802;Preferencial Classe B;893209
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;231803;Preferencial Classe B;893209
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;231805;Preferencial Classe B;66667
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;231806;Preferencial Classe B;66667
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;231807;Preferencial Classe B;66667
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;231809;Preferencial Classe B;759875
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;231810;Preferencial Classe B;759875
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;231811;Preferencial Classe B;759875
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;231813;Preferencial Classe B;726542
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;231814;Preferencial Classe B;726542
04.031.213/0001-31;2020-01-01;6;103597;CACONDE PARTICIPACOES S.A.;231815;Preferencial Classe B;726542
