CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Data_Encerramento;Variacao_Percentual_Valor_Contabil;Variacao_Percentual_Valor_Mercado;Valor_Montante_Dividendos_Recebidos
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633793;2020-12-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633793;2019-12-31;-0.03000000;0.00000000;0.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633793;2018-12-31;27.23000000;0.00000000;0.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633793;2017-12-31;-13.32000000;0.00000000;0.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633794;2020-12-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633794;2019-12-31;35.67000000;0.00000000;157100000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633794;2018-12-31;-2.67000000;0.00000000;159100000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633794;2017-12-31;0.63000000;0.00000000;192200000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633795;2020-12-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633795;2019-12-31;8.87000000;0.00000000;540000000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633795;2018-12-31;-4.81000000;0.00000000;97300000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633795;2017-12-31;5.03000000;0.00000000;55300000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633796;2020-12-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633796;2019-12-31;-85.21000000;0.00000000;657300000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633796;2018-12-31;3.12000000;0.00000000;1448800000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633796;2017-12-31;1.80000000;0.00000000;1295000000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633797;2020-12-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633797;2019-12-31;5.34000000;0.00000000;0.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633797;2018-12-31;5.80000000;0.00000000;0.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633797;2017-12-31;4.04000000;0.00000000;0.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633798;2020-12-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633798;2019-12-31;89.53000000;0.00000000;529600000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633798;2018-12-31;2.59000000;0.00000000;523800000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633798;2017-12-31;4.70000000;0.00000000;370500000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633799;2020-12-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633799;2019-12-31;0.00000000;0.00000000;1269200000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633799;2018-12-31;0.00000000;0.00000000;1100300000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633799;2017-12-31;0.00000000;0.00000000;939500000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633800;2020-12-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633800;2019-12-31;1.43000000;0.00000000;36200000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633800;2018-12-31;2.57000000;0.00000000;43900000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633800;2017-12-31;3.92000000;0.00000000;73400000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633801;2020-12-31;0.00000000;0.00000000;0.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633801;2019-12-31;-13.84000000;0.00000000;2698000000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633801;2018-12-31;-16.39000000;-3.16000000;2313000000.00
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;633801;2017-12-31;6.89000000;0.67000000;2179200000.00
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;631868;2020-12-31;0.00000000;0.00000000;0.00
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;631868;2019-12-31;0.00000000;0.00000000;0.00
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;631868;2018-12-31;0.00000000;0.00000000;6071048.55
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;631868;2017-01-31;0.00000000;0.00000000;7000000.00
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;631869;2020-12-31;0.00000000;0.00000000;0.00
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;631869;2019-12-31;0.00000000;0.00000000;0.00
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;631869;2018-12-31;0.00000000;0.00000000;0.00
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;631869;2017-01-31;0.00000000;0.00000000;207900.00
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;631870;2020-12-31;0.00000000;0.00000000;0.00
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;631870;2019-12-31;0.00000000;0.00000000;0.00
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;631870;2018-12-31;0.00000000;0.00000000;35762885.31
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;631870;2017-01-31;0.00000000;0.00000000;15386250.21
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633945;2020-12-31;0.00000000;0.00000000;0.00
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633945;2019-12-31;13.91000000;62.67000000;25715077.39
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633945;2018-12-31;-2.20000000;-21.40000000;26193324.00
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633945;2017-12-31;0.00000000;-89.28571400;28358700.88
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633946;2020-12-31;0.00000000;0.00000000;0.00
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633946;2019-12-31;-100.00000000;0.00000000;0.00
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633946;2018-12-31;15.06000000;0.00000000;0.00
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633946;2017-12-31;27.87367900;0.00000000;0.00
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633947;2020-12-31;0.00000000;0.00000000;0.00
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633947;2019-12-31;0.00000000;0.00000000;23202518.15
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633947;2018-12-31;3.30000000;0.00000000;19173849.00
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633947;2017-12-31;-32.65728900;0.00000000;41320718.32
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633948;2020-12-31;0.00000000;0.00000000;0.00
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633948;2019-12-31;0.00000000;0.00000000;0.00
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633948;2018-12-31;0.00000000;0.00000000;0.00
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633948;2017-12-31;0.00000000;0.00000000;0.00
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;633949;2020-12-31;0.00000000;0.00000000;0.00
