CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Auditor;Auditor;CPF_Auditor;CNPJ_Auditor;Codigo_CVM_Auditor;Tipo_Origem_Auditor;Data_Inicio_Contratacao;Data_Fim_Contratacao;Data_Inicio_Prestacao_Servico;Servico_Contratado;Remuneracao_Auditor;Justificativa_Substituicao;Razao_Apresentada
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;94645;KPMG Auditores Independentes;;57755217000129;004189;Nacional;2016-03-17;;;Prestação de serviços de auditoria sobre as demonstrações contábeis do Conglomerado Banco do Brasil, relativo ao exercício social encerrado em 31 de dezembro de 2018, elaboradas de acordo com as práticas contábeis adotadas no Brasil e com as normas internacionais de contabilidade (IFRS - International Financial Reporting Standards) emitidas pelo International Accounting Standards Board (IASB)  e de outros serviços correlatos.;No ano de 2019 foram pagos R$ 6.237.414,89 referentes ao contrato 201685580016, de prestação de serviços de auditoria contábil e outros serviços correlatos.;Atingimento do limite legal de acréscimos de serviços contratados, conforme Lei 8.666/93, e obrigatoriedade de rodízio da empresa contratada para realização de trabalhos de auditoria externa na BB Seguridade Participações S.A. O Banco do Brasil obteve anuência da KPMG com relação à justificativa para a referida mudança, nos termos do art. 28 da Instrução CVM 308/99.;N/A.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;94646;Deloitte Touche Tohmatsu Auditores Independentes;;49928567000898;003859;Nacional;2019-02-27;;;Prestação de serviços de auditoria contábil sobre as demonstrações contábeis do Conglomerado Banco do Brasil, elaboradas de acordo com as práticas contábeis adotadas no Brasil e com as normas internacionais de contabilidade (IFRS - International Financial Reporting Standards) emitidas pelo International Accounting Standards Board (IASB) e de outros serviços correlatos relativos ao exercício social encerrado em 31 de dezembro de 2019 e prestação de serviços de revisão de números e emissão de carta conforto no âmbito de oferta pública de valores mobiliários.;No ano de 2019 foram pagos R$ 16.625.000,00 referentes ao contrato 201985580011, de prestação de serviços de auditoria contábil sobre as demonstrações contábeis do Conglomerado Banco do Brasil e serviços correlatos.;Não aplicável.;Não aplicável.
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;94118;Ernst & Young Auditores Independentes S.S;;61366936000125;004715;Nacional;2015-03-10;;;Prestação de serviços especializados de auditoria independente das demonstrações contábeis e financeiras individuais e consolidadas, das empresas do Conglomerado BRB e dos Fundos de Investimentos administrados, relativo aos exercícios de 2015, 2016, 2017, 2018 e 2019, nos termos da Resolução n° 3.198/2004, do Conselho Monetário Nacional, da Circular n° 3.192/ 2003, do Banco Central do Brasil, e das Instruçoes n° 308/ 1999 e nº 409/2004, da Comissão de Valores Mobiliários.;Serviços de auditoria externa: R$ 1.248.935,79.;Não há.;Não há.
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;94119;Ernst & Young Auditores Independentes S.S;;61366936000125;004715;Nacional;2020-03-02;;;PRESTAÇÃO, EM REGIME DE EMPREITADA POR PREÇO UNITÁRIO, PELA CONTRATADA, DOS SERVIÇOS ESPECIALIZADOS DE AUDITORIA INDEPENDENTE DAS DEMONSTRAÇÕES FINANCEIRAS, INDIVIDUAIS E CONSOLIDADAS, DAS EMPRESAS DO CONGLOMERADO BRB E DO INSTITUTO BRB, DOS EXERCÍCIOS DE 2020 E 2021.;Auditoria externa: R$ 2.635.032,60;Fim da vigência do Contrato 025/2015 em 10.03.2020 e obrigatoriedade da rotatividade da equipe técnica.;Não há.
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;94683;KPMG Auditores Independentes;;57755217000390;004189;Nacional;2014-01-01;2019-04-01;;Serviços regulares e especiais de auditoria independente, sobre as Demonstrações Financeiras individuais e consolidadas, para fins locais (CPC/CVM) e IASB/SEC, dos exercícios de 2015, 2016 e 2017 e a Revisão das Informações Trimestrais (1T2015, 2T2015, 3T2015, 1T2016, 2T2016, 3T2016, 1T2017, 2T2017 e 3T2017). Revisão dos procedimentos fiscais e tributários, o exame das demonstrações financeiras e informações complementares requeridas pela Agência Reguladora (ANEEL), CVM e Instituições Financeiras (p.ex. BIRD/BID), emissão de relatórios especiais e documentos decorrentes dos serviços prestados, além do exame dos controles internos segundo normas do IBRACON e da Lei Norte-Americana Sarbanes-Oxley - SOX, com a emissão de relatórios requeridos.;No último exercício social encerrado em 31 de dezembro de 2018, os auditores independentes da Companhia, em contrapartida aos serviços de auditoria contábil externa prestados, receberam honorários que totalizaram o valor de R$19.407.354,69(considerando os serviços prestados para as empresas Eletrobras consolidadas em suas demonstrações financeiras).;A substituição visou atender ao disposto no artigo 31 da Instrução CVM 308/99, o qual determina a rotatividade dos auditores independentes a cada cinco anos.;Não aplicável, uma vez que não houve discordância por parte do auditor.
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;94684;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES;;61562112000120;002879;Nacional;2019-04-02;;;Serviços regulares de auditoria independente, sobre as Demonstrações Financeiras individuais e consolidadas, para fins locais (CPC/CVM) e IASB/SEC, dos exercícios de 2019 e 2020, e a Revisão das Informações Trimestrais (1T2019, 2T2019, 3T2019, 1T2020, 2T2020, 3T2020). Revisão dos procedimentos fiscais e tributários, o exame das demonstrações financeiras e informações complementares requeridas pela Agência Reguladora (ANEEL), CVM e Instituições Financeiras (p.ex. BIRD/BID), emissão de relatórios especiais e documentos decorrentes dos serviços prestados, além do exame dos controles internos segundo normas do IBRACON e da Lei Norte-Americana Sarbanes-Oxley - SOX, com a emissão de relatórios requeridos. Adicionalmente, a PricewaterhouseCoopers Auditores Independentes foi contratada para prestação de serviço especializado na avaliação de desempenho dos integrantes dos órgãos de Governança, Conselho de Administração, Conselho Fiscal, Diretorias Executivas e Comitês Estatutários, da Eletrobras, suas Controladas e nas Sociedades de Propósito Específico - SPE, de natureza jurídica estatal, nas quais a Eletrobras ou Controladas tinham participação (contrato foi vigente até 29/02/2019), período que antecede a prestação de serviço da PWC como auditor independente da Companhia.;No exercício social encerrado em 31 de dezembro de 2019, os auditores independentes da Companhia, em contrapartida aos serviços prestados, receberam honorários que totalizaram o valor de R$13.416.666,62 (considerando os serviços prestados para as empresas Eletrobras consolidadas em suas demonstrações financeiras), sendo que, desse valor, o montante de R$1.051.600,00 corresponde aos serviços de avaliação de desempenho de administradores do grupo da Companhia realizados em 2018.;Não aplicável.;Não aplicável.
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;94170;RUSSELL BEDFORD BRASIL AUDITORES INDEPENDENTES S/S;;13098174000180;011592;Nacional;2019-10-25;;;Contratação de Serviços Regulares de Auditoria Independente, compreendendo a Auditoria das Demonstrações Financeiras da Companhia Energética de Brasília - CEB, (Individual e Consolidada), relativas aos exercícios sociais a findarem-se em 31 de dezembro de 2019, 2020, 2021, 2022 e 2023 e a Revisão das Informações Trimestrais (ITRs), relativas aos trimestres a findarem-se em 31 de março, 30 de junho e 30 de setembro de 2019, 2020, 2021, 2022 e 2023. Inclui, também, a revisão dos procedimentos fiscais e tributários, o exame das informações complementares requeridas pela Comissão de Valores Mobiliários - CVM, bem como a emissão de outros relatórios especiais e documentos decorrentes dos serviços prestados, conforme Projeto Básico Conjunto nº 01/2018 - CEB e CEB Distribuição S/A, Anexo IV do Edital.;O valor global deste Contrato é de R$ 336.800,00 (trezentos e trinta e seis mil e oitocentos reais)..;Artigo 28 IN CVM 308/99;Não tem
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;86447;IAUD - AUDITORES INDEPENDENTES S/S;;97424758000199;124400;Nacional;2017-04-01;;;Auditoria das Demonstrações Financeiras e Revisão das Informações Trimestrais - ITRS.Parecer do auditor independente.;R$ 24.000,00;;
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;93322;GRANT THORNTON AUDITORES INDEPENDETES;;10830108000165;011274;Nacional;2017-01-01;;;Revisão de Informações Trimestrais (ITRs e Auditoria das Demonstrações Financeiras Anuais;43.967,00;;
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;93202;MACIEL AUDITORES S/S;;13098174000180;006866;Nacional;2018-04-17;;;Contratação dos serviços técnicos especializados em Auditoria Independente das Demonstrações Contábeis pelo período de 12(doze) meses.;Honorários relativos a Serviços de Auditoria independente das Demonstrações Contábeis R$ 23.697,07 a serem pagos em 2018.;Nova licitação por não se tratar de serviço comum e não continuado;Não houve discordância
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;93203;CONSULT AUDITORES INDEPENDENTES;;77998276000135;006866;Nacional;2019-08-15;;;contratação de serviços técnicos especializados em auditoria independente das demonstrações contábeis.;No exercício social de 2019, foi pago o total de R$19.663,92 (dezenove mil, seiscentos e sessenta e três reais e noventa e dois centavos) como remuneração dos auditores independentes. Não houve outros serviços prestados pelos auditores independentes.;Nova Licitação;Não houve discordância.
00.359.742/0001-08;2020-01-01;5;102800;FICTOR ALIMENTOS S.A.;92807;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES;;54276936000179;010324;Nacional;2020-01-01;;;Trabalho de auditoria externa que têm como objetivo auditoria das demonstrações financeiras trimestrais e de balanço anual com finalidade de emitir os relatórios de auditoria independente sobre os ITR'S e os balanços dos exercícios;A remuneração dos serviços de auditoria externa está fixada em R$ 56.000,00/ano;A alteração da empresa de auditoria é avaliado como uma medida importante na reestruturação de controles internos adotado pela Companhia.;N/A
00.383.281/0001-09;2020-01-01;8;100769;BNDES PARTICIPACOES S.A. - BNDESPAR;91978;GRANT THORNTON AUDITORES INDEPENDENTES;;10830108000165;011274;Nacional;2017-04-10;;;i. Auditoria anual e semestral das Demonstrações Financeiras da BNDESPAR ii.Revisão Especial das Informações Trimestrais (ITR) iii. Serviços especiais de auditoria e iv. Assistência Tributária.;Não houve prestação desses serviços e pagamento no exercício de 2016.;;
00.383.281/0001-09;2020-01-01;8;100769;BNDES PARTICIPACOES S.A. - BNDESPAR;91979;GRANT THORNTON AUDITORES INDEPENDENTES;;10830108000165;011274;Nacional;2017-04-10;;;Auditoria das Demonstrações Financeiras, Revisão Especial das Informações Trimestrais (ITR), Revisão Tributária e Outros Serviços de Auditoria.;a. honorários relativos a serviços de auditoria externa: R$ 883.699,25i. Auditoria das Demonstrações Financeiras: R$ 490.999,25ii. Revisão Especial das Informações Trimestrais (ITR): R$ 231.000,00iii. Revisão Tributária: R$ 161.700,00iv.Outros serviços de Auditoria: não houve.b.honorários relativos a quaisquer outros serviços prestados: não houve .;não houve substituição do auditor.;não houve substituição do auditor.
00.383.281/0001-09;2020-01-01;8;100769;BNDES PARTICIPACOES S.A. - BNDESPAR;91980;GRANT THORNTON AUDITORES INDEPENDENTES;;10830108000165;011274;Nacional;2017-04-10;;;Auditoria das Demonstrações Financeiras, Revisão Especial das Informações Trimestrais (ITR), Revisão Tributária e Outros Serviços de Auditoria.;a. honorários relativos a serviços de auditoria externa: R$ 883.767,06 i. Auditoria das Demonstrações Financeiras: R$480.542,70 ii. Revisão Especial das Informações Trimestrais (ITR): R$ 237.190,80 iii. Revisão Tributária: R$ 166.033,56 iv.Outros serviços de Auditoria: não houve.b.honorários relativos a quaisquer outros serviços prestados: não houve .;não houve substituição do auditor;não houve substituição do auditor
00.389.481/0001-79;2020-01-01;2;99896;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;91221;Ernst & Young Auditores Independentes S/S;;61366936000125;004715;Nacional;2016-01-01;;;Serviços profissionais contratados nos exercícios sociais findos em 31 de dezembro de 2019, 2018 e 2017: (i) auditoria das Demonstrações Financeiras da Companhia (ii) revisão de cálculos relativos aos índices financeiros (covenants) previstos em contratos de empréstimos e/ou financiamentos junto a instituições financeiras.Serviços profissionais contratados no semestre findo em 30 de junho de 2019, 2018 e 2017:(i) relatório dos auditores independentes sobre a revisão de Informações Intermediárias individuais Serviços profissionais contratados nos trimestres findo em 31 de março de 2019 e 30 de setembro de 2019:(i) relatório dos auditores independentes sobre a revisão de Informações Intermediárias individuais.;Com relação à revisão de cálculos relativos aos índices financeiros (covenants) previstos em contratos de empréstimos e/ou financiamentos junto a instituições financeiras e ao serviço de auditoria das Demonstrações Financeiras referentes ao exercício social encerrado em 31 de dezembro de 2019 e das Informações trimestrais individuais de 2019, a remuneração dos auditores foi no valor de R$ 90.000,00 (houve uma única contratação para todos os serviços);Não ocorreu substituição do auditor.;Não aplicável.
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;93867;KPMG AUDITORES INDEPENDENTES;;57755217000471;004189;Nacional;2011-04-01;;;Serviços profissionais de (i) auditoria das demonstrações financeiras individuais e consolidadas referente aos períodos findos em 30 de junho de 2020, 30 de junho e 31 de dezembro de 2019, preparadas de acordo com práticas contábeis adotadas no Brasil, aplicáveis as instituições financeiras autorizadas a funcionar pelo Banco Central do Brasil (ii) auditoria das demonstrações financeiras consolidadas referentes aos exercício sociais encerrados em 31 de dezembro de 2019, preparadas de acordo com as normas internacionais de contabilidade - International Financial Reporting Standards ("IFRS") emitidas pelo International Accounting Standards Board "IASB") (iii) auditoria das demonstrações financeiras consolidadas do Conglomerado Prudencial Inter referentes aos semestres e exercícios sociais findos em 30 de junho de 2020, 30 de junho de 2019 e 31 de dezembro de 2019, elaboradas de acordo com os procedimentos específicos estabelecidos pela Resolução nº 4.280/2013 do Conselho Monetário Nacional (iv) revisão das informações trimestrais individuais e consolidadas referentes aos períodos findos em 31 de março de 2020, 31 de março, 30 de junho e 30 de setembro de 2019, aos períodos findos em 31 de março, 30 de junho e 30 de setembro de 2019, elaboradas de acordo com as práticas contábeis adotadas no Brasil aplicáveis às instituições autorizadas a funcionar pelo Banco Central do Brasil (v) Serviço de revisão dos critérios para a classificação das operações de crédito por nível de risco e para a constituição da provisão para crédito de liquidação duvidosa da Resolução nº 2.682 do Conselho Monetário Nacional, para os períodos findos em 30 de junho e 31 de dezembro de 2019 (vi) Serviço de revisão dos Controles internos e dispositivos regulatórios e regulamentares de acordo com a Circular n° 3.467 de 2009, do Banco Central do Brasil (Bacen), para os períodos findos em 30 de junho e 31 de dezembro de 2019 (vi) serviços de revisão dos procedimentos adotados para preenchimento da Escrituração Contábil Fiscal - ECF relativo ao ano-calendário de 2018 (vii) asseguração sobre a estrutura dos controles internos para fins de atendimento ao Regulamento Operacional - C3 Registradora o exercício findo em 31 de dezembro de 2019 (viii) Serviço de emissão de carta conforto em conexão com a Oferta Pública subsequente de ações do Banco Inter S.A.;No exercício social encerrado em 31 de dezembro de 2019, os auditores independentes receberam honorários que totalizaram o valor de R$ 1.733.580, líquido dos efeitos tributários, sendo (i) R$ 991.736 referentes a serviços de auditoria das Demonstrações Financeiras anuais e semestrais, revisão das informações trimestrais do Banco, assim como auditoria das demonstrações financeiras consolidadas do Conglomerado Prudencial e (ii) R$ 741.844 referentes a serviços de consultoria de revisão dos procedimentos adotados para preenchimento da Escrituração Contábil Fiscal - ECF, asseguração sobre a estrutura dos controles internos para fins de atendimento ao Regulamento Operacional - C3 Registradora e revisão de informações, serviços de emissão de carta conforto em conexão com oferta pública subsequente de ações.No semestre findo em de 30 de junho de 2020, os auditores independentes receberam honorários que totalizaram o valor de R$ 1.195.200, líquido dos efeitos tributários, sendo (i) R$ 440.000 referentes a serviços de auditoria das Demonstrações Financeiras semestrais, revisão das informações trimestrais do Banco, assim como auditoria das demonstrações financeiras consolidadas do Conglomerado Prudencial e (ii) R$ 755.200 referentes a serviços de consultoria de revisão dos procedimentos adotados para preenchimento da Escrituração Contábil Fiscal - ECF, serviços de emissão de carta conforto em conexão com oferta pública subsequente de ações.;Não aplicável.;Não aplicável.
00.545.378/0001-70;2020-01-01;1;95407;SERRA AZUL WATER PARK SA;87047;Mazars Auditores Independentes Sociedade Simples;;07326840000198;010723;Nacional;2020-06-10;;;Auditoria e revisão das demonstrações financeiras individuais para os exercícios findos em 31/12/2020 e 31/12/2021, e 1o, 2o e 3o trimestres findos (e a findar-se) em 31 de março, 30 de junho e 30 de setembro de cada um destes dois exercícios;R$70.000,00 (setenta mil reais) por exercício, sendo que no segundo exercício o valor poderá ser corrigido por índice inflacionário a ser pactuado oportunamente entre as partes;O auditor anterior (RSM BRASIL AUDITORES INDEPENDENTES) completou o prazo máximo de 05 exercícios sociais consecutivos auditando a companhia.;
00.622.416/0001-41;2020-01-01;7;103465;STATKRAFT ENERGIAS RENOVAVEIS S.A.;93663;Baker Tilly Brasil RS Auditores Independentes Sociedade Simples;;21601212000102;012360;Nacional;2016-01-01;2017-06-30;;Prestação de serviços de revisão das Informações Trimestrais (ITRs) da Statkraft Energias Renováveis S.A., controladora e consolidado, para os trimestres a findar-se em 31 de março e 30 de junho de 2017.;Honorários de Auditoria referente ao ano de 2017: R$ 57,2 mil.;Não há em relação a 2016.;Não há.
00.622.416/0001-41;2020-01-01;7;103465;STATKRAFT ENERGIAS RENOVAVEIS S.A.;93664;Deloitte Touche Tohmatsu Auditores Independentes;;49928567001002;003859;Nacional;2017-07-01;;;Auditoria das Demonstrações Financeiras referentes ao exercício a findar-se em 31 de dezembro de 2018 e Revisão das Informações Financeiras Intermediárias referentes aos trimestres a findarem-se em 31 de março, 30 de junho e 30 de setembro de 2018.;R$ 861.130,00;Não houve.;Não há.
