CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Codigo_Conta;Descricao_Conta;Valor;Informacao_Financeira;Tipo_Moeda;Escala_Moeda
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;a;Patrimônio Líquido;101238000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;b;Ativo Total;1353075000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;147064000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;d;Resultado Bruto;54204000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;e;Resultado Líquido;12275000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;f;Número de Ações, Ex-Tesouraria;2785000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;g;Valor Patrimonial da Ação (Reais Unidade);34.96000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;h;Resultado Básico por Ação;3.82000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;i;Resultado Diluído por Ação;3.82000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;a;Patrimônio Líquido;104540000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;b;Ativo Total;1396507000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;120250000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;d;Resultado Bruto;50713000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;e;Resultado Líquido;15086000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;f;Número de Ações, Ex-Tesouraria;2786000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;g;Valor Patrimonial da Ação (Reais Unidade);36.58000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;h;Resultado Básico por Ação;4.96000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;i;Resultado Diluído por Ação;4.96000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;a;Patrimônio Líquido;109971000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;b;Ativo Total;1452267000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;123105000000.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;d;Resultado Bruto;53799000000.00000000;Consolidado;Real;Unidade
