CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Reducao;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes
07.040.108/0001-57;2020-01-01;10;103215;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;12209;Preferencial Classe B;2673776
07.253.321/0001-47;2020-01-01;1;94834;CARBOMIL SA MINER. E INDUSTRIA;11386;Preferencial Classe A;1
14.998.371/0001-19;2020-01-01;6;102981;J. MACEDO S.A.;12174;Preferencial Classe A;1642891
14.998.371/0001-19;2020-01-01;6;102981;J. MACEDO S.A.;12174;Preferencial Classe B;41
33.352.394/0001-04;2020-01-01;14;103300;CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE;12234;Preferencial Classe A;90050693404
62.002.886/0001-60;2020-01-01;9;103628;SAO PAULO TURISMO S.A.;12275;Preferencial Classe A;2939
62.002.886/0001-60;2020-01-01;9;103628;SAO PAULO TURISMO S.A.;12275;Preferencial Classe B;419
