CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Acionista;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes;Percentual_Acoes
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;6599990;;0;0.000000
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;6599996;;0;0.000000
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;6610667;;0;0.000000
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;6610668;;0;0.000000
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;6610671;;0;0.000000
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;6610683;;0;0.000000
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;6610686;;0;0.000000
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;6610689;;0;0.000000
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;6610691;;0;0.000000
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600416;;309000;3.904873
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600416;Preferencial Classe A;240000;18.279000
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600416;Preferencial Classe B;69000;1.166000
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600417;;302084;3.817475
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600417;Preferencial Classe A;194377;14.804000
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600417;Preferencial Classe B;107707;1.820000
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600420;Preferencial Classe B;4859525;82.098000
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600420;;4859525;66.998082
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600423;;281000;3.874136
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600423;Preferencial Classe A;135000;10.282000
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600423;Preferencial Classe B;146000;2.467000
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600426;;1480596;20.472263
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600426;Preferencial Classe A;743625;56.635000
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600426;Preferencial Classe B;736971;12.451000
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600428;Preferencial Classe B;5919203;81.845067
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600428;;7232205;100.000000
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;6600428;Preferencial Classe A;1313002;18.154956
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;6581849;;0;0.000000
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;6581850;;0;0.000000
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;6581856;;0;0.000000
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;6581857;;0;0.000000
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;6579741;;16239800;88.223865
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;6579741;Preferencial Classe A;16239800;88.224000
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;6579747;;542630;2.947876
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;6579747;Preferencial Classe A;542630;2.948000
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;6579750;;1625061;8.828259
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;6579750;Preferencial Classe A;1625061;8.828000
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;6594747;;0;0.000000
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;6594748;;0;0.000000
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;6594752;;0;0.000000
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;6594755;;0;0.000000
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;6594756;;0;0.000000
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;6432233;;0;0.000000
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;6432239;;0;0.000000
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;6432240;;0;0.000000
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;6432243;;0;0.000000
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;6432251;;0;0.000000
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;6432257;;0;0.000000
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;6432302;;0;0.000000
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;6599263;;0;0.000000
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;6599266;;0;0.000000
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;6599269;;0;0.000000
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;6599270;;0;0.000000
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;6599288;;0;0.000000
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;6599304;;0;0.000000
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;6599305;;0;0.000000
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;6599312;;0;0.000000
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;6599400;;0;0.000000
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;6599408;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6453989;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6453991;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6453992;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6453997;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454012;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454014;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454019;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454039;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454040;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454048;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454112;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454113;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454114;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454115;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454116;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454136;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454137;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454138;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454139;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454146;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454150;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454157;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454161;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454168;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454172;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454182;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454186;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454196;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454198;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454205;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454209;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454217;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454223;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454227;;0;0.000000
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;6454243;;0;0.000000
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;6589547;;0;0.000000
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;6589551;;0;0.000000
00.924.429/0001-75;2020-01-01;5;102526;FERROVIA CENTRO-ATLANTICA S.A.;6562000;;0;0.000000
00.924.429/0001-75;2020-01-01;5;102526;FERROVIA CENTRO-ATLANTICA S.A.;6562028;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590777;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590778;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590782;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590786;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590790;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590797;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590805;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590825;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590846;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590847;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590848;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590849;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590850;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590851;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590855;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590861;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590865;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590872;;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;6590893;;0;0.000000
