CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Desdobramento;Data_Aprovacao;Tipo_Evento;Quantidade_Acoes_Ordinarias_Antes_Aprovacao;Quantidade_Acoes_Preferenciais_Antes_Aprovacao;Quantidade_Total_Acoes_Antes_Aprovacao;Quantidade_Acoes_Ordinarias_Depois_Aprovacao;Quantidade_Acoes_Preferenciais_Depois_Aprovacao;Quantidade_Total_Acoes_Depois_Aprovacao
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;25411;2010-12-03;Grupamento;886959131950;210029997060;1096989129010;88695913;21002999;109698912
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;25412;2016-04-04;Grupamento;88695913;21002999;109698912;9743971;2100299;11844270
00.359.742/0001-08;2020-01-01;5;102800;FICTOR ALIMENTOS S.A.;25302;2016-04-29;Grupamento;313484914;0;313484914;62696983;0;62696983
00.359.742/0001-08;2020-01-01;5;102800;FICTOR ALIMENTOS S.A.;25303;2016-06-23;Grupamento;62696983;0;62696983;20898994;0;20898994
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;25577;2018-03-12;Desdobramento;6030415;5867641;11898056;36182490;35205846;71388336
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;25578;2019-06-26;Desdobramento;50767085;50767082;101534167;304602510;304602492;609205002
00.545.378/0001-70;2020-01-01;1;95407;SERRA AZUL WATER PARK SA;23908;2017-01-01;Bonificação;29188116;0;29188116;29188116;0;29188116
00.924.429/0001-75;2020-01-01;5;102526;FERROVIA CENTRO-ATLANTICA S.A.;25240;2017-04-28;Grupamento;367645433926725;66665012;367645500591737;110293641;19;110293660
01.027.058/0001-91;2020-01-01;21;104759;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;25735;2017-04-12;Bonificação;2264012551;0;2264012551;2716815061;0;2716815061
01.083.200/0001-18;2020-01-01;12;104319;NEOENERGIA S.A.;25666;2017-10-26;Grupamento;7504760443;0;7504760443;1000000000;0;1000000000
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;25635;2017-02-20;Grupamento;378066162;0;378066162;28040162;0;28040162
01.599.101/0001-93;2020-01-01;7;99476;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;24711;2020-09-15;Grupamento;4942408361;0;4942408361;98848161;0;98848161
02.193.750/0001-52;2020-01-01;10;103382;DEXXOS PARTICIPAÇÕES S.A.;25502;2020-09-10;Desdobramento;5882782;384787;6267569;29413910;1923935;31337845
02.351.877/0001-52;2020-01-01;19;103756;LWSA S/A;25609;2021-01-26;Desdobramento;126815443;0;126815443;507261772;0;507261772
02.421.421/0001-11;2020-01-01;8;104308;TIM S.A.;25665;2020-07-02;Grupamento;42296789606;0;42296789606;422967896;0;422967896
02.429.144/0001-93;2020-01-01;9;104791;CPFL ENERGIA S.A.;25741;2016-04-29;Bonificação;993014215;0;993014215;1017914746;0;1017914746
02.474.103/0001-19;2020-01-01;12;103563;ENGIE BRASIL ENERGIA S.A.;25553;2018-12-07;Bonificação;652742192;0;652742192;815927740;0;815927740
02.591.787/0001-39;2020-01-01;4;109015;CAPITALPART PARTICIPACOES S.A.;26832;2016-04-29;Grupamento;14324371;0;14324371;143243;0;143243
02.762.115/0001-49;2020-01-01;3;103786;MASSA FALIDA DA MMX MINERACAO E METALICOS S.A.;25615;2016-04-29;Grupamento;162204573;0;162204573;6488183;0;6488183
02.998.611/0001-04;2020-01-01;11;104350;ISA ENERGIA BRASIL;25668;2019-04-04;Desdobramento;64484433;100236393;164720826;257937732;400945572;658883304
03.220.438/0001-73;2020-01-01;15;104607;EQUATORIAL S.A.;25701;2019-11-27;Desdobramento;202037217;0;202037217;1010186085;0;1010186085
03.303.999/0001-36;2020-01-01;4;100333;DTCOM - DIRECT TO COMPANY S.A.;25036;2016-05-17;Grupamento;73387560;4506559;77894119;7338756;450655;7789411
