CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Total_Remuneracao;Orgao_Administracao;Numero_Membros;Total_Remuneracao_Orgao;Numero_Membros_Remunerados;Salario;Beneficios_Diretos_Indiretos;Participacoes_Comites;Outros_Valores_Fixos;Descricao_Outros_Remuneracoes_Fixas;Bonus;Participacao_Resultados;Participacao_Reunioes;Outros_Valores_Variaveis;Comissoes;Descricao_Outros_Remuneracoes_Variaveis;Pos_emprego;Cessacao_Cargo;Baseada_Acoes;Observacao
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2020-01-01;2020-12-31;79854053.82;Diretoria Estatutária;34.00;78715529.70;34.00;24132541.81;7801429.90;0.00;8253328.98;Os valores constantes do campo "Outros" do item d.i referem-se à contribuição previdenciária patronal e à contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/Nº 2/2020, de 28/02/2020.;0.00;0.00;0.00;18756554.04;0.00;Os valores constantes do campo "Outros" do item d.i referem-se à contribuição previdenciária patronal e à contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/Nº 2/2020, de 28/02/2020.;0.00;8633578.62;11138096.35;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/Nº 2/2020.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2020-01-01;2020-12-31;79854053.82;Conselho Fiscal;5.00;434740.80;5.00;354890.40;0.00;0.00;79850.40;Os valores constantes do campo "Outros" do item d.i referem-se à contribuição previdenciária patronal e à contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/Nº 2/2020, de 28/02/2020.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/Nº 2/2020.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2020-01-01;2020-12-31;79854053.82;Conselho de Administração;8.00;703783.32;8.00;567824.64;0.00;0.00;135958.68;Os valores constantes do campo "Outros" do item d.i referem-se à contribuição previdenciária patronal e à contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/Nº 2/2020, de 28/02/2020.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/Nº 2/2020.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;70093194.03;Diretoria Estatutária;35.75;69282578.23;42.42;25246856.56;3388688.12;0.00;8560473.77;Os valores constantes do campo "Outros" do item d.i referem-se à contribuição previdenciária patronal e à contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/Nº 2/2020, de 28/02/2020.;0.00;0.00;0.00;16055741.08;0.00;Os valores constantes do campo "Outros" do item d.i referem-se à contribuição previdenciária patronal e à contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/Nº 2/2020, de 28/02/2020.;0.00;741158.21;15289660.49;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/Nº 2/2020.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;70093194.03;Conselho de Administração;7.00;384028.21;4.25;306548.08;0.00;0.00;77480.13;Os valores constantes do campo "Outros" do item d.i referem-se à contribuição previdenciária patronal e à contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/Nº 2/2020, de 28/02/2020.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/Nº 2/2020.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;70093194.03;Conselho Fiscal;3.83;426587.59;4.75;352748.43;0.00;0.00;73839.16;Os valores constantes do campo "Outros" do item d.i referem-se à contribuição previdenciária patronal e à contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/Nº 2/2020, de 28/02/2020.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/Nº 2/2020.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;77206424.25;Conselho Fiscal;5.00;461395.28;0.05;376649.35;0.00;0.00;84745.93;Os valores constantes do campo "Outros" do item d.i referem-se à contribuição previdenciária patronal e à contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/Nº 2/2020, de 28/02/2020.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/Nº 2/2020.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;77206424.25;Diretoria Estatutária;36.33;76338882.12;41.42;28186373.35;3444285.29;0.00;9821249.41;Os valores constantes do campo "Outros" do item d.i referem-se à contribuição previdenciária patronal e à contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/Nº 2/2020, de 28/02/2020.;0.00;0.00;0.00;19628688.96;0.00;Os valores constantes do campo "Outros" do item d.i referem-se à contribuição previdenciária patronal e à contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/Nº 2/2020, de 28/02/2020.;0.00;344763.05;14913522.06;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/Nº 2/2020.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;77206424.25;Conselho de Administração;7.25;406146.85;4.50;323402.30;0.00;0.00;82744.55;Os valores constantes do campo "Outros" do item d.i referem-se à contribuição previdenciária patronal e à contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/Nº 2/2020, de 28/02/2020.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/Nº 2/2020.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;58204249.30;Conselho Fiscal;4.75;384863.43;4.75;314174.43;0.00;0.00;70689.00;Os valores constantes do campo "Outros" do item d.i referem-se à contribuição previdenciária patronal e à contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB, em conformidade com o item "b" do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/Nº 2/2020, de 28/02/2020.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/Nº 2/2020.
