CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2020-01-01;1;BCO BRASIL S.A.;001023;FRE NOVO;94335;2020-06-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=94335
00.000.000/0001-91;2020-01-01;2;BCO BRASIL S.A.;001023;FRE NOVO;94415;2020-06-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=94415
00.000.000/0001-91;2020-01-01;3;BCO BRASIL S.A.;001023;FRE NOVO;94982;2020-07-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=94982
00.000.000/0001-91;2020-01-01;4;BCO BRASIL S.A.;001023;FRE NOVO;95858;2020-08-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=95858
00.000.000/0001-91;2020-01-01;5;BCO BRASIL S.A.;001023;FRE NOVO;95888;2020-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=95888
00.000.000/0001-91;2020-01-01;6;BCO BRASIL S.A.;001023;FRE NOVO;96718;2020-08-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=96718
00.000.000/0001-91;2020-01-01;7;BCO BRASIL S.A.;001023;FRE NOVO;97013;2020-09-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=97013
00.000.000/0001-91;2020-01-01;8;BCO BRASIL S.A.;001023;FRE NOVO;97225;2020-09-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=97225
00.000.000/0001-91;2020-01-01;9;BCO BRASIL S.A.;001023;FRE NOVO;97370;2020-09-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=97370
00.000.000/0001-91;2020-01-01;10;BCO BRASIL S.A.;001023;FRE NOVO;97877;2020-10-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=97877
00.000.000/0001-91;2020-01-01;11;BCO BRASIL S.A.;001023;FRE NOVO;98097;2020-11-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=98097
00.000.000/0001-91;2020-01-01;12;BCO BRASIL S.A.;001023;FRE NOVO;98507;2020-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=98507
00.000.000/0001-91;2020-01-01;13;BCO BRASIL S.A.;001023;FRE NOVO;99010;2020-12-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=99010
00.000.000/0001-91;2020-01-01;14;BCO BRASIL S.A.;001023;FRE NOVO;99290;2020-12-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=99290
00.000.000/0001-91;2020-01-01;15;BCO BRASIL S.A.;001023;FRE NOVO;99505;2021-01-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=99505
00.000.000/0001-91;2020-01-01;16;BCO BRASIL S.A.;001023;FRE NOVO;99520;2021-01-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=99520
00.000.000/0001-91;2020-01-01;17;BCO BRASIL S.A.;001023;FRE NOVO;99686;2021-01-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=99686
00.000.000/0001-91;2020-01-01;18;BCO BRASIL S.A.;001023;FRE NOVO;99843;2021-02-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=99843
00.000.000/0001-91;2020-01-01;19;BCO BRASIL S.A.;001023;FRE NOVO;100176;2021-02-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=100176
00.000.000/0001-91;2020-01-01;20;BCO BRASIL S.A.;001023;FRE NOVO;100342;2021-02-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=100342
00.000.000/0001-91;2020-01-01;21;BCO BRASIL S.A.;001023;FRE NOVO;102318;2021-03-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=102318
