CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Numero_Membros;Numero_Membros_Remunerados;Valor_Maior_Remuneracao;Valor_Menor_Remuneracao;Valor_Medio_Remuneracao;Observacao
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;Conselho de Administração;7.08;4.92;82398.66;82398.66;80903.19;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 398.043,70 por 4,92, para o Conselho Fiscal é a razão de R$ 384.863,43 por 4,75 e da Diretoria Executiva é a razão de R$ 57.421.342,17 por 45,75. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;Conselho Fiscal;4.75;4.75;82398.66;82398.66;81023.88;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 398.043,70 por 4,92, para o Conselho Fiscal é a razão de R$ 384.863,43 por 4,75 e da Diretoria Executiva é a razão de R$ 57.421.342,17 por 45,75. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2017-01-01;2017-12-31;Diretoria Estatutária;36.75;45.75;1761973.10;1090072.24;1255111.30;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 398.043,70 por 4,92, para o Conselho Fiscal é a razão de R$ 384.863,43 por 4,75 e da Diretoria Executiva é a razão de R$ 57.421.342,17 por 45,75. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;Conselho de Administração;7.25;4.50;101929.44;91778.31;90254.86;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 406.146,85 por 4,50, para o Conselho Fiscal é a razão de R$ 461.395,28 por 5,00 e da Diretoria Executiva é a razão de R$ 76.338.882,12 por 41,42. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;Diretoria Estatutária;36.33;41.42;2344657.26;1454413.09;1843043.99;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 406.146,85 por 4,50, para o Conselho Fiscal é a razão de R$ 461.395,28 por 5,00 e da Diretoria Executiva é a razão de R$ 76.338.882,12 por 41,42. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2018-01-01;2018-12-31;Conselho Fiscal;5.00;5.00;92448.32;91927.80;92279.06;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 406.146,85 por 4,50, para o Conselho Fiscal é a razão de R$ 461.395,28 por 5,00 e da Diretoria Executiva é a razão de R$ 76.338.882,12 por 41,42. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;Conselho Fiscal;3.83;4.75;87443.52;87443.52;89807.91;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 384.028,21 por 4,25, para o Conselho Fiscal é a razão de R$ 426.587,59 por 4,75 e da Diretoria Executiva é a razão de R$ 69.282.578,23 por 42,42. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;Diretoria Estatutária;35.75;42.42;1810828.37;1311325.93;1633252.67;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 384.028,21 por 4,25, para o Conselho Fiscal é a razão de R$ 426.587,59 por 4,75 e da Diretoria Executiva é a razão de R$ 69.282.578,23 por 42,42. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;2019-01-01;2019-12-31;Conselho de Administração;7.00;4.25;65230.23;30119.43;90359.58;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 384.028,21 por 4,25, para o Conselho Fiscal é a razão de R$ 426.587,59 por 4,75 e da Diretoria Executiva é a razão de R$ 69.282.578,23 por 42,42. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;Conselho de Administração;7.00;7.00;8750.71;8750.71;8750.71;
