CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Politica;Cargo_Pessoa_Vinculada
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;42014;Estão sujeitas à Política de Negociação com Valores Mobiliários: o acionista controlador, os membros do Conselho de Administração, Conselho Diretor, Diretoria Executiva, Comitês vinculados ao Conselho de Administração e Conselho Fiscal, do Auditor Geral, do Ouvidor Geral, além de todas as pessoas a eles vinculadas, conforme descrito no item 20.2.
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;41803;Acionista Controlador Integrantes do Conselho de Administração do BRB e Integrantes do Conselho de Administração de suas Controladas e/ou Coligadas Integrantes da Diretoria do BRB e Integrantes da Diretoria de suas Controladas e /ou Coligadas Integrantes do Comitê de Auditoria do BRB e Integrantes do Comitê de Auditoria de suas controladas e/ou Coligadas Integrantes do Conselho Fiscal do BRB e Integrantes do Conselho Fiscal de suas Controladas e/ou Coligadas Integrantes do Comitê de Remuneração do BRB e Integrantes do Comitê de Remuneração de suas Controladas e/ ou Coligadas Empregados do BRB e Empregados de suas Controladas e/ou Coligadas Pessoas que por qualquer razão tenham conhecimento de informação referente a ato ou fato relevante, em especial aqueles que teham relação comercial, profissional ou de confiança, tais como auditores independentes, analistas de valores mobiliários, advogados, consultores, assessores, peritos e estagiários de suas Controladas e/ou Coligadas.
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;42030;(i) Acionistas controladores diretos e indiretos (ii)Administradores da Eletrobras e de suas controladas (iii) Conselheiros Fiscais da Eletrobras e de suas controladas (iv)Membros de quaisquer órgãos com funções técnicas ou consultivas da empresa, criados ou que venham a ser criados por disposição estatutária da Eletrobras e de suas controladas (v) Empregados, e assistentes da Eletrobras ou controladas que tenham acesso ou conhecimento de informações privilegiadas (vi) Ex-administradores da Eletrobras e de suas controladas durante o período em que detiverem quaisquer informações privilegiadas ou nas demais hipóteses previstas nesta Política, (vii) Quem quer que, em virtude de seu cargo, função ou posição na Eletrobras, nos acionistas controladores, nas suas sociedades controladas ou nas sociedades coligadas, tenha conhecimento sobre informação privilegiada (viii) Contatos comerciais da Eletrobras e de suas controladas, seus respectivos empregados e representantes.
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;41822;Acionistas controladores, conselheiros, diretores e gestores
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;41445;A Política de Divulgação de Atos e Fatos Relevantes e Negociação de Valores Mobiliários aplica-se a toda a Telebras e especificamente ao acionista controlador, membros do Conselho de Administração, da Diretoria Executiva, do Conselho Fiscal, empregados com acesso a informação relevante e Consultores.
00.359.742/0001-08;2020-01-01;5;102800;FICTOR ALIMENTOS S.A.;41254;Acionistas Controladores, diretores, membros do conselho de administração, Conselheiros Fiscais e membros de quaisquer outros órgãos com funções técnicas ou consultivas criados por disposição estatutária, pelas Controladas e Coligadas da Companhia, e por quem quer que, em virtude de seu cargo, função ou posição no Controlador, nas Controladas ou nas Coligadas da Companhia, tenha ou possa vir a ter acesso a Informação Relevante. As demais pessoas expressamente indicadas pelo Diretor de Relações com Investidores (DRI), a seu exclusivo critério, incluindo empregados, traders que utilizam mesa proprietária, demais colaboradores e outros acionistas da Companhia e/ou de suas Controladas ou Coligadas, que tenham ou possam vir a ter acesso a Informação Relevante.
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;41706;Diretores, membros do Conselho de Administração, do Conselho Fiscal (caso instalado), e de quaisquer órgãos com funções técnicas ou consultivas criados por disposição estatutária, bem como seus cônjuges não separados judicialmente, companheiro ou dependente incluído na declaração anual de imposto de renda, e sociedades por elas controladas, direta ou indiretamente, nos termos do artigo 11 da Instrução da Comissão de Valores Mobiliários ("CVM") nº 358, de 03 de janeiro de 2002 ("Instrução CVM 358" e "Pessoas Vinculadas", respectivamente), e pelo Banco Inter S.A. ("Banco").
00.545.378/0001-70;2020-01-01;1;95407;SERRA AZUL WATER PARK SA;38755;Conselheiros
00.622.416/0001-41;2020-01-01;7;103465;STATKRAFT ENERGIAS RENOVAVEIS S.A.;41625;Conjunto de pessoas composto por: (i) administradores, acionistas controladores, diretos ou indiretos, diretores, conselheiros e membros do Conselho Fiscal (quando instalado) (ii) Funcionários, Empregados e Executivos com acesso a Informação Relevante (iii) membros de quaisquer órgãos com funções técnicas ou consultivas atualmente previstos, ou que vierem a ser previstos no Estatuto Social da Statkraft e, ainda, (iii) quem quer que, em virtude de seu cargo, função ou posição na Controladora, nas Sociedades Controladas e nas Sociedades Coligadas, tenha conhecimento de informação relativa a Ato ou Fato Relevante sobre a Companhia
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;39004;A Política de Negociação alcança, para fins de expressa adesão: (i) Acionistas Controladores (ii) Administradores (iii) Membros do conselho fiscal e de quaisquer órgãos com funções técnicas ou consultivas que venham a ser criados por disposição estatutária (iv) Ex-Administradores e (v) Empregados e Executivos que o Diretor de Relações com Investidores da Companhia indicar, a seu exclusivo critério, como "Pessoas Sujeitas" à Restrição para Negociação, conforme listagem divulgada de tempos em tempos. As obrigações previstas na Política de Negociação são igualmente aplicáveis às pessoas listadas no parágrafo anterior integrantes das: (a) sociedades controladoras da Companhia, diretas ou indiretas, que tenham ou venham a ter tal qualidade nos termos da Lei das Sociedades por Ações e (b) sociedades controladas da Companhia, diretas ou indiretas, que tenham ou venham a ter tal qualidade nos termos da Lei das Sociedades por Ações.
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;41796;Acionistas Controladores
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;41796;Administradores
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;41796;Conselheiros Fiscais
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;41796;Integrantes dos demais Órgãos com Funções Técnicas ou consultivas da Companhia
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;41796;Empregados e Executivos com acesso a Informação Relevante
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;41607;(vi) Colaboradores da Companhia que, em virtude de seu cargo, função ou posição na Companhia tenham acesso a Informações Relevantes, inclusive consultores e prestadores de serviços.
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;41607;(v) Membros de quaisquer órgãos com funções técnicas ou consultivas, criados por disposição estatutária
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;41607;(iv) Membros do Conselho Fiscal
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;41607;(iii) Membros do Conselho de Administração
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;41607;(ii) Diretores
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;41607;(i) Acionistas Controladores
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;41607;(viii) cônjuges, companheiros e dependentes arrolados na declaração anual de imposto de renda de quaisquer das pessoas mencionadas nesta definição.
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;41607;vii) quem quer que, em virtude de seu cargo, função ou posição em qualquer dos Acionistas Controladores, nas Sociedades Controladas e nas Sociedades Coligadas, tenha acesso ou conhecimento de Informações Relevantes
01.027.058/0001-91;2020-01-01;21;104759;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;42026;A Política de Divulgação de Ato ou Fato Relevante e Negociação de Valores Mobiliários aplica-se a (i) Pessoas Vinculadas: Pessoas indicadas no artigo 13 da Instrução CVM 358, inclusive a Companhia, os Acionistas Controladores, Administradores, Conselheiros Fiscais, Funcionários com acesso a informação privilegiada ou, ainda, membros de quaisquer órgãos da Companhia com funções técnicas ou consultivas, criados por disposição estatutária, e, ainda, qualquer pessoa que, em virtude de seu cargo, função ou posição nos Acionistas Controladores ou nas Sociedades Controladas e que tenha firmado o Termo de Adesão, possa ter conhecimento de informação privilegiada sobre a Companhia
01.027.058/0001-91;2020-01-01;21;104759;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;42026;e (ii) Pessoas Ligadas: Pessoas que mantenham com os Acionistas Controladores, Administradores e Conselheiros Fiscais da Companhia, os seguintes vínculos: cônjuge, de quem não esteja separado judicialmente companheiro qualquer dependente incluído na declaração anual do imposto de renda da pessoa física e sociedades direta ou indiretamente controladas pelos Administradores, pelos Acionistas Controladores, Conselheiros Fiscais ou pelos cônjuges e dependentes citados acima.
01.083.200/0001-18;2020-01-01;12;104319;NEOENERGIA S.A.;41892;Os acionistas controladores e pessoas por eles indicadas que acessem informações de uso da Companhia, bem como os membros do Conselho de Administração, do Conselho Fiscal e da Diretoria, bem como de quaisquer órgãos com funções técnicas ou consultivas criados por disposição estatutária, gerentes e funcionários da Companhia, suas controladas e afiliadas que tenham acesso privilegiado, permanente ou eventual, a Informações Relevantes e outros que a Companhia considere necessário e/ou conveniente ("Pessoas Vinculadas").
01.104.937/0001-70;2020-01-01;4;103315;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;41545;(i) Acionistas controladores diretos e indiretos (ii) Administradores da Eletrobras e de suas controladas (iii) Conselheiros Fiscais da Eletrobras e de suas controladas (iv) Membros de quaisquer órgãos com funções técnicas ou consultivas da empresa, criados ou que venham a ser criados por disposição estatutária da Eletrobras e de suas controladas (v) Empregados, e assistentes da Eletrobras ou controladas que tenham acesso ou conhecimento de informações privilegiadas (vi) Ex-administradores da Eletrobras e de suas controladas durante o período em que detiverem quaisquer informações privilegiadas ou nas demais hipóteses previstas nesta Política, (vii) Quem quer que, em virtude de seu cargo, função ou posição na Eletrobras, nos acionistas controladores, nas suas sociedades controladas ou nas sociedades coligadas, tenha conhecimento sobre informação privilegiada (viii) Contatos comerciais da Eletrobras e de suas controladas, seus respectivos empregados e representantes.
01.107.327/0001-20;2020-01-01;8;103436;BBM LOGÍSTICA S.A.;41613;De acordo com a Política de Negociação da Companhia ("Política"), pessoas vinculadas são aquelas indicadas no artigo 13 da Instrução CVM nº 358/2002, inclusive a Companhia, os Acionistas Controladores (conforme definido na Política), diretos ou indiretos membros do conselho de administração diretores membros do conselho fiscal membros dos comitês ou de quaisquer órgãos com funções técnicas e consultivas, criados por disposição estatutária empregados da Companhia que, em virtude de seu cargo, função ou posição, ou circunstancialmente, tenham acesso a Informações Relevantes (conforme definido na Política) quem quer que, em virtude de seu cargo, função ou posição nos Acionistas Controladores, nas Sociedades Controladas (conforme definido na Política) e nas Sociedades Coligadas (conforme definido na Política), tenha aderido à Política de Negociação e tenha acesso permanente ou eventual a Informações Relevantes e tenham aderido à Política de Negociação.
01.319.044/0001-41;2020-01-01;1;95401;WTC AMAZONAS SUITE HOTEL S.A.;38751;DIRETOR DE RELAÇÕES COM INVESTIDORES
