CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
30.219.233/0001-40;2020-01-01;1;95504;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-REBEL;0;2;0;0;0.000000;0;0.000000;0;0.000000;2018-04-04
30.306.294/0001-45;2020-01-01;17;103140;BCO BTG PACTUAL S.A.;70579;2255;693;263605732;14.770000;527319195;52.110000;790924927;28.280000;2020-08-26
30.418.658/0001-89;2020-01-01;1;95530;COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-NEXOOS;0;2;0;0;0.000000;0;0.000000;0;0.000000;2018-04-05
30.540.991/0001-66;2020-01-01;3;94650;HAGA S.A. INDUSTRIA E COMERCIO;3096;23;0;1081936;27.275695;7931437;99.976100;9013373;75.742630;2020-06-15
30.545.324/0001-76;2020-01-01;2;97908;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-RECARG;0;2;0;0;0.000000;0;0.000000;0;0.000000;2020-07-13
30.702.767/0001-23;2020-01-01;1;93393;RHC SECURITIZADORA DE CRÉDITOS S/A;2;0;0;0;0.000000;0;0.000000;0;0.000000;2018-01-02
30.788.149/0001-48;2020-01-01;1;93276;GUARDIAN COMPANHIA SECURITIZADORA;3;0;0;0;0.000000;0;0.000000;0;0.000000;2020-04-30
31.001.230/0001-07;2020-01-01;1;95287;CELEO REDES TRANSMISSÃO DE ENERGIA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2018-12-26
31.468.139/0001-98;2020-01-01;1;95084;CASA DE PEDRA SECURITIZADORA DE CREDITO S/A;1;1;0;0;0.000000;0;0.000000;0;0.000000;2020-06-04
31.553.627/0001-01;2020-01-01;6;103536;GRUPO TOKY S.A.;4296;126;45;44444445;41.740000;0;0.000000;44444445;41.740000;2021-03-01
31.594.055/0001-09;2020-01-01;1;94062;CONTAGEM SECURITIZADORA DE CRÉDITOS S.A.;1;1;0;0;0.000000;0;0.000000;0;0.000000;2018-09-12
31.907.982/0001-23;2020-01-01;1;93840;FILADÉLFIA SECURITIZADORA S/A;2;0;0;0;0.000000;0;0.000000;0;0.000000;2020-06-02
32.161.500/0001-00;2020-01-01;3;102908;CONCESSIONÁRIA DAS RODOVIAS INTEGRADAS DO SUL S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2020-04-23
32.372.085/0001-25;2020-01-01;2;98512;COBUCCIO SECURITIZADORA DE CRÉDITOS S.A.;2;0;0;0;0.000000;0;0.000000;0;0.000000;2018-11-14
32.681.371/0001-72;2020-01-01;6;103460;VIX LOGÍSTICA S.A.;1;2;1;0;0.000000;0;0.000000;0;0.000000;2019-04-30
32.770.457/0001-71;2020-01-01;2;95301;CIA. SECURITIZADORA DE CREDITOS FINANCEIROS VERT-GYRA;0;2;0;0;0.000000;0;0.000000;0;0.000000;2019-01-29
32.785.497/0001-97;2020-01-01;11;121233;NATURA &CO HOLDING S.A.;43620;318;1468;842192420;61.177000;0;0.000000;842192420;61.177000;2020-08-27
33.000.167/0001-01;2020-01-01;19;104904;PETROLEO BRASILEIRO S.A. PETROBRAS;760785;7212;2712;3684060179;49.500000;4566457037;81.514000;8250517216;63.249000;2020-07-22
33.014.556/0001-96;2020-01-01;18;103797;LOJAS AMERICANAS S.A.;115723;2012;988;245496329;37.235289;843105077;68.768946;1088601406;57.741311;2021-04-30
33.035.536/0001-00;2020-01-01;2;104191;JOAO FORTES ENGENHARIA S.A. - EM RECUPERAÇÃO JUDICIAL;4365;33;2;6557469;6.233100;0;0.000000;6557469;6.233100;2020-07-03
