CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Descricao_Bem_Ativo;Pais;UF;Municipio;Tipo_Propriedade
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Complexo São João;Brasil;SP;São Paulo;Alugada
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Ed. Cacex;Brasil;SP;São Paulo;Alugada
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Ed. Ansarah;Brasil;SP;São Paulo;Alugada
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Ed. BB DF;Brasil;DF;Brasília;Alugada
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Ed. Sede III;Brasil;DF;Brasília;Alugada
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Ed. Datacenter;Brasil;DF;Brasília;Própria
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;ICI BB;Brasil;DF;Brasília;Própria
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Ed. Sede IV;Brasil;DF;Brasília;Própria
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Ed. CARJ;Brasil;RJ;Rio de Janeiro;Alugada
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Ed. Sedan;Brasil;RJ;Rio de Janeiro;Própria
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Ed. BB SP;Brasil;SP;São Paulo;Alugada
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Verbo Divino;Brasil;SP;São Paulo;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Imóvel na Av. Presidente Vargas, nº 409, 15º e 17º andares, Edifício Herm Stolz;Brasil;RJ;Rio de Janeiro;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Terreno na Rodovia BR 101, Km 168;Brasil;RJ;Macaé;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Terreno e Edificação nos lotes 3, 4, 5, 6 e 7 da Q 59 A;Brasil;PR;Guairaçá;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Terrenos localizados na Rua dos Arcos, lotes 1 e 2;Brasil;RJ;Rio de Janeiro;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Imóvel na Av. Presidente Vargas - Edifício Corfa- 7º andar;Brasil;RJ;Rio de Janeiro;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Amazonas GT - UHE Balbina;Brasil;AM;Presidente Figueiredo;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Amazonas GT - UTE Mauá 3;Brasil;AM;Manaus;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;CGTEE - Usina Termelétrica - Candiota III;Brasil;RS;Candiota;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Casa Nova II;Brasil;BA;Casa Nova;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Casa Nova III;Brasil;BA;Casa Nova;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - Usina Hidrelétrica - Tucuruí;Brasil;PA;Tucuruí;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - Usina Hidrelétrica - Samuel;Brasil;RO;Candeias do Jamari;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - Usina Termelétrica - Senador Arnon Afonso Farias de Mello;Brasil;RR;;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronuclear - Usina Nuclear - Angra 1;Brasil;RJ;Angra dos Reis;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronuclear - Usina Nuclear - Angra 2;Brasil;RJ;Angra dos Reis;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronuclear - Usina Nuclear - Angra 3;Brasil;RJ;Angra dos Reis;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletrosul - Usina Hidrelétrica - Governador Jayme Canet Júnior;Brasil;PR;Telêmaco Borba;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletrosul - Usina Eólica - Cerro Chato I, II e III;Brasil;RS;Sant Ana do Livramento;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletrosul - Usina Hidrelétrica - Passo São João;Brasil;RS;Dezesseis de Novembro;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletrosul - Usina Hidrelétrica - São Domingos;Brasil;MS;Ribas do Rio Pardo;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletrosul - Usina Hidrelétrica - Jirau (SPE);Brasil;RO;;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - UHE Furnas;Brasil;MG;São João Batista do Glória;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - UHE Luiz Carlos Barreto de Carvalho (Estreito);Brasil;SP;Pedregulho;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - UHE Marimbondo;Brasil;MG;Fronteira;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - UHE Itumbiara;Brasil;GO;Itumbiara;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - Usina Hidrelétrica - Peixe Angical (SPE);Brasil;TO;Peixe;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - Usina Hidrelétrica - Foz do Chapecó (SPE);Brasil;SC;Águas de Chapecó;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - Usina Hidrelétrica - Santo Antônio (SPE);Brasil;RO;Porto Velho;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - Usina Hidrelétrica São Manoel (SPE);Brasil;MT;Paranaíta;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - Usina Hidrelétrica Teles Pires (SPE);Brasil;MT;Paranaíta;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - Usina Hidrelétrica - Três Irmãos (SPE);Brasil;SP;Pereira Barreto;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - Usina Termelétrica - Campos;Brasil;RJ;Campos dos Goytacazes;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - Usina Termelétrica - Santa Cruz;Brasil;RJ;Pirenópolis;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - UHE - Serra da Mesa;Brasil;GO;Minaçu;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Hidrelétrica - Complexo Paulo Afonso e Apolônio Sales;Brasil;BA;Paulo Afonso;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Hidrelétrica - Sobradinho;Brasil;BA;Sobradinho;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Hidrelétrica - Luiz Gonzaga (Itaparica);Brasil;PE;Petrolândia;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Hidrelétrica - Boa Esperança (antiga Castelo Branco);Brasil;PI;Guadalupe;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Hidrelétrica - Xingó;Brasil;AL;Piranhas;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Usina Hidrelétrica - Belo Monte (SPE);Brasil;PA;Vitória do Xingu;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Usina Hidrelétrica - Sinop (SPE);Brasil;MT;Itaúba;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Usinas Eólicas - Caiçara I e II, Junco I e II (SPE);Brasil;RN;Serra do Mel;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Usinas Eólicas - Chuí I a V, e Minuano I e II (SPE);Brasil;RS;Chuí;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Usinas Eólicas - Geribatu I a X (SPE);Brasil;RS;Santa Vitória do Palmar;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Usinas Eólicas - Santa Joana I, Santa Joana III, Santa Joana IV, Santa Joana V,;Brasil;PI;Bofete;Própria
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Usinas Eólicas - Santa Joana IX, X, XI, XII, XIII, XV e XVI - (SPE);Brasil;PI;Bofete;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;425476 - TERRENO/AGÊNCIA DE SOBRADINHO;Brasil;DF;;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;425479 - TERRENO/SUBESTAÇÃO BRASÍLIA CENTRO;Brasil;DF;Brasília;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;425481 - TERRENO/SUBESTAÇÃO DE CEILÂNDIA SUL;Brasil;DF;;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;425482 - TERRENO/SETOR INDUSTRIAL GAMA (QI 03);Brasil;DF;;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;425483 - TERRENO/SUBESTAÇÃO LAGO SUL;Brasil;DF;;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;425484 - TERRENO/AGÊNCIA DO LAGO SUL;Brasil;DF;;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;425485 - TERRENO/SUBESTAÇÃO DA SGAN 901;Brasil;DF;Brasília;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;425487 - TERRENO/SRIA QE 20 LOTE M (PR 36/1);Brasil;DF;;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;425488 - TERRENO/SUBESTAÇÃO DO GAMA;Brasil;DF;;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;425490 - TERRENO/SUBESTAÇÃO DO CRUZEIRO VELHO (SRE/SUL);Brasil;DF;;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;425500 - TERRENO/SUBESTAÇÃO BRASÍLIA NORTE;Brasil;DF;Brasília;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;425509 - TERRENO/SUBESTAÇÃO DE TAGUATINGA (ÁREA ESPECIAL 23);Brasil;DF;Conchal;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;TERRENO/SETOR ADMINISTRATIVO OESTE - SDO (QI 10 LOTES 25 A 38);Brasil;DF;Conchal;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;TERRENO/AGÊNCIA DA SAMAMBAIA (QN 406 CONJ. F LOTE 01);Brasil;DF;Afonso Bezerra;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Terreno/Edifício - Área SIA - Almoxarifado (18,28%) (29.325 m²);Brasil;DF;Brasília;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Terreno - SHD Lote "B" (260 m²);Brasil;DF;;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Terreno - Área 01 Quadra 01 Praça 64/1 (2.400 m²);Brasil;DF;;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Terreno - Área Especial Lote "H" - Setor Norte (1750 m²);Brasil;DF;;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Terreno - Área Especial Lote "G" - Setor Norte (1.750m²);Brasil;DF;;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;425335 - TERRENO/SETOR ADMINISTRATIVO LESTE (SDL);Brasil;DF;;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;425340 - TERRENO/SUBESTAÇÃO SIG (QUADRA 03);Brasil;DF;Brasília;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;425332 - TERRENO/SUBESTAÇÃO ESPLANADA (VIA N2);Brasil;DF;Brasília;Própria
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;425354 - TERRENO/SUBESTAÇÃO DE TAGUATINGA (SAIS/EPCT);Brasil;DF;Conchal;Própria
