CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Nome_Responsavel;Cargo_Responsavel
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Rubem de Freitas Novaes;Diretor Presidente
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Carlos Hamilton Vasconcelos Araújo;Diretor de Relações com Investidores
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;Paulo Henrique Bezerra Rodrigues Costa;Diretor Presidente
00.000.208/0001-00;2020-01-01;14;103809;BRB BANCO DE BRASILIA S.A.;Hugo Andreolly Albuquerque Costa Santos;Diretor de Relações com Investidores
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Elvira Baracuhy Cavalcanti Presta;Diretor de Relações com Investidores
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Rodrigo Limp Nascimento;Diretor Presidente
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Joel Antonio de Araújo;Diretor de Relações com Investidores
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Jaimes Bento de Almeida Neto;Diretor de Relações com Investidores
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Jaimes Bento de Almeida Junior;Diretor Presidente
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;José Guilherme Cruz Souza;Diretor de Relações com Investidores
00.272.185/0001-93;2020-01-01;3;103184;CIMS S.A.;Bruno Augusto Sacchi Zaremba;Diretor Presidente
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;Waldemar Gonçalves Ortunho Junior;Diretor Presidente
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;Rodrigo Martins Prates;Diretor de Relações com Investidores
00.359.742/0001-08;2020-01-01;5;102800;FICTOR ALIMENTOS S.A.;ANA CAROLINA PAIFER;Diretor Presidente
00.359.742/0001-08;2020-01-01;5;102800;FICTOR ALIMENTOS S.A.;GUILHERME HENRIQUE CUNHA;Diretor de Relações com Investidores
00.383.281/0001-09;2020-01-01;8;100769;BNDES PARTICIPACOES S.A. - BNDESPAR;Gustavo Henrique Moreira Montezano;Diretor Presidente
00.383.281/0001-09;2020-01-01;8;100769;BNDES PARTICIPACOES S.A. - BNDESPAR;Bruno Laskowsky;Diretor de Relações com Investidores
00.389.481/0001-79;2020-01-01;2;99896;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Luiz Lopes Mendonça Filho;Diretor Presidente/Relações com Investidores
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;João Vitor Nazareth Menin Teixeira de Souza;Diretor Presidente
00.416.968/0001-01;2020-01-01;19;103618;BANCO INTER S.A.;Helena Lopes Caldeira;Diretor de Relações com Investidores
00.545.378/0001-70;2020-01-01;1;95407;SERRA AZUL WATER PARK SA;Alain Jean Pierre Baldacci;Diretor Presidente/Relações com Investidores
00.622.416/0001-41;2020-01-01;7;103465;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Leoze Lobo Maia Junior;Diretor de Relações com Investidores
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;Luiz Otavio Assis Henriques;Diretor Presidente/Relações com Investidores
00.743.065/0001-27;2020-01-01;6;103464;LITEL PARTICIPACOES S.A.;Carlos Eduardo Reich de Sampaio;Diretor Presidente/Relações com Investidores
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Marcio Cruz Meirelles;Diretor Presidente
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Fabio da Silva Abrate;Diretor de Relações com Investidores
00.861.626/0001-92;2020-01-01;2;97442;CONC RODOVIA PRES. DUTRA S.A.;Carla Henriques Silva Fornasaro;Diretor Presidente/Relações com Investidores
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;Maurício Perez Botelho;Diretor de Relações com Investidores
