CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Identificacao_Valor_Mobiliario;Pais_Negociacao;Mercado;Administradora;Data_Emissao;Data_Inicio_Listagem;Percentual;Descricao_Segmento;Descricao_Proporcao_Certificado;Descricao_Banco_Depositario;Descricao_Instituicao_Custodiante
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Letras Financeiras;ADR - BDORY;Estados Unidos;Secundário;SEC - Securities and Exchange Commission;2009-11-10;2009-12-02;1.170000;Segmento de Balcão;1:1 (1 ADR pra cada Ação Ordinária);The Bank of New York Mellon;Banco do Brasil S.A.
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Letras Financeiras;Bônus Perpétuo 2009;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2009-10-20;2009-10-20;0.000000;Euro MTF;;;Deutsche Bank Trust Company Americas
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Letras Financeiras;Bônus Perpétuo 2012;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2012-01-20;2012-01-20;0.000000;Euro MTF;;;Bank of New York Mellon
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Letras Financeiras;Bônus Perpétuo 2012(Reabertura);Luxemburgo;Bônus Perpétuo 2012 (Reabertura);The Luxembourg Stock Exchange;2012-03-05;2012-03-05;0.000000;Euro MTF;;;Bank of New York Mellon
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Letras Financeiras;Bônus Perpétuo 2013;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2013-01-31;2013-01-31;0.000000;Euro MTF;;;Bank of New York Mellon
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Letras Financeiras;Dívida Sênior;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2012-10-10;2012-10-10;0.000000;Euro MTF;;;The Bank of New York Mellon
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Letras Financeiras;Dívida Subordinada Nível 2;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2010-10-05;2010-10-05;0.000000;Euro MTF;;;Deutsche Bank Trust Company Americas
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Letras Financeiras;Dívida Subordinada Nível 2;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2011-05-26;2011-05-26;0.000000;Euro MTF;;;The Bank of New York Mellon
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Letras Financeiras;Dívida Subordinada Nível 2;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2012-06-19;2012-06-19;0.000000;Euro MTF;;;The Bank of New York Mellon
00.000.000/0001-91;2020-01-01;28;104726;BCO BRASIL S.A.;Letras Financeiras;GMTN - Série 16;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2010-01-22;2010-01-22;0.000000;Euro MTF;;;The Law Debenture Trust Corporation PLC
