CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Sigla_Classe_Acoes_Preferenciais;Classe_Acoes_Preferenciais;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;PNA;Preferencial Classe A;146920;100.000000
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;PNB;Preferencial Classe B;242977127;86.796000
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;PNA;Preferencial Classe A;1313002;100.000000
00.070.698/0001-11;2020-01-01;7;103845;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;PNB;Preferencial Classe B;1059678;17.902376
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;PNA;Preferencial Classe A;0;0.000000
00.336.701/0001-04;2020-01-01;12;103080;TELEC BRASILEIRAS S.A. TELEBRAS;PNA;Preferencial Classe A;2166474;11.770000
00.359.742/0001-08;2020-01-01;5;102800;FICTOR ALIMENTOS S.A.;PNA;Preferencial Classe A;0;0.000000
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;PNA;Preferencial Classe A;16288514;4.240000
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;PNB;Preferencial Classe B;5156240;1.340000
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;PNC;Preferencial Classe C;107199382;27.900000
00.644.907/0001-93;2020-01-01;3;96239;INVESTCO S.A.;PNR;Preferencial Classe R;255559826;66.520000
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;PNA;Preferencial Classe A;0;0.000000
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;PNA;Preferencial Classe A;37680;100.000000
01.083.200/0001-18;2020-01-01;12;104319;NEOENERGIA S.A.;PNA;Preferencial Classe A;0;0.000000
01.104.937/0001-70;2020-01-01;4;103315;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;PNA;Preferencial Classe A;0;0.000000
01.258.944/0001-26;2020-01-01;1;95596;RUMO MALHA SUL S.A.;PNA;Preferencial Classe A;0;0.000000
01.417.222/0001-77;2020-01-01;9;103383;MRS LOGISTICA S.A.;PNA;Preferencial Classe A;1055737;1.286289
01.417.222/0001-77;2020-01-01;9;103383;MRS LOGISTICA S.A.;PNB;Preferencial Classe B;895635;1.286996
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;PNA;Preferencial Classe A;0;0.000000
01.851.771/0001-55;2020-01-01;3;103345;524 PARTICIPACOES S.A.;PNA;Preferencial Classe A;0;0.000000
01.938.783/0001-11;2020-01-01;6;104796;CIA PARTICIPACOES ALIANCA DA BAHIA;PNA;Preferencial Classe A;0;0.000000
02.016.440/0001-62;2020-01-01;6;104683;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;PNA;Preferencial Classe A;0;0.000000
02.062.747/0001-08;2020-01-01;3;103348;SUDESTE S.A.;PNA;Preferencial Classe A;0;0.000000
02.105.040/0001-23;2020-01-01;4;97590;VIRGO II COMPANHIA DE SECURITIZACAO;PNA;Preferencial Classe A;246;0.590651
02.162.616/0001-94;2020-01-01;3;103473;UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO;PNA;Preferencial Classe A;0;0.000000
02.201.787/0001-85;2020-01-01;1;95220;CEL PARTICIPAÇÕES S.A. - CELPAR;PNA;Preferencial Classe A;20;0.000000
02.201.787/0001-85;2020-01-01;1;95220;CEL PARTICIPAÇÕES S.A. - CELPAR;PNB;Preferencial Classe B;10;0.000000
02.217.319/0001-07;2020-01-01;3;102928;YBYRÁ CAPITAL S.A.;PNA;Preferencial Classe A;0;0.000000
02.281.836/0001-37;2020-01-01;2;94223;TRANSNORDESTINA LOGISTICA SA;PNA;Preferencial Classe A;18686075;0.000000
02.281.836/0001-37;2020-01-01;2;94223;TRANSNORDESTINA LOGISTICA SA;PNB;Preferencial Classe B;7413673;100.000000
02.351.144/0001-18;2020-01-01;12;103493;TEGMA GESTAO LOGISTICA S.A.;PNA;Preferencial Classe A;0;0.000000
02.382.073/0001-10;2020-01-01;6;100810;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;PNA;Preferencial Classe A;0;0.000000
02.451.848/0001-62;2020-01-01;2;102860;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;PNA;Preferencial Classe A;0;0.000000
02.502.844/0001-66;2020-01-01;5;103840;RUMO MALHA PAULISTA S.A.;PNA;Preferencial Classe A;0;0.000000
02.509.491/0001-26;2020-01-01;6;104663;CONC ECOVIAS IMIGRANTES S.A.;PNA;Preferencial Classe A;0;0.000000
02.591.787/0001-39;2020-01-01;4;109015;CAPITALPART PARTICIPACOES S.A.;PNA;Preferencial Classe A;0;0.000000
02.682.287/0001-02;2020-01-01;1;93837;PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;PNA;Preferencial Classe A;0;0.000000
02.724.983/0001-34;2020-01-01;5;102639;SANESALTO SANEAMENTO S.A.;PNA;Preferencial Classe A;0;0.000000
02.762.113/0001-50;2020-01-01;1;93855;BRAZILIAN FINANCE E REAL ESTATE S.A.;PNA;Preferencial Classe A;0;0.000000
02.762.113/0001-50;2020-01-01;1;93855;BRAZILIAN FINANCE E REAL ESTATE S.A.;PNB;Preferencial Classe B;0;0.000000
02.773.542/0001-22;2020-01-01;7;102904;OPEA SECURITIZADORA S.A.;PNA;Preferencial Classe A;0;0.000000
02.796.775/0001-40;2020-01-01;2;95819;GAMA PARTICIPACOES S.A.;PNA;Preferencial Classe A;0;0.000000
02.950.811/0001-89;2020-01-01;6;102203;PDG REALTY S.A. EMPREEND E PARTICIPACOES;PNA;Preferencial Classe A;0;0.000000
02.992.449/0001-09;2020-01-01;3;103350;PROMPT PARTICIPACOES S.A.;PNA;Preferencial Classe A;0;0.000000
02.998.611/0001-04;2020-01-01;11;104350;ISA ENERGIA BRASIL;PNA;Preferencial Classe A;0;0.000000
03.303.999/0001-36;2020-01-01;4;100333;DTCOM - DIRECT TO COMPANY S.A.;PNA;Preferencial Classe A;0;0.000000
03.758.318/0001-24;2020-01-01;20;103632;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;PNA;Preferencial Classe A;0;0.000000
03.767.538/0001-14;2020-01-01;1;93835;BRAZILIAN SECURITIES CIA SECURITIZACAO;PNA;Preferencial Classe A;0;0.000000
03.795.050/0001-09;2020-01-01;1;94965;TERMOPERNAMBUCO S.A.;PNA;Preferencial Classe A;0;0.000000
03.847.461/0001-92;2020-01-01;10;104581;BRADESPAR S.A.;PNA;Preferencial Classe A;0;0.000000
03.953.509/0001-47;2020-01-01;5;104776;CPFL GERACAO DE ENERGIA S.A.;PNA;Preferencial Classe A;0;0.000000
04.038.763/0001-82;2020-01-01;4;102098;CAIANDA PARTICIPACOES S.A.;PNB;Preferencial Classe B;1373254;0.000000
04.089.570/0001-50;2020-01-01;4;103506;ÁGUAS GUARIROBA S.A;PNA;Preferencial Classe A;0;0.000000
04.149.454/0001-80;2020-01-01;13;101038;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;PNA;Preferencial Classe A;0;0.000000
04.172.213/0001-51;2020-01-01;6;104662;CIA PIRATININGA DE FORCA E LUZ;PNA;Preferencial Classe A;0;0.000000
