CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Titulo_Conversivel_Acao;Condicoes_Conversao
21.262.638/0001-70;2020-01-01;1;95195;ENCALSO PARTICIPAÇÕES EM CONCESSÕES S/A;212940;BÔNUS DE SUBSCRIÇÃO ESCRITURAL;O titular terá o direito de subscrever (o "Direito de Subscrição"), observados os termos e condições do Bônus de Subscrição, um número de ações ordinárias nominativas e sem valor nominal de emissão da Companhia a ser determinado na forma do item (b) abaixo (as "Ações"):(a)Direitos das Ações a serem emitidas: As Ações a serem emitidas em razão do exercício do Direito de Subscrição (i) terão as mesmas características e condições e gozarão dos mesmos direitos e vantagens estatutariamente atribuídos atualmente e no futuro às ações ordinárias nominativas e sem valor nominal de emissão da Companhia e (ii) participarão dos resultados relativos ao exercício social que estiver em curso na data de subscrição de tais Ações (a "Data de Subscrição"), inclusive dividendos, calculados pro rata temporis, com base em um ano de 365 (trezentos e sessenta e cinco) dias, a partir de tal data.(b)Número de Ações a serem subscritas: O número de Ações a serem subscritas pelo Titular com base no Bônus de Subscrição será equivalente ao necessário para que o Titular seja titular de ações representativas de 95% (noventa e cinco por cento) do capital social e votante da Companhia na Data de Subscrição e considerando pro-forma todas as ações do capital social da Companhia, as ações decorrentes do exercício do Bônus de Subscrição, as ações ordinárias em que possam ser convertidas ações preferenciais de emissão da Companhia, efetivamente ou sujeito à ocorrência de condições, e as ações decorrentes de bonificações, dividendos e desdobramentos.Preço de Subscrição: O preço de emissão da quantidade total de Ações a serem emitidas e subscritas quando do exercício do Bônus de Subscrição será, para todos os fins, o valor equivalente ao produto entre R$0,01 (um centavo) e a quantidade total de Ações a serem subscritas quando do exercício do Bônus de Subscrição (tal preço, o "Preço de Subscrição"). Integralização: As Ações a serem emitidas serão integralizadas pelo Titular à vista, na Data de Subscrição, pelo Preço de Subscrição, mediante pagamento em dinheiro ou utilização de crédito detido pelo Titular contra a Companhia.
33.541.368/0001-16;2020-01-01;4;102698;CIA HIDRO ELÉTRICA DO SÃO FRANCISCO;228401;NÃO SE APLICA.;Não se aplica.
50.564.053/0001-03;2020-01-01;4;104124;BOMBRIL S.A. - EM RECUPERAÇÃO JUDICIAL;232952;NÃO HÁ;Não há.
60.398.369/0004-79;2020-01-01;14;103519;PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;231536;CONVERSÃO DE DEBÊNTURES;Total de Debêntures conversíveis: 360.003.818:Em 02 de setembro de 2019, ocorreu a conversão de 46.185.616 debentures, ao Preço de Conversão de R$1,733333 (conforme definido na Escritura) e resultou na emissão de 1.567.383 ações ordinárias, nominativas, escriturais e sem valor nominal da Companhia.Total de Debêntures pendentes de conversão (após a conversão de 02 de setembro de 2019) 44.148.829A conversão das Debentures poderá ocorrer a qualquer tempo, a critério dos debenturistas, observado o procedimento descrito na Cláusula 5.6 do Instrumento Particular de Escritura da 7ª (Sétima) Emissão de Debêntures, Conversíveis em Ações, em Duas Séries, da Espécie Quirografária, sem Garantia Adicional, para Distribuição Pública com Esforços Restritos de Colocação, da Paranapanema S.A., ao Preço de Conversão.
60.398.369/0004-79;2020-01-01;14;103519;PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;231538;CONVERSÃO DE DEBÊNTURES;Total de Debêntures conversíveis: 360.003.818:Em 16 de agosto de 2019, ocorreu a conversão de 14.310.903 debentures, ao Preço de Conversão de R$1,733333 (conforme definido na Escritura) e resultou na emissão de 485.664 ações ordinárias, nominativas, escriturais e sem valor nominal da Companhia.Total de Debêntures pendentes de conversão (após a conversão de 16 de agosto de 2019 ): 90.334.445A conversão das Debentures poderá ocorrer a qualquer tempo, a critério dos debenturistas, observado o procedimento descrito na Cláusula 5.6 do Instrumento Particular de Escritura da 7ª (Sétima) Emissão de Debêntures, Conversíveis em Ações, em Duas Séries, da Espécie Quirografária, sem Garantia Adicional, para Distribuição Pública com Esforços Restritos de Colocação, da Paranapanema S.A., ao Preço de Conversão.
60.398.369/0004-79;2020-01-01;14;103519;PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;231540;DEBÊNTURES CONVERSÍVEIS;Total de Debêntures conversíveis: 360.003.818:Em 06 de março de 2018, ocorreu a conversão de 5.956.455, ao Preço de Conversão de R$1,733333 (conforme definido na Escritura) e resultou na emissão de 3.436.417 (três milhões, quatrocentas e trinta e seis mil e quatrocentas e dezessete) ações ordinárias, nominativas, escriturais e sem valor nominal da Companhia.Total de Debêntures pendentes de conversão (após a conversão de 06 de março de 2018): 104.645.348A conversão das Debentures poderá ocorrer a qualquer tempo, a critério dos debenturistas, observado o procedimento descrito na Cláusula 5.6 do Instrumento Particular de Escritura da 7ª (Sétima) Emissão de Debêntures, Conversíveis em Ações, em Duas Séries, da Espécie Quirografária, sem Garantia Adicional, para Distribuição Pública com Esforços Restritos de Colocação, da Paranapanema S.A., ao Preço de Conversão.
60.398.369/0004-79;2020-01-01;14;103519;PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;231543;DEBÊNTURES CONVERSÍVEIS;Total de Debêntures conversíveis - 360.003.818:A Conversão ocorreu no período compreendido entre 22 de setembro de 2017 a 04 de outubro de 2017, ao Preço de Conversão de R$1,733333 (conforme definido na Escritura) e resultou na emissão de 143.885.809 (cento e quarenta e três milhões, oitocentas e oitenta e cinco mil e oitocentas e nove) ações ordinárias, nominativas, escriturais e sem valor nominal da Companhia. A conversão das Debentures poderão ocorrer qualquer tempo, a critério dos debenturistas, observado o procedimento descrito na Cláusula 5.6 do Instrumento Particular de Escritura da 7ª (Sétima) Emissão de Debêntures, Conversíveis em Ações, em Duas Séries, da Espécie Quirografária, sem Garantia Adicional, para Distribuição Pública com Esforços Restritos de Colocação, da Paranapanema S.A., ao Preço de Conversão.
60.851.615/0001-53;2020-01-01;5;103654;BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL;231987;NÃO APLICÁVEL;Não aplicável
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;229867;BÔNUS DE SUBSCRIÇÃO 2007;A cada debênture foi atribuído, como vantagem adicional, 1 (um) bônus de subscrição de emissão da Companhia, cujo prazo de validade se estende até o vencimento das debêntures. De acordo com a Cláusula Quarta - Bônus de Subscrição - parágrafo 4º, item 4.1 da Escritura das Debêntures, " Cada bônus de subscrição conferirá a seu titular, o observado o disposto no item 4.2 abaixo, o direito de subscrever ações ordinárias à razão do Valor Nominal Unitário acrescido do Montante Capitalizado das Debêntures, incluídas a capitalização do primeiro aniversário e as amortizações programadas a partir do terceiro aniversário, dividido pelo Preço de Exercício Atualizado". Um maior detalhamento das debêntures e bônus de subscrição pode ser verificado no item 18.5 do Formulário de Referência.
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;229867;BÔNUS DE SUBSCRIÇÃO 2014;A subscrição das ações decorrentes do exercício de cada Bônus 2014 dar-se-á na Data do Exercício e a integralização do preço das ações então subscritas se dará à vista no ato da subscrição e poderá será realizada exclusivamente em moeda corrente nacional e à vista.Um maior detalhamento das debêntures e bônus de subscrição pode ser verificado no item 18.5 do Formulário de Referência.
92.781.335/0001-02;2020-01-01;11;103755;TAURUS ARMAS S.A.;232368;BÔNUS DE SUBSCRIÇÃO;Até a data dos respectivos vencimentos, cada bônus de subscrição, independentemente da série, dará ao seu titular o direito de subscrever 1 ação preferencial de emissão da Companhia, a qual terá os mesmos direitos atribuídos às demais ações preferenciais da Companhia já emitidas e participando em igualdade de condições a todos os benefícios, inclusive a dividendos e eventuais remunerações de capital que vierem a ser aprovados no exercício , mediante pagamento dos seguintes preços de exercício: Série B - R$5,00 Série C - R$6,00 e Série D - R$7,00. Caso exercidos todos os bônus de subscrição disponíveis, serão emitidas novas 30.707.722 ações preferenciais. O percentual de diluição potencial resultante do exercício total dos bônus de subscrição para os acionistas da companhia é de 31,944%
