CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Quantidade_Pessoa_Fisica;Quantidade_Pessoa_Juridica;Quantidade_Investidor
00.001.180/0001-26;2020-01-01;22;104768;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Debêntures;495;4;378
00.192.769/0001-59;2020-01-01;1;94800;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Debêntures;0;1;0
00.383.281/0001-09;2020-01-01;8;100769;BNDES PARTICIPACOES S.A. - BNDESPAR;Debêntures;0;0;0
00.389.481/0001-79;2020-01-01;2;99896;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Debêntures;11;28;80
00.389.481/0001-79;2020-01-01;2;99896;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Nota Comercial;0;1;26
00.545.378/0001-70;2020-01-01;1;95407;SERRA AZUL WATER PARK SA;Debêntures Conversíveis;0;0;0
00.622.416/0001-41;2020-01-01;7;103465;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Debêntures;0;1;0
00.743.065/0001-27;2020-01-01;6;103464;LITEL PARTICIPACOES S.A.;Debêntures;0;1;33
00.776.574/0001-56;2020-01-01;14;103796;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Debêntures;0;1;0
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;Debêntures;4584;110;210
00.864.214/0001-06;2020-01-01;8;103422;ENERGISA S.A.;Nota Comercial;0;0;11
00.897.864/0001-58;2020-01-01;1;95675;SANTA CATARINA PART INVEST SA;Debêntures;1;31;0
00.938.574/0001-05;2020-01-01;7;103474;CONC RIO-TERESOPOLIS S.A.;Debêntures Conversíveis;0;5;0
00.974.211/0001-25;2020-01-01;11;103518;LINHA AMARELA S.A. - LAMSA;Debêntures;0;1;0
01.027.058/0001-91;2020-01-01;21;104759;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Debêntures;0;50;1
01.107.327/0001-20;2020-01-01;8;103436;BBM LOGÍSTICA S.A.;Bônus de Subscrição;1;0;0
01.107.327/0001-20;2020-01-01;8;103436;BBM LOGÍSTICA S.A.;Debêntures;0;2;0
01.319.044/0001-41;2020-01-01;1;95401;WTC AMAZONAS SUITE HOTEL S.A.;Debêntures;0;153153;0
01.417.222/0001-77;2020-01-01;9;103383;MRS LOGISTICA S.A.;Debêntures;2211;68;0
01.543.032/0001-04;2020-01-01;6;103084;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Nota Comercial;0;174;0
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;Certificados de Depósito de Valores Mobiliários;0;0;1
01.545.826/0001-07;2020-01-01;9;103853;GAFISA S.A.;Debêntures;307;1;1
01.599.101/0001-93;2020-01-01;7;99476;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Debêntures;16;10;0
01.616.929/0001-02;2020-01-01;11;103558;SANEAMENTO DE GOIAS SA;Debêntures;4;1;273
01.838.723/0001-27;2020-01-01;11;104527;BRF S.A.;Debêntures;0;1;28
01.957.772/0001-89;2020-01-01;1;94527;SUL 116 PARTICIPACOES S.A.;Debêntures;0;0;0
01.989.044/0001-59;2020-01-01;1;95341;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Debêntures;0;678;0
02.105.040/0001-23;2020-01-01;4;97590;VIRGO II COMPANHIA DE SECURITIZACAO;Certificado de Recebíveis do Agronegócio;7804;31;0
02.105.040/0001-23;2020-01-01;4;97590;VIRGO II COMPANHIA DE SECURITIZACAO;Certificados de Recebíveis Imobiliários;2200;82;0
02.201.787/0001-85;2020-01-01;1;95220;CEL PARTICIPAÇÕES S.A. - CELPAR;Debêntures;0;0;0
02.221.531/0001-30;2020-01-01;4;103056;RDN CONCESSÕES E PARTICIPAÇÕES S.A.;Debêntures;3692;13;99
02.222.736/0001-30;2020-01-01;1;95167;EMPRESA CONC RODOV DO NORTE S.A.ECONORTE;Debêntures;0;72;0
02.286.479/0001-08;2020-01-01;2;99493;LOCALIZA FLEET S.A.;Debêntures;0;0;116
02.291.077/0001-93;2020-01-01;3;97734;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;Debêntures Conversíveis;1;0;7
02.302.100/0001-06;2020-01-01;6;102899;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;Debêntures;0;2;100
02.302.100/0001-06;2020-01-01;6;102899;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;Nota Comercial;0;0;3
02.328.280/0001-97;2020-01-01;7;102922;ELEKTRO REDES S.A.;Debêntures;539;5;250
02.338.534/0001-58;2020-01-01;3;109607;LONGDIS S.A.;Bônus de Subscrição;0;0;0
02.351.144/0001-18;2020-01-01;12;103493;TEGMA GESTAO LOGISTICA S.A.;Debêntures;0;0;2
02.382.073/0001-10;2020-01-01;6;100810;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;Debêntures;0;1;22
02.387.241/0001-60;2020-01-01;22;105130;RUMO S.A.;Debêntures;14287;129;13
02.397.080/0001-96;2020-01-01;2;102902;ITAPEBI GERACAO DE ENERGIA S.A.;Debêntures;0;0;9
02.415.408/0001-50;2020-01-01;2;102861;CONC ROD.OESTE SP VIAOESTE S.A;Debêntures;986;6;27
02.421.421/0001-11;2020-01-01;8;104308;TIM S.A.;Debêntures;0;0;1
02.451.848/0001-62;2020-01-01;2;102860;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;Debêntures;4277;0;247
02.451.848/0001-62;2020-01-01;2;102860;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;Nota Comercial;0;0;48
02.474.103/0001-19;2020-01-01;12;103563;ENGIE BRASIL ENERGIA S.A.;Debêntures;14260;126526;0
02.509.186/0001-34;2020-01-01;1;95233;TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.;Debêntures;322;17;171
02.509.491/0001-26;2020-01-01;6;104663;CONC ECOVIAS IMIGRANTES S.A.;Debêntures;6400;8;64
02.558.157/0001-62;2020-01-01;5;102984;TELEFÔNICA BRASIL S.A;Debêntures;0;0;197
02.591.787/0001-39;2020-01-01;4;109015;CAPITALPART PARTICIPACOES S.A.;Bônus de Subscrição;0;0;0
02.643.896/0001-52;2020-01-01;2;97214;REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.;Certificados de Recebíveis Imobiliários;3;15;0
02.724.983/0001-34;2020-01-01;5;102639;SANESALTO SANEAMENTO S.A.;Debêntures;0;1;5
