CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Pais;Data_Admissao_Negociacao
00.000.000/0001-91;2024-01-01;3;135645;BCO BRASIL S.A.;Estados Unidos;2009-12-02
00.001.180/0001-26;2024-01-01;2;142280;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Espanha;2000-04-18
00.001.180/0001-26;2024-01-01;2;142280;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Estados Unidos;2008-10-30
00.776.574/0001-56;2024-01-01;1;138786;AMERICANAS S.A. - em Recuperação Judicial;Estados Unidos;2007-03-31
01.319.044/0001-41;2024-01-01;3;138585;WTC AMAZONAS SUITE HOTEL S.A.;Brasil;2024-04-30
01.599.101/0001-93;2024-01-01;1;138249;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Brasil;2020-10-05
01.838.723/0001-27;2024-01-01;1;138280;BRF S.A.;Estados Unidos;2000-10-20
01.957.772/0001-89;2024-01-01;1;133428;SUL 116 PARTICIPACOES S.A.;Brasil;1997-09-03
01.989.044/0001-59;2024-01-01;3;138587;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Brasil;2024-04-30
02.201.787/0001-85;2024-01-01;1;137981;CEL PARTICIPAÇÕES S.A. - CELPAR;Brasil;1997-12-02
02.351.144/0001-18;2024-01-01;3;143926;TEGMA GESTAO LOGISTICA S.A.;Brasil;2007-06-28
02.474.103/0001-19;2024-01-01;1;133760;ENGIE BRASIL ENERGIA S.A.;Estados Unidos;1998-06-01
02.558.157/0001-62;2024-01-01;2;143933;TELEFÔNICA BRASIL S.A;Estados Unidos;1998-09-22
02.762.121/0001-04;2024-01-01;1;138351;SANTOS BRASIL PARTICIPACOES S.A.;Estados Unidos;2007-12-05
02.932.074/0001-91;2024-01-01;1;138459;HYPERA S.A.;Estados Unidos;2010-05-26
03.220.438/0001-73;2024-01-01;3;142009;EQUATORIAL S.A.;Estados Unidos;2008-12-19
03.378.521/0001-75;2024-01-01;2;134087;LIGHT S.A. - Em Recuperação Judicial;Estados Unidos;2008-10-25
03.847.461/0001-92;2024-01-01;2;137438;BRADESPAR S.A.;Espanha;2001-07-10
03.853.896/0001-40;2024-01-01;1;137983;MARFRIG GLOBAL FOODS S.A.;Brasil;2007-06-16
04.902.979/0001-44;2024-01-01;1;133368;BCO AMAZONIA S.A.;Brasil;1977-07-20
04.912.242/0001-02;2024-01-01;1;133767;PORTUENSE FERRAGENS S/A;Brasil;2001-03-31
05.495.546/0001-84;2024-01-01;1;134225;Litela Participações S.A. - Em Liquidação;Brasil;2019-09-05
06.164.253/0001-87;2024-01-01;3;139328;GOL LINHAS AEREAS INTELIGENTES S.A.;Estados Unidos;2004-06-09
07.253.321/0001-47;2024-01-01;1;138017;CARBOMIL SA MINER. E INDUSTRIA;Brasil;1993-07-27
07.526.557/0001-00;2024-01-01;1;133943;AMBEV S.A.;Estados Unidos;2013-11-11
07.628.528/0001-59;2024-01-01;2;142414;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Estados Unidos;2012-11-08
07.689.002/0001-89;2024-01-01;3;144507;EMBRAER S.A.;Estados Unidos;2006-05-23
07.857.093/0001-14;2024-01-01;3;139429;AURA MINERALS INC.;Canadá;2006-07-25
07.857.850/0001-50;2024-01-01;1;137900;GP INVESTMENTS, LTD.;Luxemburgo;2006-05-30
07.950.674/0001-04;2024-01-01;1;135005;CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO;Brasil;2006-07-19
08.070.508/0001-78;2024-01-01;3;143770;RAIZEN ENERGIA S.A.;Brasil;2013-10-21
08.078.847/0001-09;2024-01-01;2;138931;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Brasil;2006-12-18
08.534.605/0001-74;2024-01-01;1;138516;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;Brasil;2008-08-20
08.801.621/0001-86;2024-01-01;1;138047;SYN PROP & TECH S.A.;Estados Unidos;2007-08-10
08.873.873/0001-10;2024-01-01;2;138274;ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.;Brasil;2009-12-22
09.305.994/0001-29;2024-01-01;2;139885;AZUL S.A.;Estados Unidos;2016-04-07
09.346.601/0001-25;2024-01-01;2;135749;B3 S.A. - BRASIL, BOLSA, BALCÃO;Luxemburgo;2021-09-20
10.488.244/0001-19;2024-01-01;1;135777;INFRASEC SECURITIZADORA S.A.;Brasil;2009-09-22
