CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2022-01-01;1;BCO BRASIL S.A.;001023;FRE NOVO;116583;2022-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=116583
00.000.000/0001-91;2022-01-01;2;BCO BRASIL S.A.;001023;FRE NOVO;116838;2022-06-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=116838
00.000.000/0001-91;2022-01-01;3;BCO BRASIL S.A.;001023;FRE NOVO;116979;2022-06-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=116979
00.000.000/0001-91;2022-01-01;4;BCO BRASIL S.A.;001023;FRE NOVO;118376;2022-07-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=118376
00.000.000/0001-91;2022-01-01;5;BCO BRASIL S.A.;001023;FRE NOVO;118486;2022-07-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=118486
00.000.000/0001-91;2022-01-01;6;BCO BRASIL S.A.;001023;FRE NOVO;118958;2022-07-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=118958
00.000.000/0001-91;2022-01-01;7;BCO BRASIL S.A.;001023;FRE NOVO;120120;2022-08-18;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=120120
00.000.000/0001-91;2022-01-01;8;BCO BRASIL S.A.;001023;FRE NOVO;120754;2022-09-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=120754
00.000.000/0001-91;2022-01-01;9;BCO BRASIL S.A.;001023;FRE NOVO;122280;2022-11-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=122280
00.000.000/0001-91;2022-01-01;10;BCO BRASIL S.A.;001023;FRE NOVO;122855;2023-01-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=122855
00.000.000/0001-91;2022-01-01;11;BCO BRASIL S.A.;001023;FRE NOVO;122911;2023-01-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=122911
00.000.000/0001-91;2022-01-01;12;BCO BRASIL S.A.;001023;FRE NOVO;123170;2023-01-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=123170
00.000.000/0001-91;2022-01-01;13;BCO BRASIL S.A.;001023;FRE NOVO;123198;2023-01-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=123198
00.000.000/0001-91;2022-01-01;14;BCO BRASIL S.A.;001023;FRE NOVO;123511;2023-02-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=123511
