CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Constituicao_Emissor;Forma_Constituicao_Emissor;Sigla_Pais_Constituicao_Emissor;Pais_Constituicao_Emissor;Prazo_Duracao_Emissor;Data_Registro_Emissor;Requisicao_Registro_Emissor
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;1808-10-12;Sociedade anônima aberta de economia mista.;BR;Brasil;;1977-07-20;N
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;1964-12-10;Autorização contida na Lei Federal nº 4.545, de 10 de dezembro de 1964, regida pela Lei das Sociedades Anônimas, pelo Estatuto e demais disposições legais.;BR;Brasil;;1993-09-24;N
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;1962-06-11;Sociedade por ações de economia mista.;BR;Brasil;;1971-01-28;N
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1968-12-16;SOCIEDADE DE ECONOMIA MISTA;BR;Brasil;;1994-07-04;N
00.080.671/0001-00;2022-01-01;3;120092;CARAMURU ALIMENTOS S.A.;1984-12-28;Sociedade Anônima;BR;Brasil;;2021-09-15;N
00.192.769/0001-59;2022-01-01;1;116220;NEUMARKT TRADE AND FINANCIAL CENTER S/A;1994-08-23;Sociedade de Capital Aberto;BR;Brasil;;1994-10-27;N
00.194.724/0001-13;2022-01-01;3;126044;AUREN OPERAÇÕES S.A.;1994-09-14;Constituída sob a forma de sociedade limitada e transformada em sociedade anônima em maio de 2021;BR;Brasil;;2021-08-17;N
00.242.184/0001-04;2022-01-01;7;126992;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;1994-10-05;Sociedade Limitada (Armac Locação, Logística e Serviços Ltda.), posteriormente transformada e alterada para Armac Locação, Logística e Serviços S.A. (26/05/2020);BR;Brasil;;2021-07-26;N
00.272.185/0001-93;2022-01-01;5;126988;CIMS S.A.;1994-10-18;Sociedade Anonima;BR;Brasil;;1995-03-14;N
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;1972-11-09;Constituída sob a forma de sociedade anônima aberta de economia mista.;BR;Brasil;;1981-01-21;N
00.359.742/0001-08;2022-01-01;5;125676;FICTOR ALIMENTOS S.A.;1994-12-20;Sociedade Anonima.;BR;Brasil;;1996-02-28;N
00.383.281/0001-09;2022-01-01;13;125986;BNDES PARTICIPACOES S.A. - BNDESPAR;1974-09-04;Sociedade por ações;BR;Brasil;;1998-01-13;N
00.389.481/0001-79;2022-01-01;2;118400;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;1995-01-10;Sociedade Anônima;BR;Brasil;;2019-11-29;N
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;1994-09-16;Sociedade Anônima;BR;Brasil;;2018-04-26;N
