CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Acionista;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes;Percentual_Acoes
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;7083571;;0;0.000000
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;7083577;;0;0.000000
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;7083581;;0;0.000000
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7081868;;0;0.000000
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7081872;;0;0.000000
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7081873;;0;0.000000
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7081877;;0;0.000000
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7081881;;0;0.000000
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7081885;;0;0.000000
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7081889;;0;0.000000
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7081909;;0;0.000000
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7081913;;0;0.000000
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7081917;;0;0.000000
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7081921;;0;0.000000
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7081922;;0;0.000000
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;7059267;;0;0.000000
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;7059271;;0;0.000000
00.272.185/0001-93;2022-01-01;5;126988;CIMS S.A.;7080750;;0;0.000000
00.272.185/0001-93;2022-01-01;5;126988;CIMS S.A.;7080751;;0;0.000000
00.272.185/0001-93;2022-01-01;5;126988;CIMS S.A.;7080757;;0;0.000000
00.272.185/0001-93;2022-01-01;5;126988;CIMS S.A.;7080758;;0;0.000000
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;7087789;;542630;2.947876
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;7087789;Preferencial Classe A;542630;2.948000
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;7087792;Preferencial Classe A;16239712;88.223000
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;7087792;;16239712;88.223387
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;7087802;;1625149;8.828737
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;7087802;Preferencial Classe A;1625149;8.829000
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;6973845;;0;0.000000
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;6973846;;0;0.000000
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;6973847;;0;0.000000
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;6973848;;0;0.000000
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;6973849;;0;0.000000
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;6973853;;0;0.000000
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;6973854;;0;0.000000
00.644.907/0001-93;2022-01-01;5;125817;INVESTCO S.A.;7065117;;0;0.000000
00.644.907/0001-93;2022-01-01;5;125817;INVESTCO S.A.;7065123;;0;0.000000
00.644.907/0001-93;2022-01-01;5;125817;INVESTCO S.A.;7065127;;0;0.000000
00.644.907/0001-93;2022-01-01;5;125817;INVESTCO S.A.;7065130;;0;0.000000
00.644.907/0001-93;2022-01-01;5;125817;INVESTCO S.A.;7065135;;0;0.000000
00.644.907/0001-93;2022-01-01;5;125817;INVESTCO S.A.;7065141;;0;0.000000
00.644.907/0001-93;2022-01-01;5;125817;INVESTCO S.A.;7065190;;0;0.000000
00.864.214/0001-06;2022-01-01;20;127076;ENERGISA S.A.;7083227;;0;0.000000
00.924.429/0001-75;2022-01-01;7;123538;FERROVIA CENTRO-ATLANTICA S.A.;7019170;;0;0.000000
00.924.429/0001-75;2022-01-01;7;123538;FERROVIA CENTRO-ATLANTICA S.A.;7019202;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078412;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078433;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078441;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078444;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078448;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078449;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078451;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078453;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078454;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078461;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078462;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078463;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078464;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078465;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078466;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078470;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078476;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078480;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078487;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078508;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078511;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078522;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078523;;0;0.000000
00.938.574/0001-05;2022-01-01;7;126918;CONC RIO-TERESOPOLIS S.A.;7078524;;0;0.000000
