CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Quantidade_Pessoa_Fisica;Quantidade_Pessoa_Juridica;Quantidade_Investidor
02.736.470/0001-43;2022-01-01;1;116669;CONFIANZA SECURITIZADORA SA;Certificados de Recebíveis Imobiliários;0;0;0
02.762.121/0001-04;2022-01-01;8;125996;SANTOS BRASIL PARTICIPACOES S.A.;Debêntures;0;1;59
02.773.542/0001-22;2022-01-01;2;116214;OPEA SECURITIZADORA S.A.;Certificado de Recebíveis do Agronegócio;29058;106;18
02.773.542/0001-22;2022-01-01;2;116214;OPEA SECURITIZADORA S.A.;Certificados de Recebíveis Imobiliários;33022;218;129
02.773.542/0001-22;2022-01-01;2;116214;OPEA SECURITIZADORA S.A.;Debêntures;5888;32;136
02.783.423/0001-50;2022-01-01;1;116763;ALTERE SECURITIZADORA S.A.;Certificado de Recebíveis do Agronegócio;489;2;0
02.783.423/0001-50;2022-01-01;1;116763;ALTERE SECURITIZADORA S.A.;Certificados de Recebíveis Imobiliários;175;1;0
02.800.026/0001-40;2022-01-01;11;127177;COGNA EDUCAÇÃO S.A.;Debêntures;0;13;342
02.846.056/0001-97;2022-01-01;17;125620;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;Debêntures;1396;24;525
02.846.056/0001-97;2022-01-01;17;125620;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;Nota Comercial;67;2;0
02.860.694/0001-62;2022-01-01;1;116579;T4F ENTRETENIMENTO S.A.;Debêntures;0;1;0
02.919.555/0001-67;2022-01-01;6;126933;ARTERIS S.A.;Debêntures;0;0;1228
02.932.074/0001-91;2022-01-01;6;126247;HYPERA S.A.;Debêntures;0;2;22
02.998.301/0001-81;2022-01-01;7;127247;RIO PARANAPANEMA ENERGIA S.A.;Debêntures;0;4;227
02.998.611/0001-04;2022-01-01;8;126090;ISA ENERGIA BRASIL;Debêntures;13196;162;317
03.014.553/0001-91;2022-01-01;5;127007;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Debêntures;0;0;1
