CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Auditor;Auditor;CPF_Auditor;CNPJ_Auditor;Codigo_CVM_Auditor;Tipo_Origem_Auditor;Data_Inicio_Contratacao;Data_Fim_Contratacao;Data_Inicio_Prestacao_Servico;Servico_Contratado;Remuneracao_Auditor;Justificativa_Substituicao;Razao_Apresentada
00.272.185/0001-93;2022-01-01;5;126988;CIMS S.A.;114795;RSM ACAL Auditores Independentes S/S;;07377136000164;011444;Nacional;2021-01-01;;;Revisão de Informações Trimestrais (ITRs) e Auditoria das Demonstrações Financeiras Anuais;45.014,57;A contratação ocorreu em atendimento ao artigo 31 da ICVM 308, em função da rotatividade de auditores independentes a cada período de 5 anos.;
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;115148;CONSULT AUDITORES INDEPENDENTES;;77998276000135;006866;Nacional;2019-08-15;;;contratação de serviços técnicos especializados em auditoria independente das demonstrações contábeis.;O contrato possui o valor estimado em R$ 181.475,05 (cento e oitenta e um mil, quatrocentos e setenta e cinco reais e cinco centavos), para o período de 36 meses (com início em 15/08/19 e encerramento em 15/08/22).;Nova Licitação;Não houve discordância.
00.359.742/0001-08;2022-01-01;5;125676;FICTOR ALIMENTOS S.A.;113885;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;;61562112000805;002879;Nacional;2022-03-24;;;Trabalho de auditoria externa que tem como objetivo auditoria das demonstrações financeiras trimestrais e de balanço anual,com a finalidade de emitir os relatórios de auditoria independente sobre is ITR's e dos balanços dos exercícios.;A remuneração pelos serviços de auditoria externa está fixada em R$ 155.000,00/ano.;A substituição da empresa de auditoria independente da Companhia foi realizada em cumprimento ao item 4.17 do Acordo de Acionistas realizado entre EXAME LTDA. e WHPH PARTICIPAÇÕES E EMPREENDIMENTOS S.A. em 30 de março de 2021.;N/A
00.359.742/0001-08;2022-01-01;5;125676;FICTOR ALIMENTOS S.A.;113886;Ernst & Young Auditores Independentes S.S.;;61366936000800;004715;Nacional;2023-03-23;;;Prestação de serviços de auditoria e emissão de relatório sobre as demonstrações financeiras individuais e consolidadas da Companhia para o exercício a findar-se em 31 de dezembro de 2023. A EY Brasil também foi contratada para fazer a revisão e emitir um relatório sobre as informações financeiras intermediárias não auditadas da Companhia dos períodos a findar-se em 31 de março de 2023, 30 de junho de 2023 e 30 de setembro de 2023.;A remuneração pelos serviços de auditoria externa está fixada em R$ 112.000,00/ano líquido de impostos.;A referida mudança de auditores independentes dar-se-á por término do contrato de prestação de serviços entre as partes. A substituição da empresa de auditoria decorre de decisão da Administração da Companhia, não tendo sido causada por qualquer discordância de opinião em relação à empresa de auditoria que ora é substituída.;N/A
00.383.281/0001-09;2022-01-01;13;125986;BNDES PARTICIPACOES S.A. - BNDESPAR;114256;GRANT THORNTON AUDITORES INDEPENDENTES;;10830108000165;011274;Nacional;2017-04-10;;;i. Auditoria anual e semestral das Demonstrações Financeiras da BNDESPAR ii.Revisão Especial das Informações Trimestrais (ITR) iii. Outros serviços de auditoria e iv. Revisão Tributária.;a.honorários relativos a serviços de auditoria externa: R$ 946.973,28 i.Auditoria das Demonstrações Financeiras: R$ 511.368,00ii.Revisão Especial das Informações Trimestrais (ITR): R$ 256.238,40iii.Revisão Tributária: R$ 179.366,88 iv.Outros serviços de Auditoria: não houve. b.honorários relativos a quaisquer outros serviços prestados: não houve prestação de outros serviços.;não houve substituição do auditor.;não houve substituição do auditor.
00.383.281/0001-09;2022-01-01;13;125986;BNDES PARTICIPACOES S.A. - BNDESPAR;114257;GRANT THORNTON AUDITORES INDEPENDENTES;;10830108000165;011274;Nacional;2017-04-10;;;Auditoria das Demonstrações Financeiras, Revisão Especial das Informações Trimestrais (ITR), Revisão Tributária e Outros Serviços de Auditoria.;a. honorários relativos a serviços de auditoria externa: R$ 883.699,25i. Auditoria das Demonstrações Financeiras: R$ 490.999,25ii. Revisão Especial das Informações Trimestrais (ITR): R$ 231.000,00iii. Revisão Tributária: R$ 161.700,00iv.Outros serviços de Auditoria: não houve.b.honorários relativos a quaisquer outros serviços prestados: não houve .;não houve substituição do auditor.;não houve substituição do auditor.
00.383.281/0001-09;2022-01-01;13;125986;BNDES PARTICIPACOES S.A. - BNDESPAR;114258;GRANT THORNTON AUDITORES INDEPENDENTES;;10830108000165;011274;Nacional;2017-04-10;;;Auditoria das Demonstrações Financeiras, Revisão Especial das Informações Trimestrais (ITR), Revisão Tributária e Outros Serviços de Auditoria.;a. honorários relativos a serviços de auditoria externa: R$ 883.767,06 i. Auditoria das Demonstrações Financeiras: R$480.542,70 ii. Revisão Especial das Informações Trimestrais (ITR): R$ 237.190,80 iii. Revisão Tributária: R$ 166.033,56 iv.Outros serviços de Auditoria: não houve.b.honorários relativos a quaisquer outros serviços prestados: não houve .;não houve substituição do auditor;não houve substituição do auditor
00.389.481/0001-79;2022-01-01;2;118400;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;107601;Ernst & Young Auditores Independentes S/S;;61366936000125;004715;Nacional;2016-01-01;;;Serviços profissionais de auditoria independente, contratados nos exercícios sociais findos em 31 de dezembro de 2021 e, 2020: (i) auditoria das Demonstrações Financeiras individuais e consolidada da Companhia (ii) revisão de cálculos relativos aos índices financeiros (covenants) previstos em contratos de empréstimos e/ou financiamentos junto a instituições financeiras.Serviços profissionais de auditoria independente, contratados nos exercícios sociais findos em 31 de dezembro de 2019: (i) auditoria das Demonstrações Financeiras da CompanhiaServiços profissionais contratados no semestre findo em 30 de junho de 2020 e 201920 e em 31 de dezembro de 2020 e 2019:(i) relatório dos auditores independentes sobre a revisão de Informações Intermediárias individuais e combinadas da Companhia e da LM Transportes Serviços e Comércio Ltda. Serviços profissionais contratados nos trimestres findos em 31 de março de 2021, 2020 e 20190 e 30 de setembro de 2021, 2020:(i) revisão das informações intermediárias individuais e consolidada da Companhia. Serviços profissionais contratados nos trimestres findos em 31 de março de 2019 30 de junho de 2019 e 30 de setembro de 2019:(i) revisão das informações intermediárias da Companhia.;Com relação à revisão de cálculos relativos aos índices financeiros (covenants) previstos em contratos de empréstimos e/ou financiamentos junto a instituições financeiras e ao serviço de auditoria das Demonstrações Financeiras referentes ao exercício social encerrado em 31 de dezembro de 2021 e das Informações trimestrais individuais de 2021, a remuneração dos auditores foi no valor de R$ 410.730,00584.732,00 (houve uma única contratação para todos os serviços);Não ocorreu substituição do auditor.;Não aplicável.
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;110337;KPMG AUDITORES INDEPENDENTES;;57755217000471;004189;Nacional;2021-04-16;;;Serviços profissionais de: (A) (1) auditoria das: (i) demonstrações financeiras individuais e consolidadas referentes ao semestres findos em 30 de junho de 2021 e ao exercício findo em 31 de dezembro de 2021, preparadas de acordo com práticas contábeis adotadas no Brasil aplicáveis as instituições financeiras autorizadas a funcionar pelo Banco Central do Brasil (ii) demonstrações financeiras consolidadas do Conglomerado Prudencial Inter referentes ao semestre findo em 30 de junho de 2021 e ao exercício findo em 31 de dezembro de 2021, elaboradas de acordo com os procedimentos específicos estabelecidos pela Resolução nº 4.280/2013 do Conselho Monetário Nacional (iii) demonstrações financeiras consolidadas referentes ao exercício findo em 31 de dezembro de 2021, preparadas de acordo com as normas internacionais de contabilidade - International Financial Reporting Standards ("IFRS") emitidas pelo International Accounting Standards Board ("IASB") (2) auditoria das: (i) demonstrações financeiras individuais e consolidadas referentes ao semestre findo em 30 de junho de 2020 e ao exercício findo em 31 de dezembro de 2020, preparadas de acordo com práticas contábeis adotadas no Brasil aplicáveis as instituições financeiras autorizadas a funcionar pelo Banco Central do Brasil (ii) demonstrações financeiras consolidadas do Conglomerado Prudencial Inter referentes ao semestre findo em 30 de junho de 2020 e ao exercício findo em 31 de dezembro de 2020, elaboradas de acordo com os procedimentos específicos estabelecidos pela Resolução nº 4.280/2013 do Conselho Monetário Nacional (iii) demonstrações financeiras consolidadas referentes ao exercício findo em 31 de dezembro de 2020, preparadas de acordo com as normas internacionais de contabilidade - International Financial Reporting Standards ("IFRS") emitidas pelo International Accounting Standards Board ("IASB") e (3) (i) auditoria das demonstrações financeiras consolidadas referentes  ao exercício social encerrado em 31 de dezembro de 2019, preparadas de acordo com as normas internacionais de contabilidade - International Financial Reporting Standards ("IFRS") emitidas pelo International Accounting Standards Board "IASB") (ii) revisão das informações trimestrais individuais e consolidadas referente ao período findo em em 31 de março de 2019, e em  30 de setembro de 2019, elaboradas de acordo com as práticas contábeis adotadas no Brasil aplicáveis às instituições autorizadas a funcionar pelo Banco Central do Brasil (iii) auditoria das demonstrações financeiras individuais e consolidadas do Banco Inter S.A. referentes aos semestres e exercícios sociais encerrados em 30 de junho de 2019 e 31 de dezembro de 2019 elaboradas de acordo com as práticas contábeis adotadas no Brasil aplicáveis às instituições autorizadas a funcionar pelo Banco Central do Brasil e (iv) auditoria das demonstrações financeiras consolidadas do Conglomerado Prudencial Inter referentes aos semestres e exercícios sociais findos em 30 de junho de 2019 e 31 de dezembro de 2019, elaboradas de acordo com os procedimentos específicos estabelecidos pela Resolução nº 4.280/2013 do Conselho Monetário Nacional.;No exercício social encerrado em 31 de dezembro de 2021, os auditores independentes receberam honorários que totalizaram o valor de R$ 9.657.634,00, líquido dos efeitos tributários, sendo R$ 8.157.667,00 referentes a serviços relacionados à auditoria independente descritos nos itens (A) (1) e (B) (1), (C), (D) e (G) acima e R$1.409.967,00 referentes aos serviços descritos nos itens  (E) e (F).;Não aplicável.;Não aplicável.
00.545.378/0001-70;2022-01-01;6;135072;SERRA AZUL WATER PARK SA;122144;Mazars Auditores Independentes Sociedade Simples;;07326840000198;010723;Nacional;2020-06-10;;;Auditoria e revisão das demonstrações financeiras individuais para os exercícios findos em 31/12/2020, 31/12/2021, 31/12/2022 e 31/12/2023 e 1o, 2o e 3o trimestres findos (e a findar-se) em 31 de março, 30 de junho e 30 de setembro de cada um destes exercícios;Valores totais para auditoria de cada exercício: (i) R$70.000,00 para o exercício de 2020, (ii) R$74.270,00 para o exercício de 2021, (iii) R$81.883,00 para o exercíco de 2022 e, (iv) para o exercício de 2023 os honorários corresponderão ao valor base de 2022 corrigido pelo IPCA;O auditor anterior (RSM BRASIL AUDITORES INDEPENDENTES) completou o prazo máximo de 05 exercícios sociais consecutivos auditando a companhia.;
