CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Aumento;Data_Deliberacao;Orgao_Deliberacao_Aumento;Data_Emissao;Valor_Total_Emissao;Tipo_Subscricao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes;Subscricao_Capital_Anterior;Fator_Cotacao;Preco_Emissao;Criterio_Determinacao_Preco_Emissao;Forma_Integralizacao
00.194.724/0001-13;2022-01-01;3;126044;AUREN OPERAÇÕES S.A.;371266;2021-05-13;Assembleia Geral Extraordinária;2021-11-30;1765947667.66;Subscrição particular;1993175982;0;1993175982;749.35168875;R$ por Unidade;0.88599000;O valor da emissão foi estabelecido de acordo com laudo de avaliação, elaborado, com base nas demonstrações financeiras da AES Tietê referentes ao exercício social encerrado em 31 de dezembro de 2020, por auditor independente contratado para proceder à avaliação e determinar o valor patrimonial da AES Tietê Energia S.A., que foi incorporada pela Companhia, conforme aprovado pela Assembleia Geral Extraordinária realizada em 13 de maio de 2021, conforme rerratificado pela Assembleia Geral Extraordinária realizada em 9 de dezembro de 2021.;A integralização se derá no âmbito da incorporação da AES Tietê pela Companhia aprovada pela Assembleia Geral Extraordinária realizada em 13 de maio de 2021, a ser realizada nos termos do Protocolo e Justificação de Incorporação da AES Tietê Energia S.A. pela AES Brasil Operações S.A. ("Protocolo"). A Companhia esclarece que a efetiva emissão das ações está sujeita à conclusão da referida incorporação, que, por sua vez, está sujeita a determindas condições suspensivas previstas no Protocolo.
00.242.184/0001-04;2022-01-01;7;126992;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;372687;2020-06-08;Assembleia Geral Extraordinária;2020-06-08;75500000.00;Subscrição particular;266101;0;266101;10710.16144720;R$ por Unidade;75500000.00000000;Calculado de acordo com o disposto no Art. 170, §1º, inciso I da Lei das Sociedades por Ações.;Aporte de capital em moeda corrente nacional
00.242.184/0001-04;2022-01-01;7;126992;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;372688;2021-02-04;Assembleia Geral Extraordinária;2021-02-04;50404900.54;Subscrição particular;176226;0;176226;66.14387711;R$ por Unidade;286.02000000;Calculado de acordo com o disposto no Art. 170, §1º, inciso I da Lei das Sociedades por Ações.;Aporte de capital em moeda corrente nacional
00.242.184/0001-04;2022-01-01;7;126992;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;372689;2021-05-07;Assembleia Geral Extraordinária;2021-05-07;35.25;Subscrição particular;35245;0;35245;3.07208883;R$ por Lote de Mil;1.00000000;Calculado conforme condições descritas nos Bônus de Subscrição Série C emitido pela Companhia em 04/02/2021.;Aporte de capital em moeda corrente nacional
00.242.184/0001-04;2022-01-01;7;126992;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;372690;2021-07-02;Assembleia Geral Extraordinária;2020-07-02;903372.50;Subscrição particular;1806745;0;1806745;0.71350873;R$ por Unidade;0.50000000;Valor Patrimonial;Moeda nacional ou capitalização de créditos dos subscritores contra a Companhia.
00.242.184/0001-04;2022-01-01;7;126992;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;372691;2021-07-26;Reunião do Conselho de Administração;2021-07-26;1000300752.88;Subscrição pública;60150376;0;60150376;784.46811039;R$ por Unidade;16.63000000;O preço de emissão foi aferido conforme o resultado do Procedimento de Bookbuilding, com base nas indicações de interesse em função da qualidade e quantidade de demanda (por volume e preço) coletada junto a investidores institucionais durante o Procedimento de Bookbuilding sendo, portanto, realizado em consonância com o disposto no artigo 23, parágrafo 1º, e no artigo 44, ambos da Instrução CVM 400, e no inciso III do artigo 170 da Lei das Sociedades por Ações.;Moeda corrente nacional.
00.242.184/0001-04;2022-01-01;7;126992;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;372692;2022-10-03;Conselho de Administração;2022-10-03;1682771.20;Subscrição particular;256520;0;256520;0.00149206;R$ por Unidade;6.56000000;O preço de emissão das ações foi calculado conforme previsto no Plano e nos Contratos de Opção celebrados entre a Companhia e os Beneficiários;em moeda corrente nacional,
00.272.185/0001-93;2022-01-01;5;126988;CIMS S.A.;372680;2019-01-31;AGE;2019-01-31;200000.00;Subscrição particular;3309605;6619210;9928815;47.22638402;R$ por Unidade;0.02014340;;
00.272.185/0001-93;2022-01-01;5;126988;CIMS S.A.;372681;2020-02-28;AGE;2020-02-28;150000.00;Subscrição particular;2482204;4964408;7446612;24.05804600;R$ por Unidade;0.02000000;;
00.272.185/0001-93;2022-01-01;5;126988;CIMS S.A.;372682;2021-02-12;AGE;2021-02-12;60000.00;Subscrição particular;992881;1985762;2978643;7.75702422;R$ por Unidade;0.02014340;;Moeda corrente nacional.
