CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Politica;Cargo_Pessoa_Vinculada
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;50869;1.1. A própria Companhia 1.2 Órgãos com funções técnicas 1.3 Acionista controlador 1.4. Estatutários, Auditor Geral e Ouvidor 1.5. Todas as pessoas que: Seção 20 - Política de Negociação de Valores Mobiliários a) ocupem cargos que tenham acesso, mesmo que durante a execução de trabalho temporário, às informações que possam ensejar ato ou fato relevante no BB e em empresas Controladas. b) tenham relação comercial, profissional ou de confiança e que detenham conhecimento sobre informação contábil, estratégica ou qualquer outra informação sobre nossos negócios que possam ensejar ato ou fato relevante. 1.6. Respectivos cônjuges dos quais não estejam separados judicial ou extrajudicialmente, de companheiros e quaisquer dependentes incluídos na declaração de Imposto de Renda.
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;50872;São pessoas vinculadas à companhia, o acionista ou o grupo de acionistas vinculado por acordo de acionistas ou sob controle comum que exerça o poder de controle, direto ou indireto, da Companhia, nos termos da Lei nº 6.404/1976, conforme alterada, os administradores, os conselheiros fiscais, quaisquer executivos, terceirizados ou colaboradores da Companhia, de suas controladas e coligadas que, em virtude de seu cargo, função ou posição tenham acesso a qualquer informação privilegiada da Companhia, os membros de quaisquer órgãos com funções técnicas ou consultivas, criados por disposição estatutária, assim como os acionistas controladores, diretos e indiretos, sociedades controladas e as pessoas que, em virtude de seu cargo, função ou posição possam ter acesso permanente ou eventual de informação privilegiada sobre a Companhia, e que tenham aderido à Política de Negociação de Valores Mobiliários ("Pessoas Vinculadas").
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;50836;(i) acionistas controladores dir. e ind. (ii) adm. da Eletrobras/controladas (iii) CA e do CF da Eletrobras/controladas (iv) Companhia (v) membros de órgãos com funções técnicas ou consultivas, criados ou que venham a ser criados por disposição estatutária da Eletrobras/ controladas (vi) empregados, e assistentes da Eletrobras ou controladas que tenham acesso ou conhecimento de informações privilegiadas (vii) adm. que se afastam da Eletrobras e de suas controladas durante o período em que detiverem quaisquer informações privilegiadas ou nas demais hipóteses previstas na Política de Divulgação, (viii) quem quer que, em virtude de seu cargo, função ou posição na Eletrobras, nos acionistas controladores/sociedades controladas/coligadas, tenha conhecimento sobre informação privilegiada e (ix) pessoas que tenham relação comercial, profissional ou de confiança da Eletrobras/controladas, seus respectivos empregados e representantes, que tenham tido acesso à informação privilegiada .
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;50433;Acionistas controladores, conselheiros, diretores e gestores
00.080.671/0001-00;2022-01-01;3;120092;CARAMURU ALIMENTOS S.A.;48163;São as pessoas indicadas no artigo 13 da Resolução CVM 44, incluindo a Companhia, os acionistas controladores, diretores, membros do conselho de administração, membros do conselho fiscal e de quaisquer órgãos com funções técnicas ou consultivas, criados por disposição estatutária, ou por quem quer que, em virtude do seu cargo, função ou posição na Companhia, suas Subsidiárias, controladora ou coligadas, tiver aderido expressamente ao Termo de Adesão e tenha conhecimento de Informação Privilegiada sobre a Companhia, bem como aqueles que tenham conhecimento da Informação Privilegiada e que tenham relação comercial, profissional ou de confiança com a Companhia, tais como auditores independentes, analistas de valores mobiliários, consultores e instituições integrantes do sistema de distribuição.
00.194.724/0001-13;2022-01-01;3;126044;AUREN OPERAÇÕES S.A.;50644;A Companhia, seus acionistas controladores, diretos ou indiretos, membros do conselho de administração, diretores, membros do conselho fiscal, membros dos comitês ou de quaisquer órgãos com funções técnicas e consultivas, criados por disposição estatutária, empregados da Companhia que, em virtude de seu cargo, função ou posição, ou circunstancialmente, tenham acesso a Informações Relevantes, quem quer que, em virtude de seu cargo, função ou posição nos Acionistas Controladores, nas sociedades controladas e nas sociedades coligadas, tenha acesso ou conhecimento de informações relevantes, prestadores de serviços e qualquer pessoa que tenha aderido expressamente à Política de Negociação de Valores Mobiliários de Emissão da Companhia ("Pessoas Vinculadas").
00.242.184/0001-04;2022-01-01;7;126992;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;50818;Diretores, membros do Conselho de Administração, do Conselho Fiscal (caso instalado), e de quaisquer órgãos com funções técnicas ou consultivas criados por disposição estatutária, bem como seus cônjuges não separados judicialmente, companheiro ou dependente incluído na declaração anual de imposto de renda, e sociedades por elas controladas, direta ou indiretamente, nos temos do artigo 11 da Instrução da Comissão de Valores Mobiliários nº 358, de 03 de janeiro de 2002, e pela Companhia.
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;50925;A Política de Divulgação de Atos e Fatos Relevantes e Negociação de Valores Mobiliários aplica-se a toda a Telebras e especificamente ao acionista controlador, membros do Conselho de Administração, da Diretoria Executiva, do Conselho Fiscal, empregados com acesso a informação relevante e Consultores.
00.359.742/0001-08;2022-01-01;5;125676;FICTOR ALIMENTOS S.A.;50481;Acionistas Controladores, diretores, membros do conselho de administração, Conselheiros Fiscais e membros de quaisquer outros órgãos com funções técnicas ou consultivas criados por disposição estatutária, pelas Controladas e Coligadas da Companhia, e por quem quer que, em virtude de seu cargo, função ou posição no Controlador, nas Controladas ou nas Coligadas da Companhia, tenha ou possa vir a ter acesso a Informação Relevante. As demais pessoas expressamente indicadas pelo Diretor de Relações com Investidores (DRI), a seu exclusivo critério, incluindo empregados, traders que utilizam mesa proprietária, demais colaboradores e outros acionistas da Companhia e/ou de suas Controladas ou Coligadas, que tenham ou possam vir a ter acesso a Informação Relevante.
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;49000;Indicados no artigo 13 da Instrução CVM 358,inclusive o Banco,seus acionistas controladores diretos e indiretos,Diretores,membros do Conselho de Administração,do Conselho Fiscal,e de outros órgãos com funções técnicas ou consultivas,criados por disposição estatutária,ou por quem,em virtude do cargo,função ou posição no Banco,sua controladora,controladas ou coligadas,tenham conhecimento à Informação Relevante,ou tenha conhecimento de Informação Relevante sabendo que se trata de informação ainda não divulgada ao mercado,em especial àqueles que tenham relação comercial,profissional ou e confiança com o Banco,como auditores independentes,analistas de valores mobiliários,consultores e instituições integrantes do sistema de distribuição que tenham aderido à Política de Negociação e estejam obrigados à observância das regras nela descritas,ou,ainda,qualquer pessoa que,nos termos da Instrução CVM 358,mesmo não tendo aderido à Política de Negociação,tenha conhecimento da Informação Relevante.
