CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Tipo_Obrigacao;Tipo_Garantia;Descricao_Outras_Garantias;Divida_Inferior_1_Ano;Divida_1a3Anos;Divida_3a5Anos;Divida_Superior_5Anos;Divida_Total;Observacao
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2021-01-01;2021-12-31;Empréstimo;Quirografárias;;12509047493.23;1377575996.65;599541519.97;0.00;14486165009.85;
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2021-01-01;2021-12-31;Títulos de dívida;Quirografárias;;54857398786.13;72041209594.04;12815100064.00;36732726883.00;176446435327.17;
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;2021-01-01;2021-12-31;Títulos de dívida;Quirografárias;;3702476891.89;892496582.23;92090368.27;5192439661.73;9879503504.12;
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Empréstimo;Garantia Real;;1270931936.11;598748599.39;87251408.68;107244723.22;2064176667.40;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Empréstimo;Quirografárias;;2939434068.90;5459398620.31;1779519853.86;526811272.55;10705163815.62;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Financiamento;Garantia Real;;1002208756.83;1329784534.86;1206696177.35;5909520618.71;9448210087.75;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Financiamento;Quirografárias;;739000960.27;916378601.47;476501011.09;1115587953.59;3247468526.42;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Títulos de dívida;Garantia Real;;18204181.06;54826300.20;62223722.84;142079527.04;277333731.14;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Títulos de dívida;Quirografárias;;1852967666.54;3511110808.20;5330190981.84;7706719206.01;18400988662.59;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Empréstimo;Garantia Real;;918187313.37;586649425.15;74331382.52;91049915.02;1670218036.06;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Empréstimo;Quirografárias;;2367582162.84;5513486833.69;1771865482.69;498427763.78;10151362243.00;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Financiamento;Garantia Real;;791206803.34;1336388988.57;1213311640.62;5921859451.16;9262766883.69;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Financiamento;Quirografárias;;512585222.49;881044417.98;463536601.53;1083111955.68;2940278197.68;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Títulos de dívida;Garantia Real;;6243595.54;55244394.77;62741682.29;143849018.12;268078690.72;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Títulos de dívida;Quirografárias;;1875130667.47;3511110808.20;4917532902.88;7159564572.02;17463338950.57;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.080.671/0001-00;2022-01-01;3;120092;CARAMURU ALIMENTOS S.A.;2021-01-01;2021-12-31;Empréstimo;Quirografárias;;1806625208.71;596415727.51;119040979.49;100448000.00;2622529915.71;
00.080.671/0001-00;2022-01-01;3;120092;CARAMURU ALIMENTOS S.A.;2021-01-01;2021-12-31;Financiamento;Garantia Real;;26553264.28;41916883.28;11697232.34;13505502.87;93672882.77;
00.080.671/0001-00;2022-01-01;3;120092;CARAMURU ALIMENTOS S.A.;2021-01-01;2021-12-31;Títulos de dívida;Quirografárias;;85359333.88;241501739.45;191988528.21;70994600.00;589844201.54;
00.192.769/0001-59;2022-01-01;1;116220;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2021-01-01;2021-12-31;Títulos de dívida;Garantia Real;;4625.47;17711131.63;0.00;70164985.00;87880742.10;
00.194.724/0001-13;2022-01-01;3;126044;AUREN OPERAÇÕES S.A.;2021-01-01;2021-12-31;Empréstimo;Garantia Real;;115660000.00;296750000.00;166920000.00;254650000.00;833980000.00;
