CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Numero_Membros;Numero_Membros_Remunerados;Valor_Maior_Remuneracao;Valor_Menor_Remuneracao;Valor_Medio_Remuneracao;Observacao
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;32.67;42.25;1250448.03;931191.97;1015827.23;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 283.645,38 por 4,25, para o Conselho Fiscal é a razão de R$ 366.983,48por 5,08 e da Diretoria Executiva é a razão de R$ 42.918.700,60 por 42,25. Os divisores correspondem ao número de membros remunerados de cadaórgão.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2021-01-01;2021-12-31;Conselho de Administração;8.00;4.25;71256.40;48188.52;66740.09;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 283.645,38 por 4,25, para o Conselho Fiscal é a razão de R$ 366.983,48por 5,08 e da Diretoria Executiva é a razão de R$ 42.918.700,60 por 42,25. Os divisores correspondem ao número de membros remunerados de cadaórgão.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2021-01-01;2021-12-31;Conselho Fiscal;5.00;5.08;75791.11;71263.41;72240.84;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 283.645,38 por 4,25, para o Conselho Fiscal é a razão de R$ 366.983,48por 5,08 e da Diretoria Executiva é a razão de R$ 42.918.700,60 por 42,25. Os divisores correspondem ao número de membros remunerados de cadaórgão.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2020-01-01;2020-12-31;Conselho de Administração;7.58;4.42;71079.18;71072.26;70668.73;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 312.355,78 por 4,42, para o Conselho Fiscal é a razão de R$331.960,48 por 4,84 e da Diretoria Executiva é a razão de R$ 48.951.217,74 por 41,17. Os divisores correspondem ao número de membrosremunerados de cada órgão.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2020-01-01;2020-12-31;Conselho Fiscal;4.50;4.84;71072.26;71072.26;68586.88;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 312.355,78 por 4,42, para o Conselho Fiscal é a razão de R$331.960,48 por 4,84 e da Diretoria Executiva é a razão de R$ 48.951.217,74 por 41,17. Os divisores correspondem ao número de membrosremunerados de cada órgão.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;33.50;41.17;1449159.72;931191.17;1189002.13;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 312.355,78 por 4,42, para o Conselho Fiscal é a razão de R$331.960,48 por 4,84 e da Diretoria Executiva é a razão de R$ 48.951.217,74 por 41,17. Os divisores correspondem ao número de membrosremunerados de cada órgão.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2019-01-01;2019-12-31;Conselho Fiscal;3.83;4.75;71382.48;71382.48;74262.83;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 306.548,08 por 4,25, para o Conselho Fiscal é a razão de R$352.748,43 por 4,75 e da Diretoria Executiva é a razão de R$ 53.939.042,17 por 42,42. Os divisores correspondem ao número de membrosremunerados de cada órgão.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2019-01-01;2019-12-31;Diretoria Estatutária;35.75;42.42;1372435.43;999361.79;1271547.43;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 306.548,08 por 4,25, para o Conselho Fiscal é a razão de R$352.748,43 por 4,75 e da Diretoria Executiva é a razão de R$ 53.939.042,17 por 42,42. Os divisores correspondem ao número de membrosremunerados de cada órgão.
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;2019-01-01;2019-12-31;Conselho de Administração;7.00;4.25;48579.74;24587.30;72128.96;1 - O valor médio apurado para o Conselho de Administração é a razão de R$ 306.548,08 por 4,25, para o Conselho Fiscal é a razão de R$352.748,43 por 4,75 e da Diretoria Executiva é a razão de R$ 53.939.042,17 por 42,42. Os divisores correspondem ao número de membrosremunerados de cada órgão.
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;2021-01-01;2021-12-31;Conselho de Administração;9.00;9.00;114609.69;114609.69;149544.68;
