CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Plano_Recompra;Especie_Acao;Tipo_Classe_Acao_Preferencial;Quantidade_Adquirida;Escala_Cotacao;Quantidade_Prevista;Valor_Preco_Medio;Percentual_Previsto;Percentual_Adquirido
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;46797;Ordinária;;0;R$ por Unidade;1730000;0.00;3.950000;0.000000
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;46798;Ordinária;;0;R$ por Unidade;1000000;0.00;2.150000;0.000000
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;46799;Ordinária;;280000;R$ por Unidade;1000000;13.89;2.240000;28.000000
42.771.949/0001-35;2022-01-01;24;126973;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;46800;Ordinária;;690000;R$ por Unidade;1000000;15.30;2.230000;69.000000
43.470.988/0001-65;2022-01-01;9;126168;EVEN CONSTRUTORA E INCORPORADORA S.A.;46690;Ordinária;;3000000;R$ por Unidade;3000000;8.57;1.480000;100.000000
43.470.988/0001-65;2022-01-01;9;126168;EVEN CONSTRUTORA E INCORPORADORA S.A.;46691;Ordinária;;4139307;R$ por Unidade;4139307;5.98;2.000000;99.999831
43.470.988/0001-65;2022-01-01;9;126168;EVEN CONSTRUTORA E INCORPORADORA S.A.;46692;Ordinária;;2831400;R$ por Unidade;10390345;4.82;5.000000;27.250000
43.470.988/0001-65;2022-01-01;9;126168;EVEN CONSTRUTORA E INCORPORADORA S.A.;46693;Ordinária;;6201277;R$ por Unidade;11524212;4.05;5.000000;53.810000
43.470.988/0001-65;2022-01-01;9;126168;EVEN CONSTRUTORA E INCORPORADORA S.A.;46694;Ordinária;;11664670;R$ por Unidade;11664670;3.84;5.000000;100.000000
43.470.988/0001-65;2022-01-01;9;126168;EVEN CONSTRUTORA E INCORPORADORA S.A.;46695;Ordinária;;11188811;R$ por Unidade;11188811;5.74;4.800000;100.000000
45.242.914/0001-05;2022-01-01;4;127200;C&A MODAS S.A.;46899;Ordinária;;981300;R$ por Unidade;5300000;4.34;4.980000;18.515094
47.960.950/0001-21;2022-01-01;5;126359;MAGAZINE LUIZA S.A.;46728;Ordinária;;40000000;R$ por Unidade;40000000;16.14;1.415698;100.000000
47.960.950/0001-21;2022-01-01;5;126359;MAGAZINE LUIZA S.A.;46729;Ordinária;;40000000;R$ por Unidade;40000000;22.27;1.494833;100.000000
47.960.950/0001-21;2022-01-01;5;126359;MAGAZINE LUIZA S.A.;46730;Ordinária;;27070000;R$ por Unidade;144000000;8.68;6.639711;18.798610
50.746.577/0001-15;2022-01-01;10;125763;COSAN S.A.;46532;Ordinária;;77366416;R$ por Unidade;110000000;18.04;9.390000;70.330000
50.746.577/0001-15;2022-01-01;10;125763;COSAN S.A.;46533;Ordinária;;68000000;R$ por Unidade;68000000;17.61;5.890000;100.000000
50.746.577/0001-15;2022-01-01;10;125763;COSAN S.A.;46534;Ordinária;;39748012;R$ por Unidade;40000000;15.10;3.350000;99.370000
50.746.577/0001-15;2022-01-01;10;125763;COSAN S.A.;46535;Ordinária;;6291200;R$ por Unidade;10000000;50.64;7.368930;62.912000
51.466.860/0001-56;2022-03-31;9;119314;SAO MARTINHO S.A.;43970;Ordinária;;4427600;R$ por Unidade;10000000;18.76;6.801899;44.276000
51.466.860/0001-56;2022-03-31;9;119314;SAO MARTINHO S.A.;43971;Ordinária;;7992600;R$ por Unidade;8000000;18.24;5.210000;99.907500
52.548.435/0001-79;2022-01-01;5;122240;JSL S.A.;44895;Ordinária;;0;R$ por Unidade;0;0.00;0.000000;0.000000
52.548.435/0001-79;2022-01-01;5;122240;JSL S.A.;44896;Ordinária;;0;R$ por Unidade;3688783;0.00;6.700000;0.000000
53.113.791/0001-22;2022-01-01;8;125611;TOTVS S.A.;46481;Ordinária;;4000000;R$ por Unidade;4000000;27.33;0.772419;100.000000
53.113.791/0001-22;2022-01-01;8;125611;TOTVS S.A.;46482;Ordinária;;4000000;R$ por Unidade;4000000;27.22;0.767016;100.000000
53.113.791/0001-22;2022-01-01;8;125611;TOTVS S.A.;46483;Ordinária;;5100900;R$ por Unidade;9000000;18.57;1.854360;56.676666
58.119.199/0001-51;2022-01-01;8;125319;ODONTOPREV S.A.;46315;Ordinária;;300000;R$ por Unidade;10000000;10.23;3.780000;3.000000
58.119.199/0001-51;2022-01-01;8;125319;ODONTOPREV S.A.;46316;Ordinária;;10000000;R$ por Unidade;10000000;13.06;3.800000;100.000000
58.119.199/0001-51;2022-01-01;8;125319;ODONTOPREV S.A.;46317;Ordinária;;2569300;R$ por Unidade;2716074;16.26;1.030000;94.596097
58.119.199/0001-51;2022-01-01;8;125319;ODONTOPREV S.A.;46318;Ordinária;;4557752;R$ por Unidade;4666000;15.16;1.800000;97.680000
58.430.828/0001-60;2022-01-01;9;125381;BLAU FARMACÊUTICA S.A.;46342;Ordinária;;0;R$ por Unidade;4484848;0.00;2.500000;0.000000
59.285.411/0001-13;2022-01-01;16;126950;BCO PAN S.A.;46788;Preferencial;Preferencial Classe A;0;R$ por Unidade;40000000;0.00;3.062007;0.000000
59.418.806/0001-47;2022-01-01;17;125407;TRACK & FIELD CO S.A.;46363;Preferencial;;255200;R$ por Unidade;3322903;9.20;5.750000;9.280000
59.717.553/0001-02;2022-01-01;9;127230;GRUPO MULTI S.A.;46918;Ordinária;;0;R$ por Unidade;17231323;0.00;10.000000;0.000000
60.500.139/0001-26;2022-01-01;7;125239;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;46267;Ordinária;;0;R$ por Unidade;510173;0.00;10.000000;0.000000
60.500.139/0001-26;2022-01-01;7;125239;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;46267;Preferencial;;0;R$ por Unidade;1581128;0.00;8.350000;0.000000
60.543.816/0001-93;2022-01-01;11;125690;IGUATEMI S.A.;46501;Ordinária;;0;R$ por Unidade;3007885;0.00;1.309497;0.000000
60.543.816/0001-93;2022-01-01;11;125690;IGUATEMI S.A.;46501;Preferencial;;0;R$ por Unidade;1066610;0.00;0.296311;0.000000
60.746.948/0001-12;2022-01-01;22;127227;BCO BRADESCO S.A.;46912;Ordinária;;0;R$ por Unidade;53413506;0.01;3.669846;0.000000
60.746.948/0001-12;2022-01-01;22;127227;BCO BRADESCO S.A.;46912;Preferencial;;0;R$ por Unidade;53171375;0.01;1.041982;0.000000
60.746.948/0001-12;2022-01-01;22;127227;BCO BRADESCO S.A.;46913;Ordinária;;0;R$ por Unidade;48705792;0.01;3.621566;0.000000
