CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Data_Encerramento;Variacao_Percentual_Valor_Contabil;Variacao_Percentual_Valor_Mercado;Valor_Montante_Dividendos_Recebidos
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;721582;2021-12-31;16.83758300;0.00000000;10086650.46
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;721582;2020-12-31;29.72180400;0.00000000;19954773.51
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;721582;2019-12-31;32.79786800;0.00000000;16581587.49
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;721583;2022-12-31;0.00000000;0.00000000;0.00
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;721583;2021-12-31;137.58764500;0.00000000;169685431.23
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;721583;2020-12-31;1.14384600;0.00000000;86014657.57
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;721583;2019-12-31;18.67672200;0.00000000;30679103.12
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721175;2022-12-31;0.00000000;8.76000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721175;2021-12-31;-80.00000000;-33.03000000;9967951.24
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721175;2020-12-31;376.17000000;-2.04000000;59419722.93
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721175;2019-12-31;13.91000000;62.67000000;25715077.39
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721176;2022-12-31;0.00000000;0.00000000;1477448.82
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721176;2021-12-31;0.00000000;-6.02000000;15574414.49
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721176;2020-12-31;0.00000000;11.17000000;12399087.99
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721176;2019-12-31;0.00000000;59.89000000;12193095.55
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721177;2022-12-31;14.31000000;0.00000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721177;2021-12-31;0.00000000;0.00000000;30889256.17
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721177;2020-12-31;0.00000000;0.00000000;28268326.71
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721177;2019-12-31;0.00000000;0.00000000;23202518.15
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721178;2022-12-31;0.00000000;8.79000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721178;2021-12-31;85.07000000;24.39000000;13150372.69
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721178;2020-12-31;0.00000000;6.13000000;7113913.51
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721178;2019-12-31;0.00000000;3.27000000;4373723.84
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721179;2022-12-31;0.25000000;0.00000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721179;2021-12-31;0.00000000;0.00000000;709315671.54
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721179;2020-12-31;0.00000000;0.00000000;1422382479.38
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721179;2019-12-31;0.19000000;0.00000000;1983800968.22
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721180;2022-12-31;0.00000000;23.05000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721180;2021-12-31;6.75000000;46.52000000;8962884.54
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721180;2020-12-31;0.00000000;-1.31000000;6117354.15
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721180;2019-12-31;0.00000000;25.54000000;2690188.10
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721181;2022-12-31;0.00000000;12.58000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721181;2021-12-31;36.54000000;-13.71000000;16434717.28
