CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Aumento;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes
60.651.809/0001-05;2022-01-01;5;126959;SUZANO HOLDING S.A.;372564;Preferencial Classe B;29320330
61.022.042/0001-18;2022-01-01;11;125535;CONSTRUTORA ADOLPHO LINDENBERG S.A.;369748;Preferencial Classe A;202079
61.088.894/0001-08;2022-01-01;3;126488;CAMBUCI S.A.;372155;Preferencial Classe A;925582
61.088.894/0001-08;2022-01-01;3;126488;CAMBUCI S.A.;372156;Preferencial Classe A;222353
62.002.886/0001-60;2022-01-01;9;126964;SAO PAULO TURISMO S.A.;372576;Preferencial Classe A;6503
62.002.886/0001-60;2022-01-01;9;126964;SAO PAULO TURISMO S.A.;372576;Preferencial Classe B;11623
62.002.886/0001-60;2022-01-01;9;126964;SAO PAULO TURISMO S.A.;372577;Preferencial Classe A;169
62.002.886/0001-60;2022-01-01;9;126964;SAO PAULO TURISMO S.A.;372577;Preferencial Classe B;3627
76.627.504/0001-06;2022-01-01;10;127101;INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL;373226;Preferencial Classe A;4641020
84.693.183/0001-68;2022-01-01;3;124814;SCHULZ S.A.;367503;Preferencial Classe U;14620144
84.693.183/0001-68;2022-01-01;3;124814;SCHULZ S.A.;367504;Preferencial Classe U;51170504
84.693.183/0001-68;2022-01-01;3;124814;SCHULZ S.A.;367505;Preferencial Classe U;102341008
