CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Desdobramento;Data_Aprovacao;Tipo_Evento;Quantidade_Acoes_Ordinarias_Antes_Aprovacao;Quantidade_Acoes_Preferenciais_Antes_Aprovacao;Quantidade_Total_Acoes_Antes_Aprovacao;Quantidade_Acoes_Ordinarias_Depois_Aprovacao;Quantidade_Acoes_Preferenciais_Depois_Aprovacao;Quantidade_Total_Acoes_Depois_Aprovacao
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;31647;2020-08-03;Desdobramento;28014650;8290000;36304650;280146500;82900000;363046500
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;31393;2021-10-14;Desdobramento;7184178;7232205;14416383;35920890;36161025;72081915
00.242.184/0001-04;2022-01-01;7;126992;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;31616;2021-07-02;Desdobramento;1182510;0;1182510;283802400;0;283802400
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;31686;2016-04-04;Grupamento;88695913;21002999;109698912;9743971;2100229;11884270
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;30486;2018-03-12;Desdobramento;6030415;5867641;11898056;36182490;35205846;71388336
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;30487;2019-06-26;Desdobramento;50767085;50767082;101534167;304602510;304602492;609205002
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;30488;2021-04-28;Desdobramento;50767085;50767082;101534167;1150356087;1142977848;2293333935
00.545.378/0001-70;2022-01-01;6;135072;SERRA AZUL WATER PARK SA;31709;2017-01-01;Bonificação;29188116;0;29188116;29188116;0;29188116
00.924.429/0001-75;2022-01-01;7;123538;FERROVIA CENTRO-ATLANTICA S.A.;30959;2017-04-28;Grupamento;367645433926725;66665012;367645500591737;110293641;19;110293660
01.083.200/0001-18;2022-01-01;9;126025;NEOENERGIA S.A.;31497;2017-10-26;Grupamento;7504760443;0;7504760443;1000000000;0;1000000000
01.545.826/0001-07;2022-01-01;13;125981;GAFISA S.A.;31488;2017-02-20;Grupamento;378066162;0;378066162;28040162;0;28040162
01.545.826/0001-07;2022-01-01;13;125981;GAFISA S.A.;31489;2022-08-10;Grupamento;337445227;0;337445227;37883658;0;37883658
01.599.101/0001-93;2022-01-01;33;126901;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;31593;2020-09-15;Grupamento;4942408361;0;4942408361;98848161;0;98848161
02.193.750/0001-52;2022-01-01;5;127063;DEXXOS PARTICIPAÇÕES S.A.;31640;2020-09-10;Desdobramento;5882782;384787;6267569;29413910;1923935;31337845
02.193.750/0001-52;2022-01-01;5;127063;DEXXOS PARTICIPAÇÕES S.A.;31641;2021-08-11;Desdobramento;29413910;1923935;31337845;88241730;5771805;94013535
02.351.877/0001-52;2022-01-01;22;126272;LWSA S/A;31555;2021-01-26;Desdobramento;126815443;0;126815443;507261772;0;507261772
02.421.421/0001-11;2022-01-01;9;125541;TIM S.A.;31392;2020-07-02;Grupamento;42296789606;0;42296789606;422967896;0;422967896
02.474.103/0001-19;2022-01-01;7;126050;ENGIE BRASIL ENERGIA S.A.;31505;2018-12-07;Bonificação;652742192;0;652742192;815927740;0;815927740
02.591.787/0001-39;2022-01-01;2;122861;CAPITALPART PARTICIPACOES S.A.;30733;2016-04-29;Grupamento;14324371;0;14324371;143243;0;143243
02.635.522/0001-95;2022-03-31;8;120081;JALLES MACHADO S.A.;29941;2020-12-31;Desdobramento;456199;0;456199;228099500;0;228099500
02.950.811/0001-89;2022-01-01;27;127214;PDG REALTY S.A. EMPREEND E PARTICIPACOES;31675;2019-08-23;Grupamento;80669550;0;80669550;8066955;0;8066955
02.950.811/0001-89;2022-01-01;27;127214;PDG REALTY S.A. EMPREEND E PARTICIPACOES;31676;2023-02-01;Grupamento;322186437;0;322186437;3221864;0;3221864
02.998.611/0001-04;2022-01-01;8;126090;ISA ENERGIA BRASIL;31516;2019-04-04;Desdobramento;64484433;100236393;164720826;257937732;400945572;658883304
03.014.553/0001-91;2022-01-01;5;127007;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;31618;2023-04-27;Grupamento;176000000;0;176000000;44000000;0;44000000
03.220.438/0001-73;2022-01-01;7;127055;EQUATORIAL S.A.;31637;2019-11-27;Desdobramento;202037217;0;202037217;1010186085;0;1010186085
03.303.999/0001-36;2022-01-01;3;122813;DTCOM - DIRECT TO COMPANY S.A.;30716;2016-05-17;Grupamento;73387560;4506559;77894119;7338756;450655;7789411
03.342.704/0001-30;2022-01-01;16;124104;PETRORECÔNCAVO S.A.;31117;2021-04-01;Desdobramento;83911766;0;83911766;167823532;0;167823532
03.378.521/0001-75;2022-01-01;22;127408;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;31693;2021-04-29;Grupamento;372555324;0;372555324;3725553;0;3725553
03.378.521/0001-75;2022-01-01;22;127408;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;31694;2021-04-29;Desdobramento;3725553;0;3725553;372555324;0;372555324
03.494.776/0001-01;2022-01-01;4;126180;AMMO VAREJO S.A.;31538;2021-07-27;Desdobramento;430382917;0;430382917;143460972;0;143460972
03.494.776/0001-01;2022-01-01;4;126180;AMMO VAREJO S.A.;31539;2021-09-02;Desdobramento;143460972;0;143460972;47820324;0;47820324
03.847.461/0001-92;2022-01-01;6;125994;BRADESPAR S.A.;31493;2021-09-14;Bonificação;122171449;225862596;348034045;137989898;255106712;393096610
04.032.433/0001-80;2022-01-01;13;126515;CONTAX PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;31570;2016-04-20;Grupamento;345767870;0;345767870;3457678;0;3457678
04.032.433/0001-80;2022-01-01;13;126515;CONTAX PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;31571;2019-07-11;Grupamento;83941451;0;83941451;2798048;0;2798048
04.065.791/0001-99;2022-01-01;9;126512;SINQIA S.A.;31569;2019-09-12;Desdobramento;17637203;0;17637203;70548812;0;70548812
04.065.791/0001-99;2022-03-31;1;113796;SINQIA S.A.;27851;2019-09-12;Desdobramento;17637203;0;17637203;70548812;0;70548812
04.423.567/0001-21;2022-01-01;17;127252;ENEVA S.A;31688;2021-03-11;Desdobramento;316273504;0;316273504;1265094016;0;1265094016
