CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Politica;Data_Aprovacao;Orgao_Aprovacao;Principais_Caracteristicas;Vedacao_Procedimentos_Fiscalizacao
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;50869;2023-04-13 00:00:00.000;Conselho de Administração do Banco;Devido o tamanho da descrição extrapolar o limite do EmpresasNet, esta seção está no arquivo PDF da seção 20.2;Devido o tamanho da descrição extrapolar o limite do EmpresasNet, esta seção está no arquivo PDF da seção 20.2
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;50872;2022-02-25 00:00:00.000;Conselho de Administração;A Política de Negociação de Valores Mobiliários de Emissão do BRB - Banco de Brasília S.A. tem como objetivo, estabelecer os procedimentos e diretrizes que deverão ser adotados por todos os empregados e pessoas vinculadas, de acordo com as normas e/ou legislação estabelecidas pelos Órgãos Reguladores ou disposição estatutária. Firma, ainda, compromisso de transparência e equidade de tratamento em toda e qualquer negociação de ativos de Emissão do Banco. Tem por finalidade, ainda, coibir e punir a prática de insider trading (uso indevido em benefício próprio ou de terceiros de informações privilegiadas) e tipping (dicas de informações privilegiadas para que terceiros delas se beneficiem).Pode ser consultada pelos websites da Comissão de Valores Mobiliários ("CVM") (www.cvm.gov.br) e de relações com investidores do Banco (http://ri.brb.com.br);No período de 15 dias que anteceder a divulgação das informações trimestrais (ITR) e anuais (Formulário de Referência e DFP) no período de 15 dias que anteceder os eventos corporativos, com datas disponíveis nos sítios do Banco e da CVM durante o período de silêncio entre as datas da deliberação do órgão competente de aumentar o capital social, distribuir dividendos e pagar juros sobre o capital próprio, e a publicação dos respectivos editais ou anúncios. Qualquer violação ao disposto na Política sujeitará o infrator às sanções disciplinares, de acordo com as normas internas, sem prejuízo das sanções administrativas, civis e penais cabíveis.
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;50836;2022-04-13 00:00:00.000;Conselho de Administração;A Política de Divulgação de Informações Relevantes e de Negociação de Valores Mobiliários das Empresas Eletrobras ("Política de Divulgação") estabelece e disciplina as práticas obrigatórias para divulgação de Informações Relevantes (conforme definido na Política de Divulgação) no âmbito da Eletrobras e suas controladas, assim como para a negociação de valores mobiliários de sua emissão, na pendência de Informação Relevante não divulgada, e para a divulgação de informações sobre a negociação de valores mobiliários, visando estabelecer regras e procedimentos a serem obrigatoriamente observados pelas Pessoas Sujeitas (conforme definido na Política de Divulgação), relativos à divulgação de Informação Relevante, manutenção de sigilo e acesso às Informações Privilegiadas, nos termos da Resolução CVM n.º44, de 24 de agosto de 2021, conforme alterada ("Resolução CVM 44"), negociações de valores mobiliários, de acordo com os dispositivos legais, estatutários e demais regulamentos internos, evitando o uso indevido de Informações Privilegiadas e assegurando o tratamento equitativo aos investidores da Eletrobras.As Pessoas Vinculadas deverão firmar termo de adesão à Política de Divulgação, na forma do art. 17, §1º da Resolução CVM n.º 44.Para mais informações consulte a Política de Divulgação e Uso de Informações Relevantes e de Negociação de Valores Mobiliários da Eletrobras disponível no site da Companhia https://eletrobras.com/pt/Paginas/Estatuto-Politicas-e-Manuais.aspx.;Antes da divulgação ao mercado, pela Eletrobras, de Informação Relevante ocorrida nos negócios da Eletrobras ou controladas, nos termos da Resolução CVM n.º 44, é vedada a negociação com valores mobiliários de emissão da Eletrobras ou de controladas, ou a eles referenciados, pela própria Eletrobras ou pelas Pessoas Vinculadas. A vedação prevista também deve prevalecer: (a) se existir a intenção de promover incorporação, cisão total ou parcial, fusão, transformação ou reorganização societária ou combinação de negócios, mudança no controle da Companhia inclusive por meio de celebração, alteração ou rescisão de acordo de acionistas, decisão de promover o cancelamento de registro da companhia aberta ou mudança no ambiente ou segmento de negociação das ações de sua emissão, a partir do momento em que iniciados estudos ou análises relativos à matéria (b) em relação aos acionistas controladores, diretos ou indiretos e administradores sempre que estiver em curso a aquisição ou a alienação de ações de emissão da Eletrobras pela própria Eletrobras, suas controladas, coligadas ou outra sociedade sob controle comum, ou se houver sido outorgada opção ou mandato para o mesmo fim e, (c) se forem iniciados estudos ou análises para pedido de recuperação judicial ou extrajudicial e de falência efetuados pela própria Companhia.As vedações se aplicam também aos administradores que se afastem da administração da Eletrobras ou de suas empresas controladas, conforme o caso, antes da divulgação pública de negócio ou fato iniciado durante seu período de gestão, e se estende pelo prazo de três meses após o seu afastamento.Ainda, é vedada a negociação com os valores mobiliários, ou a eles referenciados, pela própria Eletrobras, seus acionistas controladores, seus diretores, seus membros do conselho de administração e do seu conselho fiscal, no período de 15 dias, que anteceder a data da divulgação das informações contábeis trimestrais e demonstrações financeiras anuais da Eletrobras, ressalvadas as exceções previstas em lei ou na referida Política de Divulgação, independentemente do conhecimento por tais pessoas, do conteúdo das informações contábeis trimestrais e das demonstrações financeiras anuais da Companhia. As presunções, vedações e obrigações de comunicações estabelecidas na Política de Divulgação se aplicam:(i)às negociações realizadas em Bolsas de Valores e em mercado de balcão, organizado ou não organizado, bem como às realizadas sem a interveniência de instituição integrante do sistema de distribuição(ii)às negociações realizadas direta ou indiretamente, quer tais negociações se deem por intermédio de sociedades controladas, quer por meio de terceiros com quem for mantido contrato de fidúcia ou administração de carteira ou ações(iii)às negociações realizadas por conta própria ou de terceiros(iv)às operações de aluguel de valores mobiliários e(v)a negociação de bonds.Para fins do disposto acima, não são consideradas negociações indiretas ou por conta de terceiros, aquelas realizadas por fundos de investimento de que sejam cotistas as pessoas sujeitas à Política de Divulgação, desde que tais fundos não sejam exclusivos e as decisões de negociação do administrador ou gestor do fundo não possam ser influenciadas pelos cotistas.
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;50433;2002-07-30 00:00:00.000;Conselho de Administração;As empresas de capital aberto, buscando ser transparentes, devem fornecer informações relevantes e verdadeiras ao mercado de capitais. Servindo ao interesse de seus acionistas e interessados, como um parte fundamental de seu dever, deve ser fornecida um ampla extensão de informações corporativas e estas informações deveem ser tratadas com responsabilidade e integridade.Também, para evitar o privilégio de informação, antes da divulgação aomercado de capitais de ato ou fato relevante ocorrido nos negócios da Cia é vedada à administração da Cia e suas partes relacionadas, aos controladores e suas partes relacionadas, incluindo agregados técnicos e consultivos a negociação de valores mobiliários de emissão da Cia Aberta.;No minimo 5 anos.
00.080.671/0001-00;2022-01-01;3;120092;CARAMURU ALIMENTOS S.A.;48163;2021-05-03 00:00:00.000;Conselho de Administração;A Política de Divulgação de Informações e Negociação de Valores Mobiliários tem por objetivos: (i) estabelecer os procedimentos relacionados à divulgação de atos ou fatos relevantes (ii) estabelecer padrões de boa conduta que devem ser observados pelas Pessoas Vinculadas (iii) assegurar o cumprimento das leis e regras que coíbem a prática do Insider Trading e (iv) estabelecer as regras para assegurar a observância das melhores práticas para a negociação dos Valores Mobiliários emitidos pela Companhia.As proibições previstas na Política se aplicam a (i) negócios feitos nas Entidades do Mercado, bem como negócios feitos sem a intermediação de uma instituição integrante do sistema de distribuição e (ii) operações de empréstimo de Valores Mobiliários realizadas por Pessoas Vinculadas.As proibições disciplinadas na Política também se aplicam a negociações realizadas, direta ou indiretamente, por Pessoas Vinculadas ou Parentes Próximos, incluindo os casos em que esses negócios forem feitos por intermédio de:(a)sociedade controlada pelas pessoas mencionadas acima, direta ou indiretamente(b)terceiros com quem foi assinado um contrato de gestão, fideicomisso (trust) ou administração de carteira de investimentos em ativos financeiros(c)procuradores ou agentes(d)cônjuges dos quais eles não estejam separados judicial ou extrajudicialmente, companheiros(as) e quaisquer dependentes incluídos na sua declaração de ajuste anual do imposto sobre a renda de pessoa física e(e)quaisquer pessoas que tenham tido conhecimento de Informação Privilegiada, por meio de qualquer uma das pessoas impedidas de negociar, cientes de que elas ainda não foram divulgadas ao mercado.A negociação realizada por fundos de investimento, cujos cotistas são as pessoas mencionadas no item acima, não será considerada uma negociação indireta, desde que: (i) os fundos de investimento não sejam exclusivos e (ii) as decisões de negociação do administrador de fundos ou fundo de investimento não possam, de forma alguma, ser influenciadas por seus cotistas.A Política de Divulgação e Negociação pode ser consultada em nosso website (https://ri.caramuru.com/), bem como fisicamente em nossa sede social.;Além dos Períodos de Restrição à Negociação determinados pelas leis e regulamentações aplicáveis, o Diretor de Relações com Investidores poderá decidir sobre a imposição de Períodos de Restrição à Negociação. Nesse caso, ele deverá indicar claramente às Pessoas Vinculadas o início e o final da vigência desses Períodos de Restrição à Negociação adicionais.
00.194.724/0001-13;2022-01-01;3;126044;AUREN OPERAÇÕES S.A.;50644;2021-05-13 00:00:00.000;AGOE;A Companhia adota as regras estabelecidas na Instrução da CVM nº 358, de 3 de janeiro de 2002, conforme alterada ("Instrução CVM 358"), quanto à negociação de valores mobiliários de sua emissão. Sendo assim, as Pessoas Vinculadas são vedadas de negociar valores mobiliários de emissão da Companhia, incluindo operações com derivativos que envolvam valores mobiliários de emissão da Companhia, nos períodos e condições descritos abaixo. A Política de Negociação de Valores Mobiliários de Emissão da Companhia tem por finalidade registrar e esclarecer os critérios e procedimentos a serem empregados pelas Pessoas Vinculadas para evitar que os valores mobiliários sejam por elas negociados mediante a utilização de informação privilegiada, prevenindo, assim, a ocorrência da prática de insider trading, isto é, a utilização de informação privilegiada de que a Pessoa Vinculada tenha conhecimento e da qual deva manter sigilo, por força do disposto no artigo 155, parágrafos 1º a 4º, da Lei nº 6.404, de 15 de dezembro de 1976, conforme alterada e na Instrução CVM 358, capaz de propiciar, para si ou para outrem, vantagem indevida, mediante negociação, em nome próprio ou de terceiros, com valores mobiliários. A Política de Negociação de Valores Mobiliários de Emissão da Companhia pode ser acessada nos websites da Companhia (ri.aesbrasil.com.br), da CVM (www.cmv.gov.br) e da B3 S.A. - Brasil, Bolsa, Balcão (www.b3.com.br).;Nenhuma Pessoa Vinculada com acesso à informação privilegiada poderá negociar a qualquer tempo valores mobiliários de emissão da Companhia, independente de determinação do Diretor de Relações com Investidores, antes que tal informação seja divulgada ao mercado. As Pessoas Vinculadas não poderão negociar valores mobiliários de emissão da Companhia nos seguintes períodos: (i) no período de 15 (quinze dias anterior à divulgação das informações trimestrais (ITR) e anuais (DFP) da Companhia e no próprio dia da divulgação, enquanto a informação não se torna pública(ii) se houver intenção de promover fusão, incorporação, cisão total ou parcial, transformação ou reorganização societária envolvendo a Companhia (iii) desde a data da ciência do Ato ou Fato Relevante ainda não divulgado ao mercado, até o momento em que tal divulgação for efetivada (iv) se estiver em curso a aquisição ou alienação de ações de emissão da Companhia, pela própria Companhia, suas Sociedades Coligadas ou outra sociedade sob controle comum, ou se houver sido outorgada opção ou mandato para o mesmo fim (vi) nos períodos determinados pela regulamentação emitida pela CVM e/ou (vii) nos demais períodos declarados pelo Diretor de Relações com Investidores como períodos especiais de vedação à negociação.
00.242.184/0001-04;2022-01-01;7;126992;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;50818;2021-05-10 00:00:00.000;Conselho de Administração;A Política de Negociação de Valores Mobiliários de Emissão da Companhia estabelece regras para assegurar a observância de práticas de boa conduta na negociação, por parte dos Acionistas Controladores, pela própria Companhia, pelos Administradores, Membros de Comitês Estatutários, Funcionários e membros de quaisquer órgãos da Companhia com funções técnicas ou consultivas criados por disposição estatutária, de Valores Mobiliários de emissão da Companhia. Tais regras também procuram coibir a prática de insider trading (uso indevido em benefício próprio ou de terceiros de Informações Privilegiadas) e tipping (dicas de Informações Privilegiadas para que terceiros delas se beneficiem), preservando a transparência nas negociações de Valores Mobiliários de emissão da Companhia sempre que realizadas por pessoas a este relacionadas.A íntegra da Política de Negociação de Valores Mobiliários de Emissão da Companhia pode ser consultada nos websites da CVM (www.gov.br/cvm/pt-br), da B3 (www.b3.com.br) e da Companhia (ri.armac.com.br), além de estar disponível fisicamente na sede da Companhia, localizada na cidade de Cotia, Estado de São Paulo, na Avenida Marcos Penteado de Ulhôa Rodrigues, n° 939, Conjuntos n° 701 e 702, Torre II, Edifício Jatobá, Castelo Branco Office Park, Bairro Tamboré, no Município de Barueri, Estado de São Paulo, CEP 06460-040.;São vedadas a negociação, prestação de aconselhamento ou assistência de investimento, pela própria Companhia ou pelas Pessoas Vinculadas, de valores mobiliários, desde a data em que tomem conhecimento de ato ou fato relevante relativo à Companhia, até a sua divulgação ao mercado. É vedada a negociação com Valores Mobiliários pelas Pessoas Vinculadas nas datas em que a Companhia negociar com ações de sua emissão, com base em qualquer programa de recompra aprovado pelo Conselho de Administração da Companhia.A Companhia e as Pessoas Vinculadas deverão abster-se de negociar seus Valores Mobiliários em todos os períodos em que o Diretor de Relações com Investidores tenha determinado a proibição de negociação, mediante autorização prévia do Presidente do Conselho de Administração da Companhia.No contexto de uma oferta pública de distribuição de Valores Mobiliários, as Pessoas Vinculadas deverão abster-se de negociar valores mobiliários, desde a data em que tenham tomado conhecimento de tal oferta pública até a publicação do anúncio de encerramento.As Pessoas Vinculadas não poderão negociar os Valores Mobiliários, independente de determinação do Diretor de Relações com Investidores: (a) no período de 15 (quinze) dias corridos que anteceder a divulgação das informações trimestrais (ITR) e anuais (DFP) da Companhia, cabendo ao Departamento de Relações com Investidores informar, antecipadamente, às Pessoas Vinculadas as datas previstas para divulgação dessas informações (b) entre a data da deliberação do órgão competente de aumentar o capital social, distribuir dividendos e pagar juros sobre o capital próprio, e a publicação dos respectivos editais ou anúncios (c) a partir do momento em que tiverem acesso à informação relativa à intenção da Companhia ou dos acionistas controladores da Companhia de: (i) modificar o capital social da Companhia mediante subscrição de novas ações (ii) aprovar um programa de aquisição ou alienação de ações de emissão da Companhia pela própria Companhia ou (iii) distribuir dividendos e/ou juros sobre capital próprio, bonificações em ações ou seus derivativos ou desdobramento e (d) a publicação dos respectivos editais e/ou anúncios ou informativos. As Pessoas Vinculadas que se afastarem da Companhia anteriormente à divulgação de Ato ou Fato Relevante originado durante seu período de gestão não poderão negociar Valores Mobiliários desde a data em que tenham tomado conhecimento de Ato ou Fato Relevante até o que ocorrer primeiro entre (i) a data de sua divulgação ao mercado pela Companhia e (ii) 6 (seis) meses após o seu afastamento. Caso tenha sido celebrado qualquer acordo ou contrato visando à transferência do controle acionário respectivo, ou se houver sido outorgada opção ou mandato para o mesmo fim, bem como se existir a intenção de promover incorporação, cisão total ou parcial, fusão, transformação ou reorganização societária, e enquanto a operação não for tornada pública por meio da publicação de fato relevante, o Conselho de da Companhia não poderá deliberar a aquisição ou alienação de ações de própria emissão.
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;50925;2018-02-22 00:00:00.000;Conselho de Administração;As regras da Política de Negociação definem períodos nos quais as pessoas sujeitas à Política deverão direta ou indiretamente abster-se de negociar com Valores Mobiliários da Companhia, de modo a evitar o questionamento com relação ao uso indevido de Informações Relevantes não divulgadas ao público.As restrições contidas na Política de Negociação da Telebras não se aplicam às negociações realizadas por fundos de investimento de que sejam cotistas as pessoas sujeitas a referida Política, desde que: a)os fundos de investimento não sejam exclusivos b) as decisões de negociação do administrador ou gestor do fundo de investimento não possam ser influenciadas pelos cotistas.A Política determina que os administradores, Conselheiros Fiscais e os membros de órgãos com funções técnicas ou consultivas da Companhia, de empresas coligadas ou controladas deverão informar a titularidade de Valores Mobiliários da Companhia, seja em nome próprio, seja em nome de pessoas ligadas, bem como as alterações nessas posições.A Política de Divulgação de Atos e Fatos Relevantes e Negociação com Valores Mobiliários está disponível em https://www.telebras.com.br/transparencia/politica-de-divulgacao-de-informacoes/.;A Política de Negociação de Valores Mobiliários da Telebras concede ao Diretor de Relações com Investidores a prerrogativa de determinar períodos de tempo nos quais as pessoas sujeitas à referida Política deverão abster-se de negociar Valores Mobiliários da Companhia.Além das demais hipóteses previstas na regulamentação aplicável, a Política, nos termos do que dispõe os itens 7.2 a 7.7, estabelece os períodos de vedação de negociação de valores mobiliários da Companhia, os quais incluim-se: a)Período que se inicia em 1º de abril de julho e de outubro, e finda quando da divulgação do ITR b) período que se inicia em 1º de dezembro e se encerra quando da divulgação das informações anuais.O Diretor de Relações com Investidores é a pessoa responsável pela execução e acompanhamento da política de negociação, fiscalizando essa negociação nos períodos de vedação por meio de procedimentos autorizados pela legislação aplicável.
00.359.742/0001-08;2022-01-01;5;125676;FICTOR ALIMENTOS S.A.;50481;2020-07-17 00:00:00.000;Conselho de Administração;A Política de negociação tem por objetivo orientar e estabelecer as regras para a negociação com valores mobiliários emitidos pela Companhia, a serem observados pelas Pessoas Vinculadas, nos termos da legislação vigente e Instrução CVM 358/02.; Antes da divulgação ao mercado de Informação Relevante ocorrida nos negócios da Companhia que seja de seu conhecimento Nos períodos em que, por força de comunicação do Diretor de Relações com Investidores, que não estará obrigado a justificá-la, haja determinação de vedação à negociação (ainda que não ocorra a referida comunicação, as Pessoas Vinculadas e suas Pessoas Ligadas permanecem sujeitas às vedações impostas pela presente Política de Negociação, caso tenham ciência de Informação Relevante ainda não divulgada). Nesta hipótese, a determinação do Diretor de Relações com Investidores deverá ser mantida em sigilo pelas Pessoas Vinculadas Sempre que estiver em curso a aquisição ou a alienação de ações de emissão da ATOM pela própria Companhia, suas Controladas, Coligadas ou outra sociedade sob controle comum, ou se houver sido outorgado mandato para o mesmo fim Sempre que existir a intenção de promover a incorporação, cisão total ou parcial, fusão, transformação ou reorganização societária relevante No contexto de uma oferta pública de distribuição de Valores Mobiliários, nos limites do artigo 48 da Instrução CVM nº 400/2003, até a publicação do anúncio de encerramento de distribuição, com Valores Mobiliários de emissão da Companhia e No período de 15 dias corridos que antecederem a divulgação e/ou publicação, quando for o caso, das informações trimestrais (ITR) ou das demonstrações financeiras padronizadas anuais da Companhia (DFP). Tal restrição deixará de prevalecer no momento em que tais divulgações e/ou publicações forem realizadas Que se afastem da administração da Companhia antes da divulgação pública de negócio ou fato iniciado durante seu período de gestão que configurar Informação Relevante, estendendo-se por prazo de seis meses após o seu afastamento.
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;49000;2021-04-29 00:00:00.000;Conselho de Administração;A Política de Negociação de valores mobiliários de Emissão do Banco tem como objetivo esclarecer as regras que deverão ser observadas pelas Pessoas Vinculadas e pelo Banco em negociação com Valores Mobiliários, bem como enunciar as diretrizes que regerão, de modo ordenado e dentro dos limites estabelecidos por lei, a negociação de tais valores mobiliários, nos termos da Instrução CVM 358 e das políticas internas do Banco.Tais regras também procuram coibir a prática de insider trading (uso indevido em benefício próprio ou de terceiros de Informações Privilegiadas) e tipping (dicas de Informações Privilegiadas para que terceiros delas se beneficiem), preservando a transparência nas negociações dos Valores Mobiliários.A íntegra da Política de Negociação de Valores Mobiliários de Emissão do Banco pode ser consultada nos websites da CVM (www.gov.br/cvm), da B3 (www.b3.com.br) e do Banco (ri.bancointer.com.br).;São vedadas a negociação, a prestação de aconselhamento ou assistência de investimento, pelo próprio Banco ou pelas Pessoas Vinculadas, de valores mobiliários, desde a data em que tomem conhecimento de informação relevante, até a sua divulgação ao mercado. É vedada a negociação com Valores Mobiliários pelas Pessoas Vinculadas nas datas em que o Banco negociar com ações de sua emissão, com base em qualquer programa de recompra aprovado pelo Conselho de Administração. O Diretor de Relações com Investidores (DRI) deverá informar as datas previamente para as Pessoas Vinculadas.O Banco e as Pessoas Vinculadas deverão abster-se de negociar em todos os períodos em que o DRI tenha determinado a proibição de negociação, mediante autorização prévia do Presidente do Conselho de Administração do Banco. O DRI não está obrigado a fundamentar a decisão de determinar o período de bloqueio, que será tratado de forma confidencial pelos seus destinatários.No contexto de uma oferta pública de distribuição de Valores Mobiliários, as Pessoas Vinculadas deverão abster-se de negociar valores imobiliários, desde a data em que tenham tomado conhecimento de tal oferta pública até a publicação do anúncio de encerramento.As Pessoas Vinculadas não poderão negociar independente de determinação do DRI: (a) no período de quinze dias corridos que anteceder a divulgação das informações trimestrais (ITR) e anuais (DFP) do Banco, cabendo ao Departamento de Relações com Investidores informar às Pessoas Vinculadas as datas previstas para divulgação dessas informações (b) entre a data da deliberação do órgão competente de aumentar o capital social, distribuir dividendos e pagar juros sobre o capital próprio, e a publicação dos respectivos editais ou anúncios (c) a partir do momento em que tiverem acesso à informação relativa à intenção do Banco ou dos acionistas controladores do Banco de: (i) modificar o capital social do Banco mediante subscrição de novas ações (ii) aprovar um programa de aquisição ou alienação de ações de emissão do Banco pelo próprio Banco, suas controladas, coligadas ou outra sociedade sob controle comum ou se houver sido outorgada opção ou mandato para o mesmo fim, sendo esta vedação aplicável às pessoas vinculadas que sejam acionistas controladores, diretos e indiretos, diretores e membros do conselho de administração ou (iii) distribuir dividendos e/ou juros sobre capital próprio, bonificações em ações ou seus derivativos ou desdobramento ou (d) existir a intenção de promover incorporação, cisão total ou parcial, fusão, transformação ou reorganização societária.As Pessoas Vinculadas que se afastarem do Banco anteriormente à divulgação de Ato ou Fato Relevante originado durante seu período de gestão não poderão negociar Valores Mobiliários desde a data em que tenham tomado conhecimento de Ato ou Fato Relevante até o que ocorrer primeiro entre (i) a data de sua divulgação ao mercado pelo Banco e (ii) seis meses após o seu afastamento.Caso tenha sido celebrado qualquer acordo ou contrato visando à transferência do controle acionário respectivo, ou se houver sido outorgada opção ou mandato para o mesmo fim, bem como se existir a intenção de promover incorporação, cisão total ou parcial, fusão, transformação ou reorganização societária, e enquanto a operação não for tornada pública por meio da publicação de fato relevante, o Conselho de Administração do Banco não poderá deliberar a aquisição ou alienação de ações de própria emissão.
