CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
00.000.000/0001-91;2022-01-01;23;127089;BCO BRASIL S.A.;853913;15061;1438;1420731069;49.582000;0;0.000000;1420731069;49.582000;2022-04-27
00.000.208/0001-00;2022-01-01;19;127097;BRB BANCO DE BRASILIA S.A.;2711;35;0;39346566;14.050000;2605590;3.150000;41952156;11.560000;2022-04-29
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;134891;9466;1390;2013846657;99.350500;275669374;98.442230;2289516031;99.237800;2023-04-27
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1023;73;11;2444275;6.804606;11864425;32.809980;14308700;19.850610;2021-10-25
00.080.671/0001-00;2022-01-01;3;120092;CARAMURU ALIMENTOS S.A.;8;4;0;0;0.000000;0;0.000000;0;0.000000;2022-04-18
00.192.769/0001-59;2022-01-01;1;116220;NEUMARKT TRADE AND FINANCIAL CENTER S/A;0;1;0;0;0.000000;0;0.000000;0;0.000000;2014-08-29
00.194.724/0001-13;2022-01-01;3;126044;AUREN OPERAÇÕES S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2022-12-05
00.242.184/0001-04;2022-01-01;7;126992;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2058;29;192;172214221;49.773589;0;0.000000;172214221;49.773589;2022-04-29
00.272.185/0001-93;2022-01-01;5;126988;CIMS S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2023-03-09
00.336.701/0001-04;2022-01-01;13;127244;TELEC BRASILEIRAS S.A. TELEBRAS;6996;1486;75;1561903;3.150000;2143414;11.640000;3705317;5.460000;2021-04-20
00.359.742/0001-08;2022-01-01;5;125676;FICTOR ALIMENTOS S.A.;6034;35;0;6032062;28.629300;0;0.000000;6032062;28.629300;2022-04-29
00.383.281/0001-09;2022-01-01;13;125986;BNDES PARTICIPACOES S.A. - BNDESPAR;0;1;0;0;0.000000;0;0.000000;0;0.000000;2019-04-30
