CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Canal_Divulgacao;Sigla_UF
08.078.847/0001-09;2022-01-01;2;114626;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Portal digital de Publicações - O Estado de São Paulo;SP
08.159.965/0001-33;2022-01-01;2;121428;IGUA SANEAMENTO S.A.;Diário Oficial do Estado de São Paulo;SP
08.159.965/0001-33;2022-01-01;2;121428;IGUA SANEAMENTO S.A.;Portal Neo 1 (www.portalneo1.net);SP
08.159.965/0001-33;2022-01-01;2;121428;IGUA SANEAMENTO S.A.;Site da Companhia (ri.iguasa.com.br);SP
08.159.965/0001-33;2022-01-01;2;121428;IGUA SANEAMENTO S.A.;Site da Companhia (www.iguasaneamento.com.br/ri);SP
08.159.965/0001-33;2022-01-01;2;121428;IGUA SANEAMENTO S.A.;VALOR ECONOMICO;SP
08.170.849/0001-15;2022-01-01;2;120148;DESKTOP S.A.;Portal Neo1 -  https://portal.mzgroup.com/fatos-relevantes/;SP
08.170.849/0001-15;2022-01-01;2;120148;DESKTOP S.A.;Valor Econômico;SP
08.213.823/0001-07;2022-01-01;2;122820;AURA ALMAS MINERAÇÃO S.A.;Diário Oficial do Estado do Tocantins;TO
08.213.823/0001-07;2022-01-01;2;122820;AURA ALMAS MINERAÇÃO S.A.;Folha Capital de Tocantins;TO
08.294.224/0001-65;2022-01-01;1;112192;JHSF PARTICIPACOES S.A.;Diário Oficial do Estado;SP
08.294.224/0001-65;2022-01-01;1;112192;JHSF PARTICIPACOES S.A.;O Estado de São Paulo;SP
08.312.229/0001-73;2022-01-01;1;112566;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Valor Econômico;SP
08.312.229/0001-73;2022-01-01;1;112566;EZ TEC EMPREEND. E PARTICIPACOES S.A.;www.valor.com.br/valor-ri/fatos-relevantes;SP
08.322.396/0001-03;2022-01-01;3;122649;CERRADINHO BIOENERGIA S.A.;http://www.cerradinhobio.com.br/home-ri/;GO
08.322.396/0001-03;2022-01-01;3;122649;CERRADINHO BIOENERGIA S.A.;Jornal "Valor Econômico";SP
08.322.396/0001-03;2022-01-01;3;122649;CERRADINHO BIOENERGIA S.A.;O Hoje;GO
08.322.396/0001-03;2022-01-01;3;122649;CERRADINHO BIOENERGIA S.A.;portalneo1.net;SP
08.324.196/0001-81;2022-01-01;1;112378;CIA ENERGETICA DO RIO GDE NORTE - COSERN;http://ri.neoenergia.com/;RN
08.324.196/0001-81;2022-01-01;1;112378;CIA ENERGETICA DO RIO GDE NORTE - COSERN;https://valor.globo.com/;RN
08.324.196/0001-81;2022-01-01;1;112378;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Jornal Valor Econômico Impresso;RN
08.343.492/0001-20;2022-01-01;3;122435;MRV ENGENHARIA E PARTICIPACOES S.A.;Estado de Minas (Belo Horizonte);MG
08.364.948/0001-38;2022-01-01;2;112325;ALUPAR INVESTIMENTO S/A;portal de notícias http://www.luzdigi.com.br;SP
08.364.948/0001-38;2022-01-01;2;112325;ALUPAR INVESTIMENTO S/A;Valor Econômico;SP
08.397.078/0001-01;2022-01-01;1;121033;GSH CORP Participações S.A.;Diário Comercial do Rio de Janeiro;RJ
08.402.943/0001-52;2022-01-01;5;121117;GUARARAPES CONFECCOES S.A.;https://portal.mzgroup.com/;SP
08.402.943/0001-52;2022-01-01;5;121117;GUARARAPES CONFECCOES S.A.;Tribuna do Norte;RN
08.402.943/0001-52;2022-01-01;5;121117;GUARARAPES CONFECCOES S.A.;www.riachuelo.com.br/ri;SP
08.424.178/0001-71;2022-01-01;1;115811;TECBLU TECELAGEM BLUMENAU S.A.;Tribuna do Norte;RN
08.439.659/0001-50;2022-01-01;3;122819;CPFL ENERGIAS RENOVÁVEIS S.A.;http://www.cpfl.com.br/ri;SP
08.439.659/0001-50;2022-01-01;3;122819;CPFL ENERGIAS RENOVÁVEIS S.A.;Portal Valor RI (http://www.valor.com.br/valor-ri);BR
08.439.659/0001-50;2022-01-01;3;122819;CPFL ENERGIAS RENOVÁVEIS S.A.;Valor Econômico;SP
08.467.115/0001-00;2022-01-01;3;117092;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;Jornal Cidades;RS
08.467.115/0001-00;2022-01-01;3;117092;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;Jornal do Comércio;RS
08.467.115/0001-00;2022-01-01;3;117092;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;Site de Relações com Investidores da Companhia;RS
08.493.364/0001-62;2022-01-01;3;122657;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;Diário Oficial do Estado;MG
08.493.364/0001-62;2022-01-01;3;122657;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;Jornal da Manhã (Uberaba);MG
08.534.605/0001-74;2022-01-01;4;122579;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;Gazeta de São Paulo;SP
08.560.444/0001-93;2022-01-01;2;118219;CIA CELG DE PARTICIPACOES - CELGPAR;O Hoje;GO
08.574.411/0001-00;2022-01-01;1;116282;PRÁTICA KLIMAQUIP INDÚSTRIA E COMÉRCIO S.A.;Diário do Comercio de Belo Horizonte;MG
08.574.411/0001-00;2022-01-01;1;116282;PRÁTICA KLIMAQUIP INDÚSTRIA E COMÉRCIO S.A.;https://ri.praticabr.com/;MG
08.613.550/0001-98;2022-01-01;3;122201;Nexpe Participações S.A;Valor Econômico;SP
08.764.621/0001-53;2022-01-01;2;114449;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;https://www.jornalodiasp.com.br/;SP
