CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Pais;Data_Admissao_Negociacao
00.000.000/0001-91;2022-01-01;4;122576;BCO BRASIL S.A.;Estados Unidos;2009-12-02
00.001.180/0001-26;2022-01-01;8;122655;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Espanha;2000-04-18
00.001.180/0001-26;2022-01-01;8;122655;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Estados Unidos;2008-10-30
00.416.968/0001-01;2022-01-01;1;112152;BANCO INTER S.A.;Brasil;2018-04-18
00.776.574/0001-56;2022-01-01;2;118812;AMERICANAS S.A.;Estados Unidos;2007-03-31
01.545.826/0001-07;2022-01-01;3;120683;GAFISA S.A.;Estados Unidos;2007-03-16
01.599.101/0001-93;2022-01-01;1;116252;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Brasil;2020-10-05
01.838.723/0001-27;2022-01-01;1;113816;BRF S.A.;Estados Unidos;2000-10-20
01.957.772/0001-89;2022-01-01;1;115771;SUL 116 PARTICIPACOES S.A.;Brasil;1997-09-03
02.201.787/0001-85;2022-01-01;1;115846;CEL PARTICIPAÇÕES S.A. - CELPAR;Brasil;1997-12-02
02.351.144/0001-18;2022-01-01;2;120468;TEGMA GESTAO LOGISTICA S.A.;Brasil;2007-06-28
02.474.103/0001-19;2022-01-01;3;114235;ENGIE BRASIL ENERGIA S.A.;Estados Unidos;1998-06-01
02.558.157/0001-62;2022-01-01;1;118227;TELEFÔNICA BRASIL S.A;Estados Unidos;1998-09-22
02.762.121/0001-04;2022-01-01;2;120922;SANTOS BRASIL PARTICIPACOES S.A.;Estados Unidos;2007-12-05
02.932.074/0001-91;2022-01-01;1;111330;HYPERA S.A.;Estados Unidos;2010-05-26
02.998.301/0001-81;2022-01-01;3;120047;RIO PARANAPANEMA ENERGIA S.A.;Estados Unidos;1999-09-24
02.998.611/0001-04;2022-01-01;1;111796;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;Estados Unidos;1999-09-24
03.220.438/0001-73;2022-01-01;1;116374;EQUATORIAL ENERGIA S.A.;Estados Unidos;2008-12-19
03.378.521/0001-75;2022-01-01;2;121265;LIGHT S.A.;Estados Unidos;2008-10-25
03.847.461/0001-92;2022-01-01;2;114739;BRADESPAR S.A.;Alemanha;2001-05-21
03.847.461/0001-92;2022-01-01;2;114739;BRADESPAR S.A.;Espanha;2001-07-10
03.853.896/0001-40;2022-01-01;2;113661;MARFRIG GLOBAL FOODS S.A.;Brasil;2007-06-16
03.983.431/0001-03;2022-01-01;1;112915;EDP - ENERGIAS DO BRASIL S.A.;Espanha;2021-10-20
04.902.979/0001-44;2022-01-01;1;111078;BCO AMAZONIA S.A.;Brasil;1977-07-20
04.912.242/0001-02;2022-01-01;1;113549;PORTUENSE FERRAGENS S/A;Brasil;2001-03-31
05.495.546/0001-84;2022-01-01;1;114176;Litela Participações S.A. - Em Liquidação;Brasil;2019-09-05
06.164.253/0001-87;2022-01-01;2;118596;GOL LINHAS AEREAS INTELIGENTES S.A.;Estados Unidos;2004-06-09
06.977.745/0001-91;2022-01-01;1;112518;BR MALLS PARTICIPACOES S.A.;Estados Unidos;2007-04-03
07.253.321/0001-47;2022-01-01;2;121046;CARBOMIL SA MINER. E INDUSTRIA;Brasil;1993-07-27
07.526.557/0001-00;2022-01-01;2;115878;AMBEV S.A.;Estados Unidos;2013-11-11
07.628.528/0001-59;2022-01-01;1;113375;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Estados Unidos;2012-11-08
07.689.002/0001-89;2022-01-01;2;112255;EMBRAER S.A.;Estados Unidos;2006-05-23
07.857.093/0001-14;2022-01-01;2;122822;AURA MINERALS INC.;Canadá;2006-07-25
07.857.850/0001-50;2022-01-01;1;116513;GP INVESTMENTS, LTD.;Luxemburgo;2006-05-30
08.065.557/0001-12;2022-01-01;4;120403;TECNISA S.A.;Estados Unidos;2007-01-31
08.070.508/0001-78;2022-01-01;2;116964;RAIZEN ENERGIA S.A.;Brasil;2013-10-21
08.078.847/0001-09;2022-01-01;2;114626;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Brasil;2006-12-18
08.534.605/0001-74;2022-01-01;4;122579;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;Brasil;2008-08-20
08.801.621/0001-86;2022-01-01;1;113747;SYN PROP & TECH S.A.;Estados Unidos;2007-08-10
08.807.432/0001-10;2022-01-01;1;116462;YDUQS PARTICIPACOES S.A.;Estados Unidos;2014-11-17
08.873.873/0001-10;2022-01-01;2;119264;ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.;Brasil;2009-12-22
08.926.302/0001-05;2022-01-01;2;114830;DOMMO ENERGIA S.A.;Brasil;2014-09-17
09.305.994/0001-29;2022-01-01;1;115875;AZUL S.A.;Estados Unidos;2016-04-07
09.346.601/0001-25;2022-01-01;2;122236;B3 S.A. - BRASIL, BOLSA, BALCÃO;Luxemburgo;2021-09-20
10.440.482/0001-54;2022-01-01;2;120722;GETNET ADQ E SERV PARA MEIOS DE PAGTO S.A. - INST PAGTO;Estados Unidos;2021-05-13
10.488.244/0001-19;2022-01-01;2;117001;INFRASEC SECURITIZADORA S.A.;Brasil;2009-09-22
11.669.021/0001-10;2022-01-01;5;122840;ENAUTA PARTICIPAÇÕES S.A.;Brasil;2011-02-02
12.919.786/0001-24;2022-01-01;1;115925;TCP TERMINAL DE CONTEINERES DE PARANAGUA SA;Brasil;2016-10-27
13.584.310/0001-42;2022-01-01;1;115946;SUGOI S.A.;Brasil;2016-07-19
14.191.427/0001-29;2022-01-01;1;115953;GranBio Investimentos S.A.;Brasil;2020-11-13
15.073.274/0001-88;2022-01-01;1;116441;PPLA PARTICIPATIONS LTD.;Holanda;2012-04-26
15.144.017/0001-90;2022-01-01;2;121857;CIA SEGUROS ALIANCA DA BAHIA;Brasil;1977-07-20
16.404.287/0001-55;2022-01-01;1;116023;SUZANO S.A.;Estados Unidos;1993-10-01
17.155.730/0001-64;2022-01-01;3;115509;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Espanha;2002-07-11
17.155.730/0001-64;2022-01-01;3;115509;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Estados Unidos;2001-09-18
17.344.597/0001-94;2022-01-01;1;116234;BB SEGURIDADE PARTICIPAÇÕES S.A.;Estados Unidos;2014-03-28
22.261.473/0001-85;2022-01-01;5;120409;COMPANHIA DE GÁS DE MINAS GERAIS - GASMIG;Brasil;2020-10-06
24.410.913/0001-44;2022-01-01;2;120817;NU HOLDINGS LTD.;Estados Unidos;2021-11-23
26.609.050/0001-64;2022-01-01;1;116629;Travessia Securitizadora S.A.;Brasil;2017-02-09
27.093.558/0001-15;2022-01-01;2;118818;MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A.;Brasil;2010-04-14
30.306.294/0001-45;2022-01-01;2;118534;BCO BTG PACTUAL S.A.;Brasil;2011-11-10
30.545.324/0001-76;2022-01-01;1;116596;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-RECARG;Brasil;2020-07-20
32.785.497/0001-97;2022-01-01;2;116921;Natura &Co Holding S.A.;Estados Unidos;2020-01-01
33.000.167/0001-01;2022-01-01;1;113469;PETROLEO BRASILEIRO S.A. PETROBRAS;Espanha;2002-07-09
33.000.167/0001-01;2022-01-01;1;113469;PETROLEO BRASILEIRO S.A. PETROBRAS;Estados Unidos;2000-08-10
33.041.260/0652-90;2022-01-01;4;120402;VIA S.A.;Brasil;1981-11-24
33.042.730/0001-04;2022-01-01;2;119189;CIA SIDERURGICA NACIONAL;Estados Unidos;1997-11-14
33.113.309/0001-47;2022-01-01;2;121119;VALID SOLUÇÕES S.A.;Brasil;2006-04-12
33.200.049/0001-47;2022-01-01;1;115720;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;Brasil;1980-08-08
33.256.439/0001-39;2022-01-01;1;111869;ULTRAPAR PARTICIPACOES S.A.;Estados Unidos;1999-10-06
33.592.510/0001-54;2022-01-01;1;116009;VALE S.A.;Espanha;2000-02-08
33.592.510/0001-54;2022-01-01;1;116009;VALE S.A.;Estados Unidos;2000-06-20
33.611.500/0001-19;2022-01-01;2;116952;GERDAU S.A.;Espanha;2002-12-02
33.611.500/0001-19;2022-01-01;2;116952;GERDAU S.A.;Estados Unidos;1999-03-10
36.729.398/0001-49;2022-01-01;1;116059;CIA. SEC. DE CRÉDITOS FINANCEIROS VERT-PROVI II;Brasil;2020-01-30
41.508.382/0001-46;2022-01-01;3;118759;RODOVIAS DO BRASIL HOLDING S.A.;Brasil;2021-05-18
42.150.391/0001-70;2022-01-01;1;115567;BRASKEM S.A.;Espanha;2003-10-08
42.150.391/0001-70;2022-01-01;1;115567;BRASKEM S.A.;Estados Unidos;1998-12-21
42.737.954/0001-21;2022-01-01;2;119429;Inter & Co, Inc.;Estados Unidos;2021-12-16
43.185.362/0001-07;2022-01-01;1;116294;IGB ELETRONICA S.A - EM RECUPERACAO JUDICIAL;Brasil;1973-12-19
43.470.988/0001-65;2022-01-01;1;114609;EVEN CONSTRUTORA E INCORPORADORA S.A.;Brasil;2007-03-02
43.776.517/0001-80;2022-01-01;3;118261;CIA SANEAMENTO BASICO EST SAO PAULO;Estados Unidos;2002-05-10
50.564.053/0001-03;2022-01-01;1;112995;BOMBRIL S.A.;Brasil;1994-06-01
50.746.577/0001-15;2022-01-01;2;116793;COSAN S.A.;Estados Unidos;2021-03-11
60.746.948/0001-12;2022-01-01;2;112994;BCO BRADESCO S.A.;Espanha;2001-02-16
60.746.948/0001-12;2022-01-01;2;112994;BCO BRADESCO S.A.;Estados Unidos;1997-06-11
60.872.504/0001-23;2022-01-01;3;118604;ITAU UNIBANCO HOLDING S.A.;Estados Unidos;2002-02-21
60.894.730/0001-05;2022-01-01;3;116821;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Espanha;2005-07-05
60.894.730/0001-05;2022-01-01;3;116821;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Estados Unidos;1994-09-01
61.156.113/0001-75;2022-01-01;1;112118;IOCHPE MAXION S.A.;Estados Unidos;1994-04-29
61.374.161/0001-30;2022-01-01;1;113636;BAUMER S.A.;Brasil;1970-05-20
61.409.892/0001-73;2022-01-01;1;115782;COMPANHIA BRASILEIRA DE ALUMÍNIO;Brasil;2021-07-13
61.585.865/0001-51;2022-01-01;1;111394;RAIA DROGASIL S.A.;Estados Unidos;2016-03-21
73.178.600/0001-18;2022-01-01;1;111115;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;Estados Unidos;2005-09-21
76.483.817/0001-20;2022-01-01;3;121064;CIA PARANAENSE DE ENERGIA - COPEL;Espanha;2002-06-19
76.483.817/0001-20;2022-01-01;3;121064;CIA PARANAENSE DE ENERGIA - COPEL;Estados Unidos;1997-07-31
76.484.013/0001-45;2022-01-01;3;118347;CIA SANEAMENTO DO PARANA - SANEPAR;Brasil;2000-03-10
76.535.764/0001-43;2022-01-01;3;122723;OI S.A. - EM RECUPERAÇÃO JUDICIAL;Estados Unidos;2001-11-16
89.463.822/0001-12;2022-01-01;2;113345;LUPATECH S.A. - EM RECUPERAÇÃO JUDICIAL;Estados Unidos;2009-11-16
89.637.490/0001-45;2022-01-01;5;120107;KLABIN S.A.;Estados Unidos;1994-12-01
90.400.888/0001-42;2022-01-01;1;112552;BCO SANTANDER (BRASIL) S.A.;Estados Unidos;2009-10-07
