CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Canal_Divulgacao;Sigla_UF
00.000.000/0001-91;2020-01-01;3;98962;BCO BRASIL S.A.;Correio Braziliense;DF
00.000.000/0001-91;2020-01-01;3;98962;BCO BRASIL S.A.;Diário Oficial da União;BR
00.000.000/0001-91;2020-01-01;3;98962;BCO BRASIL S.A.;ri.bb.com.br;BR
00.000.000/0001-91;2020-01-01;3;98962;BCO BRASIL S.A.;www.cvm.gov.br;BR
00.000.208/0001-00;2020-01-01;3;97055;BRB BCO DE BRASILIA S.A.;Brasil Econômico;RJ
00.000.208/0001-00;2020-01-01;3;97055;BRB BCO DE BRASILIA S.A.;Jornal de Brasília;DF
00.000.208/0001-00;2020-01-01;3;97055;BRB BCO DE BRASILIA S.A.;Portal de Notícias NEO1 (http://www.portalneo1.net);SP
00.000.208/0001-00;2020-01-01;3;97055;BRB BCO DE BRASILIA S.A.;Valor Econômico;SP
00.001.180/0001-26;2020-01-01;4;104700;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Diário Oficial da União;DF
00.001.180/0001-26;2020-01-01;4;104700;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Jornal de Brasília;DF
00.070.698/0001-11;2020-01-01;2;96548;CIA ENERGETICA DE BRASILIA;Diário Oficial;DF
00.070.698/0001-11;2020-01-01;2;96548;CIA ENERGETICA DE BRASILIA;Valor Econômico;DF
00.185.475/0001-08;2020-01-01;3;97857;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Diário do Acionista;RJ
00.185.475/0001-08;2020-01-01;3;97857;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Diário Oficial;RJ
00.192.769/0001-59;2020-01-01;1;92153;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Diário Oficial de Santa Catarina;SC
00.192.769/0001-59;2020-01-01;1;92153;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Jornal de Santa Catarina (Blumenau);SC
00.249.786/0001-85;2020-01-01;4;97856;FORPART S.A. - EM LIQUIDAÇÃO;Diário do Acionista;RJ
00.249.786/0001-85;2020-01-01;4;97856;FORPART S.A. - EM LIQUIDAÇÃO;Diário Oficial;RJ
00.272.185/0001-93;2020-01-01;1;95345;CIMS S.A.;Diário Oficial;RJ
00.272.185/0001-93;2020-01-01;1;95345;CIMS S.A.;Monitor Mercantil;RJ
00.336.701/0001-04;2020-01-01;2;100102;TELEC BRASILEIRAS S.A. TELEBRAS;http://www.telebras.com.br/investidores;DF
00.359.742/0001-08;2020-01-01;1;92202;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Diário Oficial do Estado;SP
00.359.742/0001-08;2020-01-01;1;92202;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Jornal Diário de Sorocaba;SP
00.359.742/0001-08;2020-01-01;1;92202;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Valor Econômico;SP
00.383.281/0001-09;2020-01-01;2;92674;BNDES PARTICIPACOES S.A. - BNDESPAR;Diário Oficial da União;DF
00.383.281/0001-09;2020-01-01;2;92674;BNDES PARTICIPACOES S.A. - BNDESPAR;O Estado de São Paulo;SP
00.389.481/0001-79;2020-01-01;2;99897;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Diario Oficial do Estado;BA
00.389.481/0001-79;2020-01-01;2;99897;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Tribuna da Bahia;BA
00.416.968/0001-01;2020-01-01;1;90654;BANCO INTER S.A.;Diário Oficial do Estado de Minas Gerais;MG
00.416.968/0001-01;2020-01-01;1;90654;BANCO INTER S.A.;Jornal Estado de Minas;MG
00.416.968/0001-01;2020-01-01;1;90654;BANCO INTER S.A.;Portal Online - "Neo1" - http://www.portalneo1.net;BR
