CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Pais;Data_Admissao_Negociacao
17.344.597/0001-94;2020-01-01;5;99104;BB SEGURIDADE PARTICIPAÇÕES S.A.;Estados Unidos;2014-03-28
19.688.956/0001-56;2020-01-01;1;93889;BIOTOSCANA INVESTMENTS S.A.;Luxemburgo;2017-07-21
26.609.050/0001-64;2020-01-01;1;95299;TRAVESSIA SECURITIZADORA S/A;Brasil;2017-02-09
27.093.558/0001-15;2020-01-01;2;99280;MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.;Brasil;2010-04-14
30.306.294/0001-45;2020-01-01;3;102871;BCO BTG PACTUAL S.A.;Brasil;2011-11-10
30.545.324/0001-76;2020-01-01;2;97909;COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-RECARGAPA;Brasil;2020-07-20
32.785.497/0001-97;2020-01-01;1;92996;Natura &Co Holding S.A.;Estados Unidos;2020-01-01
33.000.167/0001-01;2020-01-01;1;94263;PETROLEO BRASILEIRO S.A. PETROBRAS;Espanha;2002-07-09
33.000.167/0001-01;2020-01-01;1;94263;PETROLEO BRASILEIRO S.A. PETROBRAS;EUA;2000-08-10
33.041.260/0652-90;2020-01-01;2;99892;VIA VAREJO S.A.;Brasil;1981-11-24
33.042.730/0001-04;2020-01-01;3;97870;CIA SIDERURGICA NACIONAL;Estados Unidos;1997-11-14
33.113.309/0001-47;2020-01-01;1;95445;VALID SOLUÇÕES S.A.;Brasil;2006-04-12
33.200.049/0001-47;2020-01-01;1;95037;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;Brasil;1980-08-08
33.256.439/0001-39;2020-01-01;2;97662;ULTRAPAR PARTICIPACOES S.A.;Estados Unidos;1999-10-06
33.592.510/0001-54;2020-01-01;1;93651;VALE S.A.;Espanha;2000-02-08
33.592.510/0001-54;2020-01-01;1;93651;VALE S.A.;Estados Unidos;2000-06-20
33.592.510/0001-54;2020-01-01;1;93651;VALE S.A.;Luxemburgo;2010-03-24
33.611.500/0001-19;2020-01-01;1;93593;GERDAU S.A.;Espanha;2002-12-02
33.611.500/0001-19;2020-01-01;1;93593;GERDAU S.A.;Estados Unidos;1999-03-10
42.150.391/0001-70;2020-01-01;1;90411;BRASKEM S.A.;Espanha;2003-10-08
42.150.391/0001-70;2020-01-01;1;90411;BRASKEM S.A.;Estados Unidos;1998-12-21
43.185.362/0001-07;2020-01-01;3;103259;IGB ELETRÔNICA S/A;Brasil;1973-12-19
43.470.988/0001-65;2020-01-01;1;90334;EVEN CONSTRUTORA E INCORPORADORA S.A.;Brasil;2007-03-02
43.776.517/0001-80;2020-01-01;2;97847;CIA SANEAMENTO BASICO EST SAO PAULO;Estados Unidos;2002-05-10
43.776.517/0001-80;2020-01-01;2;97847;CIA SANEAMENTO BASICO EST SAO PAULO;Luxemburgo;2006-11-03
50.564.053/0001-03;2020-01-01;1;95278;BOMBRIL S.A.;Brasil;1994-06-01
60.746.948/0001-12;2020-01-01;1;91028;BCO BRADESCO S.A.;Espanha;2001-02-16
60.746.948/0001-12;2020-01-01;1;91028;BCO BRADESCO S.A.;Estados Unidos;1997-06-11
60.872.504/0001-23;2020-01-01;2;99189;ITAU UNIBANCO HOLDING S.A.;Estados Unidos;2002-02-21
60.894.730/0001-05;2020-01-01;1;96432;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Espanha;2005-07-05
60.894.730/0001-05;2020-01-01;1;96432;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Estados Unidos;1994-09-01
60.933.603/0001-78;2020-01-01;1;93473;CESP - CIA ENERGETICA DE SAO PAULO;Estados Unidos;1994-07-06
61.156.113/0001-75;2020-01-01;1;96425;IOCHPE MAXION S.A.;Estados Unidos;1994-04-29
61.231.155/0001-23;2020-01-01;1;98226;compesca companhia brasileira de pesca- em liquidação;Brasil;2020-01-01
61.374.161/0001-30;2020-01-01;1;95543;BAUMER S.A.;Brasil;1970-05-20
61.585.865/0001-51;2020-01-01;1;90461;RAIA DROGASIL S.A.;Estados Unidos;2016-03-21
69.720.910/0001-45;2020-01-01;1;91958;CCB BRASIL ARRENDAMENTO MERCANTIL S.A.;Brasil;1995-11-16
73.178.600/0001-18;2020-01-01;2;91809;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;Estados Unidos;2005-09-21
76.483.817/0001-20;2020-01-01;1;93526;CIA PARANAENSE DE ENERGIA - COPEL;Espanha;2002-06-19
76.483.817/0001-20;2020-01-01;1;93526;CIA PARANAENSE DE ENERGIA - COPEL;Estados Unidos;1997-07-31
76.484.013/0001-45;2020-01-01;2;96950;CIA SANEAMENTO DO PARANA - SANEPAR;Brasil;2000-03-10
76.535.764/0001-43;2020-01-01;1;90493;OI S.A. - Em Recuperação Judicial;Estados Unidos;2001-11-16
89.463.822/0001-12;2020-01-01;1;93483;LUPATECH S.A.;Estados Unidos;2009-11-16
89.637.490/0001-45;2020-01-01;1;90286;KLABIN S.A.;Estados Unidos;1994-12-01
90.400.888/0001-42;2020-01-01;1;92528;BCO SANTANDER (BRASIL) S.A.;Estados Unidos;2009-10-07
