CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Pais;Data_Admissao_Negociacao
00.000.000/0001-91;2021-01-01;5;110800;BCO BRASIL S.A.;Estados Unidos;2009-12-02
00.001.180/0001-26;2021-01-01;3;111727;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Espanha;2000-04-18
00.001.180/0001-26;2021-01-01;3;111727;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Estados Unidos;2008-10-30
00.416.968/0001-01;2021-01-01;1;105603;BANCO INTER S.A.;Brasil;2018-04-18
00.776.574/0001-56;2021-01-01;3;113211;AMERICANAS S.A.;Estados Unidos;2007-03-31
01.545.826/0001-07;2021-01-01;1;105591;GAFISA S.A.;Estados Unidos;2007-03-16
01.599.101/0001-93;2021-01-01;5;112631;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Brasil;2020-10-05
01.838.723/0001-27;2021-01-01;1;106185;BRF S.A.;Estados Unidos;2000-10-20
01.957.772/0001-89;2021-01-01;2;113560;SUL 116 PARTICIPACOES S.A.;Brasil;1997-09-03
02.201.787/0001-85;2021-01-01;1;105187;CEL PARTICIPAÇÕES S.A. - CELPAR;Brasil;1997-12-02
02.474.103/0001-19;2021-01-01;1;99703;ENGIE BRASIL ENERGIA S.A.;Estados Unidos;1998-06-01
02.558.157/0001-62;2021-01-01;2;110771;TELEFÔNICA BRASIL S.A;Estados Unidos;1998-09-22
02.762.121/0001-04;2021-01-01;2;106699;SANTOS BRASIL PARTICIPACOES S.A.;Estados Unidos;2007-12-05
02.932.074/0001-91;2021-01-01;1;103129;HYPERA S.A.;Estados Unidos;2010-05-26
02.998.301/0001-81;2021-01-01;4;113089;RIO PARANAPANEMA ENERGIA S.A.;Estados Unidos;1999-09-24
02.998.611/0001-04;2021-01-01;2;104611;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;Estados Unidos;1999-09-24
03.220.438/0001-73;2021-01-01;1;105596;EQUATORIAL ENERGIA S.A.;Estados Unidos;2008-12-19
03.378.521/0001-75;2021-01-01;5;113167;LIGHT S.A.;Estados Unidos;2008-10-25
03.847.461/0001-92;2021-01-01;1;100070;BRADESPAR S.A.;Espanha;2001-07-10
03.847.461/0001-92;2021-01-01;1;100070;BRADESPAR S.A.;Inglaterra;2001-05-21
03.853.896/0001-40;2021-01-01;2;106309;MARFRIG GLOBAL FOODS S.A.;Brasil;2007-06-16
03.983.431/0001-03;2021-01-01;8;112912;EDP - ENERGIAS DO BRASIL S.A.;Espanha;2021-10-20
04.902.979/0001-44;2021-01-01;1;100696;BCO AMAZONIA S.A.;Brasil;1977-07-20
04.912.242/0001-02;2021-01-01;1;100705;PORTUENSE FERRAGENS S/A;Brasil;2001-03-31
04.992.714/0001-84;2021-01-01;2;108434;Nova Transportadora do Sudeste S.A. - NTS;Não aplicável;2002-01-15
05.495.546/0001-84;2021-01-01;2;104826;Litela Participações S.A. - Em Liquidação;Brasil;2019-09-05
05.721.735/0001-28;2021-01-01;2;102732;WILSON SONS LTD.;Luxemburgo;2007-04-30
06.164.253/0001-87;2021-01-01;3;106412;GOL LINHAS AEREAS INTELIGENTES S.A.;Estados Unidos;2004-06-09
06.948.969/0001-75;2021-01-01;3;106317;LINX S.A.;Estados Unidos;2019-06-26
06.977.745/0001-91;2021-01-01;1;99563;BR MALLS PARTICIPACOES S.A.;Estados Unidos;2007-04-03
07.253.321/0001-47;2021-01-01;1;103562;CARBOMIL SA MINER. E INDUSTRIA;Brasil;1993-07-27
07.526.557/0001-00;2021-01-01;3;112119;AMBEV S.A.;Estados Unidos;2013-11-11
07.628.528/0001-59;2021-01-01;1;108871;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Estados Unidos;2012-11-08
07.689.002/0001-89;2021-01-01;1;99536;EMBRAER S.A.;Estados Unidos;2006-05-23
07.857.093/0001-14;2021-01-01;1;108259;AURA MINERALS INC.;Canadá;2006-07-25
