CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;251940;Preferencial Classe A;146920
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;251940;Preferencial Classe B;279941394
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;251941;Preferencial Classe A;146920
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;251941;Preferencial Classe B;279941394
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;251942;Preferencial Classe A;146920
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;251942;Preferencial Classe B;279941394
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;258455;Preferencial Classe A;6565010
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;258455;Preferencial Classe B;29596015
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;258456;Preferencial Classe A;1313002
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;258456;Preferencial Classe B;5919203
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;262684;Preferencial Classe A;10332711
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;262685;Preferencial Classe A;21002999
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;262686;Preferencial Classe A;21002999
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;262688;Preferencial Classe A;210029997060
00.644.907/0001-93;2021-01-01;1;105249;INVESTCO S.A.;235533;Preferencial Classe R;255559826
00.644.907/0001-93;2021-01-01;1;105249;INVESTCO S.A.;235533;Preferencial Classe C;107199382
00.644.907/0001-93;2021-01-01;1;105249;INVESTCO S.A.;235533;Preferencial Classe B;5156240
00.644.907/0001-93;2021-01-01;1;105249;INVESTCO S.A.;235533;Preferencial Classe A;16288514
00.938.574/0001-05;2021-01-01;3;114104;CONC RIO-TERESOPOLIS S.A.;258738;Preferencial Classe A;37680
00.938.574/0001-05;2021-01-01;3;114104;CONC RIO-TERESOPOLIS S.A.;258739;Preferencial Classe A;37680
00.938.574/0001-05;2021-01-01;3;114104;CONC RIO-TERESOPOLIS S.A.;258740;Preferencial Classe A;37680
00.938.574/0001-05;2021-01-01;3;114104;CONC RIO-TERESOPOLIS S.A.;258741;Preferencial Classe A;37680
01.417.222/0001-77;2021-01-01;5;114007;MRS LOGISTICA S.A.;258499;Preferencial Classe B;69591139
01.417.222/0001-77;2021-01-01;5;114007;MRS LOGISTICA S.A.;258499;Preferencial Classe A;82076174
01.417.222/0001-77;2021-01-01;5;114007;MRS LOGISTICA S.A.;258500;Preferencial Classe A;82076174
01.417.222/0001-77;2021-01-01;5;114007;MRS LOGISTICA S.A.;258500;Preferencial Classe B;69591139
01.417.222/0001-77;2021-01-01;5;114007;MRS LOGISTICA S.A.;258501;Preferencial Classe A;82076174
01.417.222/0001-77;2021-01-01;5;114007;MRS LOGISTICA S.A.;258501;Preferencial Classe B;69591139
02.201.787/0001-85;2021-01-01;1;105190;CEL PARTICIPAÇÕES S.A. - CELPAR;235291;Preferencial Classe A;20
02.201.787/0001-85;2021-01-01;1;105190;CEL PARTICIPAÇÕES S.A. - CELPAR;235291;Preferencial Classe B;10
02.281.836/0001-37;2021-01-01;7;114590;TRANSNORDESTINA LOGISTICA SA;260377;Preferencial Classe A;18686075
02.281.836/0001-37;2021-01-01;7;114590;TRANSNORDESTINA LOGISTICA SA;260377;Preferencial Classe B;7413673
02.762.113/0001-50;2021-01-01;4;108238;BRAZILIAN FINANCE E REAL ESTATE S.A.;242983;Preferencial Classe A;23
02.762.113/0001-50;2021-01-01;4;108238;BRAZILIAN FINANCE E REAL ESTATE S.A.;242983;Preferencial Classe B;11
02.762.113/0001-50;2021-01-01;4;108238;BRAZILIAN FINANCE E REAL ESTATE S.A.;242984;Preferencial Classe A;23
02.762.113/0001-50;2021-01-01;4;108238;BRAZILIAN FINANCE E REAL ESTATE S.A.;242984;Preferencial Classe B;11
02.762.113/0001-50;2021-01-01;4;108238;BRAZILIAN FINANCE E REAL ESTATE S.A.;242985;Preferencial Classe A;23
02.762.113/0001-50;2021-01-01;4;108238;BRAZILIAN FINANCE E REAL ESTATE S.A.;242985;Preferencial Classe B;11
02.762.113/0001-50;2021-01-01;4;108238;BRAZILIAN FINANCE E REAL ESTATE S.A.;242986;Preferencial Classe A;23
02.762.113/0001-50;2021-01-01;4;108238;BRAZILIAN FINANCE E REAL ESTATE S.A.;242986;Preferencial Classe B;11
02.762.113/0001-50;2021-01-01;4;108238;BRAZILIAN FINANCE E REAL ESTATE S.A.;242987;Preferencial Classe A;23
02.762.113/0001-50;2021-01-01;4;108238;BRAZILIAN FINANCE E REAL ESTATE S.A.;242987;Preferencial Classe B;11
02.762.113/0001-50;2021-01-01;4;108238;BRAZILIAN FINANCE E REAL ESTATE S.A.;242988;Preferencial Classe A;23
02.762.113/0001-50;2021-01-01;4;108238;BRAZILIAN FINANCE E REAL ESTATE S.A.;242988;Preferencial Classe B;11
04.030.182/0001-02;2021-01-01;4;115011;CABINDA PARTICIPACOES S.A.;261608;Preferencial Classe B;4916000
04.030.182/0001-02;2021-01-01;4;115011;CABINDA PARTICIPACOES S.A.;261612;Preferencial Classe B;4736000
04.030.182/0001-02;2021-01-01;4;115011;CABINDA PARTICIPACOES S.A.;261613;Preferencial Classe B;4736000
04.030.182/0001-02;2021-01-01;4;115011;CABINDA PARTICIPACOES S.A.;261616;Preferencial Classe B;4402667
04.030.182/0001-02;2021-01-01;4;115011;CABINDA PARTICIPACOES S.A.;261617;Preferencial Classe B;4402667
04.030.182/0001-02;2021-01-01;4;115011;CABINDA PARTICIPACOES S.A.;261618;Preferencial Classe B;4402667
04.030.182/0001-02;2021-01-01;4;115011;CABINDA PARTICIPACOES S.A.;261619;Preferencial Classe B;4402667
04.030.182/0001-02;2021-01-01;4;115011;CABINDA PARTICIPACOES S.A.;261620;Preferencial Classe B;4402667
