CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Plano_Recompra;Especie_Acao;Tipo_Classe_Acao_Preferencial;Quantidade_Adquirida;Escala_Cotacao;Quantidade_Prevista;Valor_Preco_Medio;Percentual_Previsto;Percentual_Adquirido
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;41951;Ordinária;;0;R$ por Unidade;0;0.00;0.000000;0.000000
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;41952;Preferencial;;0;R$ por Unidade;0;0.00;0.000000;0.000000
00.416.968/0001-01;2021-01-01;24;114143;BANCO INTER S.A.;41563;Ordinária;;4005300;R$ por Unidade;40126590;8.88;3.660000;9.981660
00.416.968/0001-01;2021-01-01;24;114143;BANCO INTER S.A.;41563;Preferencial;;8010600;R$ por Unidade;88634592;17.76;8.690000;9.037780
00.545.378/0001-70;2021-01-01;2;105553;SERRA AZUL WATER PARK SA;38977;Ordinária;;0;R$ por Unidade;0;0.00;0.000000;0.000000
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;41936;Ordinária;;0;R$ por Unidade;17500000;0.00;2.819487;0.000000
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;41937;Ordinária;;17500000;R$ por Unidade;17500000;33.58;4.138213;100.000000
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;41954;Ordinária;;2595332;R$ por Unidade;2595332;4.87;0.230000;100.000000
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;41955;Ordinária;;4006776;R$ por Unidade;4006776;6.88;0.350000;100.000000
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;41956;Ordinária;;363000;R$ por Unidade;400000;7.78;0.040000;90.750000
