CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Tipo_Obrigacao;Tipo_Garantia;Descricao_Outras_Garantias;Divida_Inferior_1_Ano;Divida_1a3Anos;Divida_3a5Anos;Divida_Superior_5Anos;Divida_Total;Observacao
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2020-01-01;2020-12-31;Empréstimo;Quirografárias;;12667434418.09;2148967654.74;556954491.83;0.00;15373356564.66;
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2020-01-01;2020-12-31;Títulos de dívida;Quirografárias;;43613673548.42;86126585753.23;10506546599.00;35991677086.64;176238482987.29;
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2020-01-01;2020-12-31;Títulos de dívida;Garantia Real;;1844947972.18;0.00;0.00;0.00;1844947972.18;
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2020-01-01;2020-12-31;Títulos de dívida;Outras garantias ou privilégios;Fundo Garantidor de Crédito;157461728.00;977237363.68;0.00;0.00;1134699091.68;
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2020-01-01;2020-12-31;Títulos de dívida;Quirografárias;;762303886.83;0.00;11196791.00;243675808.70;1017176486.53;
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020-01-01;2020-12-31;Empréstimo;Garantia Real;;1650830739.39;1653499211.91;192405116.44;160960394.50;3657695462.24;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando destas efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma do dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020-01-01;2020-12-31;Empréstimo;Quirografárias;;3718590388.25;4587017008.00;1909659879.09;194587717.60;10409854992.94;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando destas efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma do dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020-01-01;2020-12-31;Financiamento;Garantia Real;;1230442148.30;1623881548.42;1041525816.09;6284870701.90;10180720214.71;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando destas efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma do dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020-01-01;2020-12-31;Financiamento;Quirografárias;;874362966.69;1318823132.45;1020198224.35;1557448554.05;4770832877.54;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando destas efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma do dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020-01-01;2020-12-31;Títulos de dívida;Garantia Real;;27283179.74;61518448.38;68236671.93;411212824.14;568251124.19;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando destas efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma do dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020-01-01;2020-12-31;Títulos de dívida;Quirografárias;;3552958695.84;2109441069.62;5419696856.50;6466482043.38;17548578665.34;As informações desta tabela se baseiam nas informações financeiras consolidadas da Eletrobras, expurgando destas efeitos de natureza unicamente contábil fruto de diferimentos pontuais aplicáveis ao saldo devedor dos contratos. O montante total indicado corresponde à soma do dos empréstimos, financiamentos e títulos de dívida da Eletrobras. Para fins da tabela acima, foram considerados os prazos de vencimento dos empréstimos e financiamentos. As dívidas com garantia fidejussória foram consideradas como "quirografárias".
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2020-01-01;2020-12-31;Empréstimo;Garantia Real;;13110000.00;53442000.00;28549000.00;0.00;95101000.00;
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;2020-01-01;2020-12-31;Empréstimo;Quirografárias;;1044818917.20;954177567.86;14105819.79;0.00;2013102304.85;
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;2020-01-01;2020-12-31;Financiamento;Garantia Real;;29673515.99;45587460.33;19632388.21;14737803.75;109631168.28;
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;2020-01-01;2020-12-31;Financiamento;Quirografárias;;-6382529.55;2054075.40;-49307.83;4319053.56;-58708.42;
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;2020-01-01;2020-12-31;Títulos de dívida;Quirografárias;;20018651.40;0.00;0.00;0.00;20018651.40;
00.192.769/0001-59;2021-01-01;1;105168;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2020-01-01;2020-12-31;Títulos de dívida;Garantia Real;;18798.19;16338645.56;0.00;59569596.00;75927039.75;
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2020-01-01;2020-12-31;Empréstimo;Garantia Real;;22574935.49;89630050.45;20480158.73;0.00;132685144.67;As informações desta tabela se baseiam nas demonstrações financeiras auditadas da Companhia relativas ao período de doze meses encerrado em 31 de dezembro de 2020 (preparadas em IFRS). O montante total indicado corresponde à soma dos valores de passivos com instituições financeiras. Para fins da tabela acima, foram considerados os prazos de vencimento das respectivas obrigações da Companhia.
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2020-01-01;2020-12-31;Empréstimo;Quirografárias;;1024080.38;1960037.98;599031.96;0.00;3583150.32;As informações desta tabela se baseiam nas demonstrações financeiras auditadas da Companhia relativas ao período de doze meses encerrado em 31 de dezembro de 2020 (preparadas em IFRS). O montante total indicado corresponde à soma dos valores de passivos com instituições financeiras. Para fins da tabela acima, foram considerados os prazos de vencimento das respectivas obrigações da Companhia.
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2020-01-01;2020-12-31;Financiamento;Garantia Real;;47190984.14;72045911.57;34410809.31;0.00;153647705.02;As informações desta tabela se baseiam nas demonstrações financeiras auditadas da Companhia relativas ao período de doze meses encerrado em 31 de dezembro de 2020 (preparadas em IFRS). O montante total indicado corresponde à soma dos valores de passivos com instituições financeiras. Para fins da tabela acima, foram considerados os prazos de vencimento das respectivas obrigações da Companhia.
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2020-01-01;2020-12-31;Títulos de dívida;Garantia Real;;0.00;0.00;0.00;0.00;0.00;As informações desta tabela se baseiam nas demonstrações financeiras auditadas da Companhia relativas ao período de doze meses encerrado em 31 de dezembro de 2020 (preparadas em IFRS). O montante total indicado corresponde à soma dos valores de passivos com instituições financeiras. Para fins da tabela acima, foram considerados os prazos de vencimento das respectivas obrigações da Companhia.
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2020-01-01;2020-12-31;Títulos de dívida;Quirografárias;;0.00;0.00;0.00;0.00;0.00;As informações desta tabela se baseiam nas demonstrações financeiras auditadas da Companhia relativas ao período de doze meses encerrado em 31 de dezembro de 2020 (preparadas em IFRS). O montante total indicado corresponde à soma dos valores de passivos com instituições financeiras. Para fins da tabela acima, foram considerados os prazos de vencimento das respectivas obrigações da Companhia.
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;2020-01-01;2020-12-31;Financiamento;Garantia Flutuante;;51507000.00;152490000.00;46767000.00;0.00;250764000.00;
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;2020-01-01;2020-12-31;Títulos de dívida;Quirografárias;;300964000.00;385382100.00;311705100.00;179197000.00;1177248200.00;
00.383.281/0001-09;2021-01-01;11;113008;BNDES PARTICIPACOES S.A. - BNDESPAR;2020-01-01;2020-12-31;Empréstimo;Quirografárias;;0.00;0.00;0.00;0.00;0.00;
00.389.481/0001-79;2021-01-01;3;114534;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;2020-01-01;2020-12-31;Empréstimo;Garantia Real;;303570114.00;649864749.00;17237959.00;0.00;970672822.00;
00.389.481/0001-79;2021-01-01;3;114534;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;2020-01-01;2020-12-31;Empréstimo;Quirografárias;;76960537.00;11430786.00;238479.00;0.00;88629802.00;
00.389.481/0001-79;2021-01-01;3;114534;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;2020-01-01;2020-12-31;Financiamento;Garantia Real;;104483123.00;173561450.00;0.00;0.00;278044573.00;
